row,shift,method,peak_height_frac,peak_fwhm_pts,xcorr_lag,stretched_flag
117,1481,zero_peak,0.039780746816979774,184,-2878,False
118,727,zero_peak,0.3789341889316035,107,-750,False
119,1239,zero_peak,0.13850543578213015,179,7082,False
120,1239,zero_peak,0.13850543578213098,179,7082,False
121,1474,zero_peak,0.04624786262492093,185,-2871,False
122,1516,zero_peak,0.08525372087113792,147,2748,True
123,1273,zero_peak,0.13821308383703318,156,4307,False
124,1273,zero_peak,0.1382130838370329,156,4307,False
125,718,zero_peak,0.5825435227540926,120,-748,False
126,1497,zero_peak,0.040531020085454846,174,-2887,False
127,1485,zero_peak,0.04463393427019404,165,1449,False
128,-2376,xcorr_fallback,0.0,0,2376,True
129,1503,zero_peak,0.08391278449510783,119,6784,True
130,1592,zero_peak,0.021460883364858983,141,-2944,True
131,741,zero_peak,0.4014397063417756,124,-758,False
132,1281,zero_peak,0.25569418616048256,166,7007,False
133,1281,zero_peak,0.2556941861604878,166,7007,False
134,1512,zero_peak,0.02923722683948827,131,-2877,True
135,755,zero_peak,0.9880370565470662,79,-769,False
136,1580,zero_peak,0.03519751693769708,124,1354,True
137,1311,zero_peak,0.20418674278244206,171,6972,False
138,1311,zero_peak,0.20418674278244325,171,6972,False
139,1500,zero_peak,0.044737246143343734,141,-2870,False
140,772,zero_peak,0.4432792847577933,143,-755,False
141,1286,zero_peak,0.26785344843671954,181,6981,False
142,1286,zero_peak,0.2678534484367275,181,6981,False
143,1316,zero_peak,0.30810546364751,159,6970,False
144,1316,zero_peak,0.3081054636475097,159,6970,False
145,1543,zero_peak,0.046652426594596674,114,6915,True
146,1481,zero_peak,0.026394723930416798,178,-2870,False
147,1516,zero_peak,0.04053815463956275,137,1451,True
148,1557,zero_peak,0.06397598445245789,151,6932,True
149,752,zero_peak,0.4861039723797681,139,-753,False
150,1304,zero_peak,0.21665436637219093,180,6971,False
151,1304,zero_peak,0.21665436637219085,180,6971,False
152,1499,zero_peak,0.0413188508429878,153,-2858,False
153,1264,zero_peak,0.1547485143406212,179,4304,False
154,1264,zero_peak,0.15474851434062079,179,4304,False
155,1498,zero_peak,0.13450978029860808,149,6782,False
156,746,zero_peak,0.39182797144782877,124,-760,False
157,1487,zero_peak,0.05286839842788759,144,1453,False
158,1494,zero_peak,0.03753355646117081,189,-2879,False
159,1475,zero_peak,0.0471075135842426,185,-2874,False
160,705,zero_peak,0.6622372323118446,126,-754,False
161,2891,xcorr_fallback,0.0,0,-2891,True
162,-5503,xcorr_fallback,0.0,0,5503,True
163,-5503,xcorr_fallback,0.0,0,5503,True
164,1489,zero_peak,0.04670814120508827,135,-2862,False
165,1503,zero_peak,0.04566483236261527,130,6769,True
166,1233,zero_peak,0.14341883835896313,158,4343,False
167,1233,zero_peak,0.14341883835896305,158,4343,False
168,1599,zero_peak,0.033696707767206006,135,-2950,True
169,1484,zero_peak,0.055390195863608674,186,-2880,False
170,1495,zero_peak,0.047503088380243016,148,-2872,False
171,1493,zero_peak,0.06003509261698888,139,-2872,False
172,1561,zero_peak,0.11453575058232941,142,2697,True
173,1504,zero_peak,0.042720408722440206,153,1458,True
174,1573,zero_peak,0.027433543038701456,198,6897,True
175,1270,zero_peak,0.12758383902829618,170,7043,False
176,1270,zero_peak,0.127583839028295,170,7043,False
177,1589,zero_peak,0.02827269670414063,166,-2925,True
178,747,zero_peak,0.3747436949139647,140,-756,False
179,1301,zero_peak,0.17749541836328195,178,4288,False
180,1301,zero_peak,0.17749541836328386,178,4288,False
181,1299,zero_peak,0.12307315095811466,166,6973,False
182,1299,zero_peak,0.12307315095811681,166,6973,False
183,739,zero_peak,0.4183707189813108,134,-760,False
184,1499,zero_peak,0.05822052913441356,150,1458,False
185,1491,zero_peak,0.05273844379573907,158,-2873,False
186,1564,zero_peak,0.03946174395177643,120,-2958,True
187,1538,zero_peak,0.032823272600565445,176,-2949,True
188,1261,zero_peak,0.18586444099568766,177,7020,False
