row,shift_xcorr_current,shift_landmark,disagreement_pts
9446,66,89,23
9447,-2593,-408,2185
9453,-2550,-406,2144
9456,-7069,1181,8250
9457,-2564,-403,2161
9458,54,88,34
9459,2580,86,2494
9460,-2578,-404,2174
9461,-2565,-407,2158
9462,-2588,-406,2182
9464,56,90,34
9465,-1993,353,2346
9471,62,89,27
9472,57,90,33
9473,-6892,89,6981
9474,-6218,839,7057
9475,-2553,-402,2151
9479,-6283,75,6358
9481,-6214,1331,7545
9482,-2499,-406,2093
9485,52,82,30
9487,-2561,-405,2156
9488,499,-434,933
9493,-2004,-449,1555
9495,-2020,331,2351
9496,-2006,1222,3228
9497,-2028,354,2382
9498,-2549,-404,2145
9504,-2563,-392,2171
9505,-2522,-405,2117
9509,70,88,18
9510,-1995,1156,3151
9511,-6838,-482,6356
9514,-2504,-405,2099
9517,-2569,-409,2160
9519,-1994,-445,1549
9523,-2001,-447,1554
9528,-2722,-400,2322
9531,-1378,-443,935
9532,-2560,-405,2155
9533,-7062,1185,8247
9536,-7068,1176,8244
9537,-2003,1181,3184
9539,-2545,-409,2136
9546,2952,1204,1748
9549,55,86,31
9551,-2522,-406,2116
9554,-1990,1220,3210
9555,-2520,-401,2119
9557,2955,1167,1788
9559,-2559,-404,2155
9561,-2563,-406,2157
9562,-2021,1174,3195
9563,-3336,-472,2864
9564,-2590,-410,2180
9567,2949,1228,1721
9568,-2580,-401,2179
9570,-1999,1171,3170
9571,-2012,1168,3180
9574,2517,84,2433
9575,-2001,1174,3175
9576,-1990,1225,3215
9577,-1999,1202,3201
9579,2960,1190,1770
9586,-3317,1174,4491
9589,-2528,-405,2123
9590,-2553,-400,2153
9592,-6806,1215,8021
9596,-7072,1181,8253
9598,-2603,-409,2194
9604,-2560,-409,2151
9606,-6822,-448,6374
9607,-6833,-448,6385
9609,-1993,1171,3164
9610,-1413,-483,930
9611,-1416,-480,936
9612,-2022,340,2362
9615,-3308,-452,2856
9618,-3299,-450,2849
9623,-1999,-449,1550
9625,1771,1375,396
9627,2957,1195,1762
9631,-2028,1140,3168
9632,-6816,1183,7999
9638,-2000,347,2347
9639,-3306,-437,2869
9640,-1971,1208,3179
9644,-3268,-431,2837
9646,-2010,1158,3168
9647,-2543,-407,2136
9648,-7084,18,7102
9649,-7084,18,7102
9653,-1982,1237,3219
9654,3766,-28,3794
9655,3766,-28,3794
9660,-7063,1179,8242
9661,-1396,-461,935
9662,-2541,-408,2133
9665,-2749,-449,2300
9666,55,48,7
9667,55,48,7
9668,3121,637,2484
9669,3121,637,2484
