feature_group,feature_name,classifier,n_episodes,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean
direct_binned,bins1024_auc,logreg_C0p1,100,0.3240298507462686,0.0687754202960431,0.2905684830784313,0.05366385983483406,0.3232561210861648,0.3063374042145594
direct_binned,bins1024_auc,svm_C1p0,100,0.32171641791044775,0.06522999356233701,0.28282159556996017,0.04914380557719784,0.31011670400696634,0.29875319284802043
direct_binned,bins1024_auc,xgboost_depth2,100,0.31470149253731344,0.06386308622089189,0.27699457139152206,0.04817113500909451,0.30955538212330613,0.2967548690932312
direct_binned,bins2048_auc,logreg_C0p1,100,0.32470149253731345,0.06954258261563533,0.290980096523039,0.05428197071948158,0.32302510912824856,0.30711166985951466
direct_binned,bins2048_auc,svm_C1p0,100,0.3233582089552239,0.06545520815730929,0.284470596030162,0.04901017000504659,0.31232195356058645,0.300246248403576
direct_binned,bins2048_auc,xgboost_depth2,100,0.31268656716417914,0.0644369843133762,0.2749116005648649,0.04930109813388944,0.30833167126490607,0.2953583971902938
foundation_backbone,mae_flatten,logreg_C0p1,100,0.3261940298507463,0.06747165660438077,0.29077003597503953,0.04978939794156876,0.31897755869542926,0.30689575351213283
foundation_backbone,mae_flatten,svm_C1p0,100,0.32597014925373136,0.06622269252104303,0.28723225178453893,0.04880980612006831,0.30994272566786407,0.3032730683269476
foundation_backbone,mae_flatten,xgboost_depth2,100,0.2898507462686567,0.05305324497306328,0.25775908187377594,0.04382664405516864,0.28139931452205674,0.2745206736909323
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.36276119402985074,0.07694203896974268,0.3145781068117989,0.05569305018811984,0.34202585970677984,0.33034402937420176
