row,r2_full,r2_metabolites_only,r2_envelope_only,n_metabolites_used,r2_unconstrained_upper_bound,metabolite_signal_frac
228,0.6140092703121535,0.6066284830156656,0.05497558973528949,86,0.6495906028131461,0.4698707880607936
499,0.6939287030774814,0.6564124927736261,0.21899381675614737,85,0.7377715502735394,0.5353600691758642
827,0.7101323099706447,0.36411792163177426,0.6645008928287681,82,0.7724236737475212,0.3180745832330248
1757,0.30679286890202206,0.23792570548795555,0.20936255084952016,82,0.35523892570755566,0.6072341388666205
2630,0.30645355563032195,0.21948861579544043,0.22557795467866537,85,0.3481471662114958,0.5666017919652845
2976,0.4387681603141209,0.3338837713619497,0.2759612970519555,73,0.48233827005694885,0.6047207922487442
4761,0.2894559831637121,0.21647294236476688,0.20620086926811576,83,0.3331036542934298,0.5475101469683618
4824,0.28825847242044866,0.22764969682195269,0.1899931014720676,86,0.34254113831446953,0.7578451899026539
5129,0.3346961996768757,0.2639544579470431,0.21330100429645082,83,0.384600876429416,0.6561720335750354
5279,0.38171854971635366,0.3103332911141887,0.23260708858588552,85,0.42770565623212,0.7218554567620099
5701,0.4683496362218307,0.35318964658540963,0.3282601867532414,71,0.5173166901522668,0.5909620499198094
5935,0.3433676414657527,0.25620524735646666,0.248346867726989,84,0.3928301454033385,0.559515497616543
5968,0.41445843250137515,0.29715751664458756,0.3193968814357634,74,0.4695296365354923,0.5768595792332092
6087,0.6613901639054869,0.6247676000351134,0.22266395834548736,85,0.7064727247061857,0.5298705384743636
6824,0.2754092809540327,0.23592493607096832,0.1627520970984212,75,0.3186448949949582,0.7509627829013122
7586,0.6535520445640148,0.4422876650636466,0.5640721650911049,77,0.723054347488268,0.5179122476621615
7927,0.41975533106025487,0.3325537926031077,0.3164803269774672,85,0.47693411016793574,0.6075281739935215
8542,0.4143293214083408,0.2677272355165452,0.36429568619408004,75,0.4757850650766833,0.4061567633657492
8771,0.591408625603205,0.4401300167449024,0.4546226533992257,85,0.669531679776459,0.6076560063318609
9125,0.4955142169651884,0.36253132993836734,0.41577669231101266,84,0.5611662837511889,0.4587536424303346
