name,variance_explained,peak_ppm,frac_area_below_1p5ppm
mean_envelope,,2.432860815893676,0.04967094236903467
envelope_pc1,0.384579368518433,2.4866026809896926,0.0
envelope_pc2,0.32488352515461594,2.423430812307833,0.0
envelope_pc3,0.08726182141668588,2.4393611096276064,0.34914409344050723
envelope_pc4,0.044801615636837724,1.0096627018943938,0.31900318468445527
envelope_pc5,0.043829259395326815,3.5836874670979855,0.13676768265499145
envelope_pc6,0.0244647362815188,2.9713781080483095,0.06355874026901764
