bmse_id,simulation,name,inchi,inchi_skeleton,formula,ref_field_mhz,n_sim_points,roi_rmsd,ph,temperature_k,solvent,reference,sim_csv,has_field
bmse000592,simulation_1,P-coumaryl-alcohol,"InChI=1S/C9H10O2/c10-7-1-2-8-3-5-9(11)6-4-8/h1-6,10-11H,7H2/b2-1+",1S/C9H10O2/c10-7-1-2-8-3-5-9(11)6-4-8,C9H10O2,499.84,65536,0.01584,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000592/simulation_1/B0s/sim_600MHz.csv,True
bmse000593,simulation_1,P-hydroxyacetophenone,"InChI=1S/C8H8O2/c1-6(9)7-2-4-8(10)5-3-7/h2-5,10H,1H3",1S/C8H8O2/c1-6(9)7-2-4-8(10)5-3-7,C8H8O2,499.84,65536,0.02303,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000593/simulation_1/B0s/sim_600MHz.csv,True
bmse000594,simulation_1,Sinapinic-acid,"InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+",1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14,C11H12O5,499.84,65536,0.01435,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000594/simulation_1/B0s/sim_600MHz.csv,True
bmse000595,simulation_1,Syringaldehyde,"InChI=1S/C9H10O4/c1-12-7-3-6(5-10)4-8(13-2)9(7)11/h3-5,11H,1-2H3",1S/C9H10O4/c1-12-7-3-6(5-10)4-8(13-2)9(7)11,C9H10O4,499.84,65536,0.01318,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000595/simulation_1/B0s/sim_600MHz.csv,True
bmse000597,simulation_1,Vanillin,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10,C8H8O3,499.84,65536,0.00540,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000597/simulation_1/B0s/sim_600MHz.csv,True
bmse000599,simulation_1,4-Isopropylbenzyl alcohol,"InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-6,8,11H,7H2,1-2H3",1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10,C10H14O,400.13,32768,0.06537,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000599/simulation_1/B0s/sim_600MHz.csv,True
bmse000601,simulation_1,Coniferaldehyde,"InChI=1S/C10H10O3/c1-13-10-7-8(3-2-6-11)4-5-9(10)12/h2-7,12H,1H3/b3-2+",1S/C10H10O3/c1-13-10-7-8(3-2-6-11)4-5-9(10)12,C10H10O3,499.84,65536,0.01088,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000601/simulation_1/B0s/sim_600MHz.csv,True
bmse000602,simulation_1,Coniferyl-alcohol,"InChI=1S/C10H12O3/c1-13-10-7-8(3-2-6-11)4-5-9(10)12/h2-5,7,11-12H,6H2,1H3/b3-2+",1S/C10H12O3/c1-13-10-7-8(3-2-6-11)4-5-9(10)12,C10H12O3,499.84,65536,0.02313,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000602/simulation_1/B0s/sim_600MHz.csv,True
bmse000603,simulation_1,Cyclohexanecarboxylic acid,"InChI=1S/C7H12O2/c8-7(9)6-4-2-1-3-5-6/h6H,1-5H2,(H,8,9)",1S/C7H12O2/c8-7(9)6-4-2-1-3-5-6,C7H12O2,400.13,32768,0.01968,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000603/simulation_1/B0s/sim_600MHz.csv,True
bmse000605,simulation_1,Methyl-4-coumarate,"InChI=1S/C10H10O3/c1-13-10(12)7-4-8-2-5-9(11)6-3-8/h2-7,11H,1H3/b7-4+",1S/C10H10O3/c1-13-10(12)7-4-8-2-5-9(11)6-3-8,C10H10O3,499.84,65536,0.01072,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000605/simulation_1/B0s/sim_600MHz.csv,True
bmse000606,simulation_1,Sinapaldehyde,"InChI=1S/C11H12O4/c1-14-9-6-8(4-3-5-12)7-10(15-2)11(9)13/h3-7,13H,1-2H3/b4-3+",1S/C11H12O4/c1-14-9-6-8(4-3-5-12)7-10(15-2)11(9)13,C11H12O4,499.84,65536,0.02003,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000606/simulation_1/B0s/sim_600MHz.csv,True
bmse000607,simulation_1,Syringic-acid,"InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)",1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10,C9H10O5,499.84,65536,0.00958,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000607/simulation_1/B0s/sim_600MHz.csv,True
