bmse_id,simulation,name,inchi,inchi_skeleton,formula,ref_field_mhz,n_sim_points,roi_rmsd,ph,temperature_k,solvent,reference,sim_csv,has_field
bmse000672,simulation_1,2-4-Dichlorobenzoic-acid,"InChI=1S/C7H4Cl2O2/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3H,(H,10,11)",1S/C7H4Cl2O2/c8-4-1-2-5(7(10)11)6(9)3-4,C7H4Cl2O2,499.84,32768,0.01647,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000672/simulation_1/B0s/sim_600MHz.csv,True
bmse000673,simulation_1,2-5-Dichlorophenol,"InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h1-3,9H",1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4,C6H4Cl2O,499.84,32768,0.01214,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000673/simulation_1/B0s/sim_600MHz.csv,True
bmse000674,simulation_1,2-6-Dichlorophenol,"InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(8)6(4)9/h1-3,9H",1S/C6H4Cl2O/c7-4-2-1-3-5(8)6(4)9,C6H4Cl2O,499.84,32768,0.01679,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000674/simulation_1/B0s/sim_600MHz.csv,True
bmse000675,simulation_1,Hydrocinnamic-acid,"InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)",1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8,C9H10O2,499.84,32768,0.00814,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000675/simulation_1/B0s/sim_600MHz.csv,True
bmse000676,simulation_1,Nitrobenzene,InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6,C6H5NO2,499.84,32768,0.01679,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000676/simulation_1/B0s/sim_600MHz.csv,True
bmse000677,simulation_1,Salicylaldehyde,"InChI=1S/C7H6O2/c8-5-6-3-1-2-4-7(6)9/h1-5,9H",1S/C7H6O2/c8-5-6-3-1-2-4-7(6)9,C7H6O2,499.84,32768,0.01679,N/A,298,,,/reboxitory/2023/12/GISSMO/bmse000677/simulation_1/B0s/sim_600MHz.csv,True
bmse000678,simulation_1,2-4-6-Trichlorophenol,"InChI=1S/C6H3Cl3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H",1S/C6H3Cl3O/c7-3-1-4(8)6(10)5(9)2-3,C6H3Cl3O,499.84,32768,0.01207,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000678/simulation_1/B0s/sim_600MHz.csv,True
bmse000679,simulation_1,2-Naphthaldehyde,InChI=1S/C11H8O/c12-8-9-5-6-10-3-1-2-4-11(10)7-9/h1-8H,1S/C11H8O/c12-8-9-5-6-10-3-1-2-4-11(10)7-9,C11H8O,499.84,32768,0.01207,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000679/simulation_1/B0s/sim_600MHz.csv,True
bmse000680,simulation_1,3-4-Dihydroxyhydrocinnamate,"InChI=1S/C9H10O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1,3,5,10-11H,2,4H2,(H,12,13)",1S/C9H10O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13,C9H10O4,499.84,32768,0.01207,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000680/simulation_1/B0s/sim_600MHz.csv,True
bmse000681,simulation_1,4-Ethylphenol,"InChI=1S/C8H10O/c1-2-7-3-5-8(9)6-4-7/h3-6,9H,2H2,1H3",1S/C8H10O/c1-2-7-3-5-8(9)6-4-7,C8H10O,499.84,32768,0.01207,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000681/simulation_1/B0s/sim_600MHz.csv,True
bmse000682,simulation_1,Homoveratric-acid,"InChI=1S/C10H12O4/c1-13-8-4-3-7(6-10(11)12)5-9(8)14-2/h3-5H,6H2,1-2H3,(H,11,12)",1S/C10H12O4/c1-13-8-4-3-7(6-10(11)12)5-9(8)14-2,C10H12O4,499.84,32768,0.02304,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000682/simulation_1/B0s/sim_600MHz.csv,True
bmse000684,simulation_1,"DL-3,4-dihydroxymandelic acid","InChI=1S/C8H8O5/c9-5-2-1-4(3-6(5)10)7(11)8(12)13/h1-3,7,9-11H,(H,12,13)/t7-/m1/s1",1S/C8H8O5/c9-5-2-1-4(3-6(5)10)7(11)8(12)13,C8H8O5,499.84,32768,0.01019,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000684/simulation_1/B0s/sim_600MHz.csv,True
bmse000687,simulation_1,N-3-indolylacetyl-L-alanine,"InChI=1S/C13H14N2O3/c1-8(13(17)18)15-12(16)6-9-7-14-11-5-3-2-4-10(9)11/h2-5,7-8,14H,6H2,1H3,(H,15,16)(H,17,18)/t8-/m0/s1",1S/C13H14N2O3/c1-8(13(17)18)15-12(16)6-9-7-14-11-5-3-2-4-10(9)11,C13H14N2O3,499.84,32768,0.01990,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000687/simulation_1/B0s/sim_600MHz.csv,True
bmse000688,simulation_1,1-4-Dihydroxy-2-naphthoic-acid,"InChI=1S/C11H8O4/c12-9-5-8(11(14)15)10(13)7-4-2-1-3-6(7)9/h1-5,12-13H,(H,14,15)",1S/C11H8O4/c12-9-5-8(11(14)15)10(13)7-4-2-1-3-6(7)9,C11H8O4,499.84,32768,0.01086,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000688/simulation_1/B0s/sim_600MHz.csv,True
bmse000689,simulation_1,1-Hydroxy-2-naphthoic-acid,"InChI=1S/C11H8O3/c12-10-8-4-2-1-3-7(8)5-6-9(10)11(13)14/h1-6,12H,(H,13,14)",1S/C11H8O3/c12-10-8-4-2-1-3-7(8)5-6-9(10)11(13)14,C11H8O3,499.84,32768,0.01046,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000689/simulation_1/B0s/sim_600MHz.csv,True
bmse000690,simulation_1,1-Naphthalenemethanol,"InChI=1S/C11H10O/c12-8-10-6-3-5-9-4-1-2-7-11(9)10/h1-7,12H,8H2",1S/C11H10O/c12-8-10-6-3-5-9-4-1-2-7-11(9)10,C11H10O,499.84,32768,0.01875,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000690/simulation_1/B0s/sim_600MHz.csv,True
bmse000691,simulation_1,2-4-Dichlorophenol,"InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4,C6H4Cl2O,499.84,32768,0.01059,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000691/simulation_1/B0s/sim_600MHz.csv,True
bmse000692,simulation_1,2-Amino-3-methoxybenzoic-acid,"InChI=1S/C8H9NO3/c1-12-6-4-2-3-5(7(6)9)8(10)11/h2-4H,9H2,1H3,(H,10,11)",1S/C8H9NO3/c1-12-6-4-2-3-5(7(6)9)8(10)11,C8H9NO3,499.84,32768,0.00809,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000692/simulation_1/B0s/sim_600MHz.csv,True
bmse000693,simulation_1,2-Naphthoic-acid,"InChI=1S/C11H8O2/c12-11(13)10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,(H,12,13)",1S/C11H8O2/c12-11(13)10-6-5-8-3-1-2-4-9(8)7-10,C11H8O2,499.84,32768,0.00982,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000693/simulation_1/B0s/sim_600MHz.csv,True
bmse000694,simulation_1,5-Methoxy-3-indoleacetic-acid,"InChI=1S/C11H11NO3/c1-15-8-2-3-10-9(5-8)7(6-12-10)4-11(13)14/h2-3,5-6,12H,4H2,1H3,(H,13,14)",1S/C11H11NO3/c1-15-8-2-3-10-9(5-8)7(6-12-10)4-11(13)14,C11H11NO3,499.84,32768,0.01760,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000694/simulation_1/B0s/sim_600MHz.csv,True
bmse000695,simulation_1,Benzylsuccinic-acid,"InChI=1S/C11H12O4/c12-10(13)7-9(11(14)15)6-8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H,12,13)(H,14,15)/t9-/m0/s1",1S/C11H12O4/c12-10(13)7-9(11(14)15)6-8-4-2-1-3-5-8,C11H12O4,499.84,32768,0.01449,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000695/simulation_1/B0s/sim_600MHz.csv,True
bmse000696,simulation_1,Indole-3-acetamide,"InChI=1S/C10H10N2O/c11-10(13)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,12H,5H2,(H2,11,13)",1S/C10H10N2O/c11-10(13)5-7-6-12-9-4-2-1-3-8(7)9,C10H10N2O,499.84,32768,0.01600,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000696/simulation_1/B0s/sim_600MHz.csv,True
bmse000699,simulation_1,Thiamine-monophosphate,"InChI=1S/C12H17N4O4PS/c1-8-11(3-4-20-21(17,18)19)22-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7H,3-4,6H2,1-2H3,(H3-,13,14,15,17,18,19)/p+1","1S/C12H17N4O4PS/c1-8-11(3-4-20-21(17,18)19)22-7-16(8)6-10-5-14-9(2)15-12(10)13",C12H17N4O4PS,499.84,32768,0.00959,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000699/simulation_1/B0s/sim_600MHz.csv,True
bmse000701,simulation_1,4-Phenylbutyric-acid,"InChI=1S/C10H12O2/c11-10(12)8-4-7-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H,11,12)",1S/C10H12O2/c11-10(12)8-4-7-9-5-2-1-3-6-9,C10H12O2,499.84,32768,0.01295,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000701/simulation_1/B0s/sim_600MHz.csv,True
bmse000703,simulation_1,4-Hydroxy-3-methoxymandelic-acid,"InChI=1S/C9H10O5/c1-14-7-4-5(2-3-6(7)10)8(11)9(12)13/h2-4,8,10-11H,1H3,(H,12,13)/t8-/m1/s1",1S/C9H10O5/c1-14-7-4-5(2-3-6(7)10)8(11)9(12)13,C9H10O5,499.84,32768,0.01571,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000703/simulation_1/B0s/sim_600MHz.csv,True
bmse000705,simulation_1,Cis-aconitic-acid,"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1-",1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10,C6H6O6,499.84,32768,0.02662,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000705/simulation_1/B0s/sim_600MHz.csv,True
bmse000706,simulation_1,L-cysteinesulfinic-acid,"InChI=1S/C3H7NO4S/c4-2(3(5)6)1-9(7)8/h2H,1,4H2,(H,5,6)(H,7,8)/t2-/m0/s1",1S/C3H7NO4S/c4-2(3(5)6)1-9(7)8,C3H7NO4S,499.84,32768,0.02542,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000706/simulation_1/B0s/sim_600MHz.csv,True
bmse000707,simulation_1,N-acetyl-histidine,"InChI=1S/C8H11N3O3/c1-5(12)11-7(8(13)14)2-6-3-9-4-10-6/h3-4,7H,2H2,1H3,(H,9,10)(H,11,12)(H,13,14)/t7-/m0/s1",1S/C8H11N3O3/c1-5(12)11-7(8(13)14)2-6-3-9-4-10-6,C8H11N3O3,499.84,32768,0.00914,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000707/simulation_1/B0s/sim_600MHz.csv,True
bmse000708,simulation_1,Nicotinuric-acid,"InChI=1S/C8H8N2O3/c11-7(12)5-10-8(13)6-2-1-3-9-4-6/h1-4H,5H2,(H,10,13)(H,11,12)",1S/C8H8N2O3/c11-7(12)5-10-8(13)6-2-1-3-9-4-6,C8H8N2O3,499.84,32768,0.01989,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000708/simulation_1/B0s/sim_600MHz.csv,True
bmse000709,simulation_1,N-N-dimethylformamide,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",1S/C3H7NO/c1-4(2)3-5,C3H7NO,499.84,32768,0.02808,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000709/simulation_1/B0s/sim_600MHz.csv,True
bmse000711,simulation_1,L-Arginine,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9,C6H14N4O2,499.84,32768,0.00788,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000711/simulation_1/B0s/sim_600MHz.csv,True
bmse000715,simulation_1,2-Hydroxyphenylacetic-acid,"InChI=1S/C8H8O3/c9-7-4-2-1-3-6(7)5-8(10)11/h1-4,9H,5H2,(H,10,11)",1S/C8H8O3/c9-7-4-2-1-3-6(7)5-8(10)11,C8H8O3,499.84,32768,0.01632,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000715/simulation_1/B0s/sim_600MHz.csv,True
bmse000718,simulation_1,Cis-1-3-dichloropropene,"InChI=1S/C3H4Cl2/c4-2-1-3-5/h1-2H,3H2/b2-1-",1S/C3H4Cl2/c4-2-1-3-5,C3H4Cl2,499.84,32768,0.01262,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000718/simulation_1/B0s/sim_600MHz.csv,True
bmse000722,simulation_1,Epichlorohydrin,"InChI=1S/C3H5ClO/c4-1-3-2-5-3/h3H,1-2H2/t3-/m1/s1",1S/C3H5ClO/c4-1-3-2-5-3,C3H5ClO,499.84,32768,0.01605,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000722/simulation_1/B0s/sim_600MHz.csv,True
bmse000723,simulation_1,N-2-furoyl-glycine-methyl-ester,"InChI=1S/C8H9NO4/c1-12-7(10)5-9-8(11)6-3-2-4-13-6/h2-4H,5H2,1H3,(H,9,11)",1S/C8H9NO4/c1-12-7(10)5-9-8(11)6-3-2-4-13-6,C8H9NO4,499.84,32768,0.00916,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000723/simulation_1/B0s/sim_600MHz.csv,True
bmse000725,simulation_1,Sec-butylbenzene,"InChI=1S/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3/t9-/m0/s1",1S/C10H14/c1-3-9(2)10-7-5-4-6-8-10,C10H14,499.84,32768,0.01575,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000725/simulation_1/B0s/sim_600MHz.csv,True
bmse000726,simulation_1,Sulfanilic-acid,"InChI=1S/C6H7NO3S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,7H2,(H,8,9,10)","1S/C6H7NO3S/c7-5-1-3-6(4-2-5)11(8,9)10",C6H7NO3S,499.84,32768,0.00971,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000726/simulation_1/B0s/sim_600MHz.csv,True
bmse000727,simulation_1,Trans-2-3-dimethylacrylic-acid,"InChI=1S/C5H8O2/c1-3-4(2)5(6)7/h3H,1-2H3,(H,6,7)/b4-3+",1S/C5H8O2/c1-3-4(2)5(6)7,C5H8O2,499.84,32768,0.01447,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000727/simulation_1/B0s/sim_600MHz.csv,True
bmse000730,simulation_1,2-2-Dimethylsuccinic-acid,"InChI=1S/C6H10O4/c1-6(2,5(9)10)3-4(7)8/h3H2,1-2H3,(H,7,8)(H,9,10)","1S/C6H10O4/c1-6(2,5(9)10)3-4(7)8",C6H10O4,499.84,32768,0.00449,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000730/simulation_1/B0s/sim_600MHz.csv,True
bmse000731,simulation_1,3-Deazauridine,"InChI=1S/C10H13NO6/c12-4-6-8(15)9(16)10(17-6)11-2-1-5(13)3-7(11)14/h1-2,6,8-10,12,15-16H,3-4H2/t6-,8-,9-,10-/m1/s1",1S/C10H13NO6/c12-4-6-8(15)9(16)10(17-6)11-2-1-5(13)3-7(11)14,C10H13NO6,499.84,32768,0.11739,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000731/simulation_1/B0s/sim_600MHz.csv,True
bmse000732,simulation_1,6-Ethylmercaptopurine,"InChI=1S/C7H8N4S/c1-2-12-7-5-6(9-3-8-5)10-4-11-7/h3-4H,2H2,1H3,(H,8,9,10,11)",1S/C7H8N4S/c1-2-12-7-5-6(9-3-8-5)10-4-11-7,C7H8N4S,499.84,32768,0.01506,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000732/simulation_1/B0s/sim_600MHz.csv,True
bmse000734,simulation_1,Bis-2-butoxyethyl-phthalate,"InChI=1S/C20H30O6/c1-3-5-11-23-13-15-25-19(21)17-9-7-8-10-18(17)20(22)26-16-14-24-12-6-4-2/h7-10H,3-6,11-16H2,1-2H3",1S/C20H30O6/c1-3-5-11-23-13-15-25-19(21)17-9-7-8-10-18(17)20(22)26-16-14-24-12-6-4-2,C20H30O6,499.84,32768,0.02058,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000734/simulation_1/B0s/sim_600MHz.csv,True
bmse000736,simulation_1,3-Methylphenylacetate,"InChI=1S/C9H10O2/c1-7-4-3-5-9(6-7)11-8(2)10/h3-6H,1-2H3",1S/C9H10O2/c1-7-4-3-5-9(6-7)11-8(2)10,C9H10O2,499.84,32768,0.01622,,,,,/reboxitory/2023/12/GISSMO/bmse000736/simulation_1/B0s/sim_600MHz.csv,True
bmse000738,simulation_1,N-methylurea,"InChI=1S/C2H6N2O/c1-4-2(3)5/h1H3,(H3,3,4,5)",1S/C2H6N2O/c1-4-2(3)5,C2H6N2O,499.84,32768,0.00703,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000738/simulation_1/B0s/sim_600MHz.csv,True
bmse000739,simulation_1,P-fluorobenzoic-acid,"InChI=1S/C7H5FO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,(H,9,10)",1S/C7H5FO2/c8-6-3-1-5(2-4-6)7(9)10,C7H5FO2,499.84,32768,0.00546,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000739/simulation_1/B0s/sim_600MHz.csv,True
bmse000740,simulation_1,D-pinitol,"InChI=1S/C7H14O6/c1-13-7-5(11)3(9)2(8)4(10)6(7)12/h2-12H,1H3/t2-,3-,4+,5+,6-,7-",1S/C7H14O6/c1-13-7-5(11)3(9)2(8)4(10)6(7)12,C7H14O6,499.84,32768,0.00655,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000740/simulation_1/B0s/sim_600MHz.csv,True
bmse000741,simulation_1,N-methyl-L-aspartic-acid,"InChI=1S/C5H9NO4/c1-6-3(5(9)10)2-4(7)8/h3,6H,2H2,1H3,(H,7,8)(H,9,10)/t3-/m0/s1",1S/C5H9NO4/c1-6-3(5(9)10)2-4(7)8,C5H9NO4,499.84,32768,0.01214,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000741/simulation_1/B0s/sim_600MHz.csv,True
bmse000742,simulation_1,Phenoxyacetic-acid,"InChI=1S/C8H8O3/c9-8(10)6-11-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)",1S/C8H8O3/c9-8(10)6-11-7-4-2-1-3-5-7,C8H8O3,499.84,32768,0.02470,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000742/simulation_1/B0s/sim_600MHz.csv,True
bmse000743,simulation_1,Phenylglyoxylic-acid,"InChI=1S/C8H6O3/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5H,(H,10,11)",1S/C8H6O3/c9-7(8(10)11)6-4-2-1-3-5-6,C8H6O3,499.84,32768,0.01196,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000743/simulation_1/B0s/sim_600MHz.csv,True
bmse000744,simulation_1,Histamine,"InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)",1S/C5H9N3/c6-2-1-5-3-7-4-8-5,C5H9N3,499.84,32768,0.00916,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000744/simulation_1/B0s/sim_600MHz.csv,True
bmse000745,simulation_1,Homoarginine,"InChI=1S/C7H16N4O2/c8-5(6(12)13)3-1-2-4-11-7(9)10/h5H,1-4,8H2,(H,12,13)(H4,9,10,11)/t5-/m0/s1",1S/C7H16N4O2/c8-5(6(12)13)3-1-2-4-11-7(9)10,C7H16N4O2,499.84,32768,0.01195,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000745/simulation_1/B0s/sim_600MHz.csv,True
bmse000746,simulation_1,Mesaconic-acid,"InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h2H,1H3,(H,6,7)(H,8,9)/b3-2+",1S/C5H6O4/c1-3(5(8)9)2-4(6)7,C5H6O4,499.84,32768,0.00772,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000746/simulation_1/B0s/sim_600MHz.csv,True
bmse000750,simulation_1,2-Hydroxyethyl-salicylate,"InChI=1S/C9H10O4/c10-5-6-13-9(12)7-3-1-2-4-8(7)11/h1-4,10-11H,5-6H2",1S/C9H10O4/c10-5-6-13-9(12)7-3-1-2-4-8(7)11,C9H10O4,499.84,16384,0.00916,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000750/simulation_1/B0s/sim_600MHz.csv,True
bmse000751,simulation_1,Khellin,"InChI=1S/C14H12O5/c1-7-6-9(15)10-11(16-2)8-4-5-18-12(8)14(17-3)13(10)19-7/h4-6H,1-3H3",1S/C14H12O5/c1-7-6-9(15)10-11(16-2)8-4-5-18-12(8)14(17-3)13(10)19-7,C14H12O5,499.84,32768,0.01459,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000751/simulation_1/B0s/sim_600MHz.csv,True
bmse000754,simulation_1,Precocene-1,"InChI=1S/C12H14O2/c1-12(2)7-6-9-4-5-10(13-3)8-11(9)14-12/h4-8H,1-3H3",1S/C12H14O2/c1-12(2)7-6-9-4-5-10(13-3)8-11(9)14-12,C12H14O2,499.84,32768,0.02070,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000754/simulation_1/B0s/sim_600MHz.csv,True
bmse000757,simulation_1,Serotonin,"InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2",1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10,C10H12N2O,499.84,32768,0.01495,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000757/simulation_1/B0s/sim_600MHz.csv,True
bmse000758,simulation_1,5-Methoxypsoralen,"InChI=1S/C12H8O4/c1-14-12-7-2-3-11(13)16-10(7)6-9-8(12)4-5-15-9/h2-6H,1H3",1S/C12H8O4/c1-14-12-7-2-3-11(13)16-10(7)6-9-8(12)4-5-15-9,C12H8O4,499.84,32768,0.02228,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000758/simulation_1/B0s/sim_600MHz.csv,True
bmse000759,simulation_1,5-Methyluridine,"InChI=1S/C10H14N2O6/c1-4-2-12(10(17)11-8(4)16)9-7(15)6(14)5(3-13)18-9/h2,5-7,9,13-15H,3H2,1H3,(H,11,16,17)/t5-,6-,7-,9-/m1/s1",1S/C10H14N2O6/c1-4-2-12(10(17)11-8(4)16)9-7(15)6(14)5(3-13)18-9,C10H14N2O6,499.84,32768,0.01253,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000759/simulation_1/B0s/sim_600MHz.csv,True
bmse000760,simulation_1,Homoarginine,"InChI=1S/C7H16N4O2/c8-5(6(12)13)3-1-2-4-11-7(9)10/h5H,1-4,8H2,(H,12,13)(H4,9,10,11)/t5-/m0/s1",1S/C7H16N4O2/c8-5(6(12)13)3-1-2-4-11-7(9)10,C7H16N4O2,499.84,32768,0.01146,,,,,/reboxitory/2023/12/GISSMO/bmse000760/simulation_1/B0s/sim_600MHz.csv,True
bmse000761,simulation_1,Mesaconic acid,"InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h2H,1H3,(H,6,7)(H,8,9)/b3-2+",1S/C5H6O4/c1-3(5(8)9)2-4(6)7,C5H6O4,499.84,32768,0.00576,,,,,/reboxitory/2023/12/GISSMO/bmse000761/simulation_1/B0s/sim_600MHz.csv,True
bmse000762,simulation_1,Neostigmine,"InChI=1S/C12H19N2O2/c1-13(2)12(15)16-11-8-6-7-10(9-11)14(3,4)5/h6-9H,1-5H3/q+1","1S/C12H19N2O2/c1-13(2)12(15)16-11-8-6-7-10(9-11)14(3,4)5",C12H19N2O2,499.84,32768,0.01696,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000762/simulation_1/B0s/sim_600MHz.csv,True
bmse000765,simulation_1,Octamethylcyclotetrasiloxane,"InChI=1S/C8H24O4Si4/c1-13(2)9-14(3,4)11-16(7,8)12-15(5,6)10-13/h1-8H3","1S/C8H24O4Si4/c1-13(2)9-14(3,4)11-16(7,8)12-15(5,6)10-13",C8H24O4Si4,499.84,32768,0.02553,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000765/simulation_1/B0s/sim_600MHz.csv,True
bmse000766,simulation_1,Orthanilic-acid,"InChI=1S/C6H7NO3S/c7-5-3-1-2-4-6(5)11(8,9)10/h1-4H,7H2,(H,8,9,10)","1S/C6H7NO3S/c7-5-3-1-2-4-6(5)11(8,9)10",C6H7NO3S,499.84,32768,0.01678,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000766/simulation_1/B0s/sim_600MHz.csv,True
bmse000767,simulation_1,Propiolic acid,"InChI=1S/C3H2O2/c1-2-3(4)5/h1H,(H,4,5)",1S/C3H2O2/c1-2-3(4)5,C3H2O2,499.84,32768,0.01059,,,,,/reboxitory/2023/12/GISSMO/bmse000767/simulation_1/B0s/sim_600MHz.csv,True
bmse000768,simulation_1,Saligenin,"InChI=1S/C7H8O2/c8-5-6-3-1-2-4-7(6)9/h1-4,8-9H,5H2",1S/C7H8O2/c8-5-6-3-1-2-4-7(6)9,C7H8O2,499.84,32768,0.01850,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000768/simulation_1/B0s/sim_600MHz.csv,True
bmse000771,simulation_1,Pyromellitic-acid,"InChI=1S/C10H6O8/c11-7(12)3-1-4(8(13)14)6(10(17)18)2-5(3)9(15)16/h1-2H,(H,11,12)(H,13,14)(H,15,16)(H,17,18)",1S/C10H6O8/c11-7(12)3-1-4(8(13)14)6(10(17)18)2-5(3)9(15)16,C10H6O8,499.84,32768,0.00782,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000771/simulation_1/B0s/sim_600MHz.csv,True
bmse000772,simulation_1,Salicylhydroxamic-acid,"InChI=1S/C7H7NO3/c9-6-4-2-1-3-5(6)7(10)8-11/h1-4,9,11H,(H,8,10)",1S/C7H7NO3/c9-6-4-2-1-3-5(6)7(10)8-11,C7H7NO3,499.84,32768,0.01391,n/a,298,,,/reboxitory/2023/12/GISSMO/bmse000772/simulation_1/B0s/sim_600MHz.csv,True
bmse000773,simulation_1,Triethylenetetramine,"InChI=1S/C6H18N4/c7-1-3-9-5-6-10-4-2-8/h9-10H,1-8H2",1S/C6H18N4/c7-1-3-9-5-6-10-4-2-8,C6H18N4,499.84,32768,0.08592,7.4,298,,,/reboxitory/2023/12/GISSMO/bmse000773/simulation_1/B0s/sim_600MHz.csv,True
