family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,embed_dim
masking,masking_linear_probe_C1,42,0.9285714285714286,0.9444444444444444,0.9251336898395721,0.9297173414820473,1.0,0.8888888888888888,0.9411764705882353,1.0,1.0,15,0,3,24,128
jigsaw,jigsaw_linear_probe_C1,42,0.8571428571428571,0.874074074074074,0.851764705882353,0.8598319327731092,0.9565217391304348,0.8148148148148148,0.88,0.9234567901234568,0.964876135911082,14,1,5,22,768
joint,joint_linear_probe_C1,42,0.8333333333333334,0.8111111111111111,0.8156739811912226,0.831974921630094,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.9234567901234567,0.9648334558870957,11,4,3,24,960
