path,extension,size_bytes,size_mb,shape,dtype,read_error
Old Models/checkpoint_epoch_600_20260105_062242.pth,.pth,22638748,21.59,,,
Old Models/checkpoint_epoch_600_20260106_041031.pth,.pth,22638748,21.59,,,
Old Models/checkpoint_epoch_600_20260120_060754.pth,.pth,22638748,21.59,,,
Old Models/checkpoint_epoch_600_20260203_023928.pth,.pth,22638748,21.59,,,
Old Models/checkpoint_epoch_600_20260222_113533.pth,.pth,22638748,21.59,,,
Old Models/checkpoint_epoch_600_20260223_115451.pth,.pth,22638748,21.59,,,
Old Models/checkpoint_epoch_700_20251212_103256.pth,.pth,22640604,21.59,,,
Old Models/checkpoint_epoch_700_20260105_062242.pth,.pth,22640604,21.59,,,
Old Models/checkpoint_epoch_700_20260106_041031.pth,.pth,22640604,21.59,,,
Old Models/checkpoint_epoch_700_20260120_060754.pth,.pth,22640604,21.59,,,
Old Models/checkpoint_epoch_700_20260203_023928.pth,.pth,22640604,21.59,,,
Old Models/checkpoint_epoch_700_20260222_113533.pth,.pth,22640604,21.59,,,
Old Models/checkpoint_epoch_700_20260223_115451.pth,.pth,22640604,21.59,,,
Old Models/checkpoint_epoch_800_20251212_103256.pth,.pth,22642396,21.59,,,
Old Models/checkpoint_epoch_800_20260105_062242.pth,.pth,22642396,21.59,,,
Old Models/checkpoint_epoch_800_20260106_041031.pth,.pth,22642396,21.59,,,
Old Models/checkpoint_epoch_800_20260120_060754.pth,.pth,22642396,21.59,,,
Old Models/checkpoint_epoch_800_20260203_023928.pth,.pth,22642396,21.59,,,
Old Models/checkpoint_epoch_800_20260223_115451.pth,.pth,22642396,21.59,,,
Old Models/checkpoint_epoch_900_20251212_103256.pth,.pth,22644188,21.60,,,
Old Models/checkpoint_epoch_900_20260105_062242.pth,.pth,22644188,21.60,,,
Old Models/checkpoint_epoch_900_20260106_041031.pth,.pth,22644188,21.60,,,
Old Models/checkpoint_epoch_900_20260120_060754.pth,.pth,22644188,21.60,,,
Old Models/checkpoint_epoch_900_20260223_115451.pth,.pth,22644188,21.60,,,
Plasma_WS625to680Zero.png,.png,183935,0.18,,,
Plots and Visualisations/nmr_mae_20250928_004449_reconstructions.png,.png,1774345,1.69,,,
Plots and Visualisations/nmr_mae_20250928_004449_training_curves.png,.png,320150,0.31,,,
Plots and Visualisations/nmr_mae_20250928_012139_reconstructions.png,.png,1722019,1.64,,,
Plots and Visualisations/nmr_mae_20250928_012139_training_curves.png,.png,315559,0.30,,,
Plots and Visualisations/nmr_mae_20250928_062123_reconstructions.png,.png,1073052,1.02,,,
Plots and Visualisations/nmr_mae_20250928_062123_training_curves.png,.png,242820,0.23,,,
Plots and Visualisations/nmr_mae_20250928_064900_reconstructions.png,.png,1058762,1.01,,,
Plots and Visualisations/nmr_mae_20250928_064900_training_curves.png,.png,240031,0.23,,,
Plots and Visualisations/nmr_mae_20250928_071751_reconstructions.png,.png,1068229,1.02,,,
Plots and Visualisations/nmr_mae_20250928_071751_training_curves.png,.png,254412,0.24,,,
Plots and Visualisations/nmr_mae_20250928_072620_reconstructions.png,.png,1783206,1.70,,,
Plots and Visualisations/nmr_mae_20250928_072620_training_curves.png,.png,336336,0.32,,,
Plots and Visualisations/nmr_mae_20250928_091820_reconstructions.png,.png,1890572,1.80,,,
Plots and Visualisations/nmr_mae_20250928_091820_training_curves.png,.png,322085,0.31,,,
Plots and Visualisations/nmr_mae_20250928_094646_reconstructions.png,.png,1441021,1.37,,,
Plots and Visualisations/nmr_mae_20250928_094646_training_curves.png,.png,331753,0.32,,,
Plots and Visualisations/nmr_mae_20250928_102535_reconstructions.png,.png,1727098,1.65,,,
Plots and Visualisations/nmr_mae_20250928_102535_training_curves.png,.png,302093,0.29,,,
Plots and Visualisations/nmr_mae_v2_20251009_141540_reconstructions.png,.png,1045276,1.00,,,
Plots and Visualisations/nmr_mae_v2_20251009_141540_training_curves.png,.png,267061,0.25,,,
Plots and Visualisations/nmr_mae_v2_20251009_150517_reconstructions.png,.png,1071973,1.02,,,
