family,model,fine_tune_mode,support_per_class,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_roc_auc_ovr_mean,macro_roc_auc_ovr_std,n_episodes
joint_ssl,joint_ssl_metabolights,frozen,2,0.414018691588785,0.07398999831951153,0.39760536398467433,0.05104040750556074,0.37666602640153346,0.06085949417621523,0.4153378933892613,0.0743347120441902,0.41112152902265375,0.044614773897189236,0.39760536398467433,0.05104040750556074,0.5864461425026392,0.05063940631263448,10
joint_ssl,joint_ssl_metabolights,frozen,4,0.4257425742574258,0.0594059405940594,0.40293965293965295,0.05235108670172577,0.38270242910917307,0.05544719229322624,0.4296888145433474,0.060309609313334143,0.41152048296837646,0.0548958895173822,0.40293965293965295,0.05235108670172577,0.6099160549431797,0.040222697108547006,10
joint_ssl,joint_ssl_metabolights,frozen,6,0.44631578947368417,0.08231791325538346,0.4263333333333333,0.04389802999038836,0.4111055744276545,0.0574779283955635,0.4531090790349874,0.08470934991016882,0.4355184824104226,0.04022891479273054,0.4263333333333333,0.04389802999038836,0.6166761904761905,0.03835344120693229,10
joint_ssl,joint_ssl_metabolights,frozen,8,0.5112359550561798,0.07051749207401771,0.46125201288244766,0.05167141078417495,0.45097605164000665,0.05261856250375483,0.5185485991711878,0.06422182498710803,0.46539267590740574,0.05520932406505214,0.46125201288244766,0.05167141078417495,0.651525588380733,0.03513772558654896,10
joint_ssl,joint_ssl_metabolights,frozen,10,0.4831325301204819,0.03521792974842371,0.4223731884057971,0.040818428856949064,0.4168006048600654,0.03872542044111333,0.49827432857484044,0.029197370825948796,0.4283385879143693,0.030490789788868045,0.4223731884057971,0.040818428856949064,0.6236881653436677,0.024452216231457352,10
joint_ssl,joint_ssl_metabolights,frozen,12,0.47532467532467526,0.042942326468007753,0.44769879243563454,0.03423008062950865,0.43199203542309605,0.03192208193781474,0.4972405805399962,0.036622606750747175,0.4492653096246245,0.027461425281112815,0.44769879243563454,0.03423008062950865,0.6320797404971399,0.04533448842106854,10
joint_ssl,joint_ssl_metabolights,frozen,14,0.5352112676056338,0.06835783933596731,0.4588001867413632,0.04508718681693803,0.4497752062240684,0.042160007404536376,0.5514885519389796,0.05385474565487056,0.4713221520956635,0.03869796775546428,0.4588001867413632,0.04508718681693803,0.6695605666125142,0.03531019294111023,10
joint_ssl,joint_ssl_metabolights,frozen,16,0.5107692307692308,0.07281328963814913,0.4774999999999999,0.04332007552808017,0.4413887134157063,0.04753542568542929,0.5337997734147404,0.06807153476688957,0.4755193843452815,0.04456844834204041,0.4774999999999999,0.04332007552808017,0.6568868686868687,0.031209627205411563,10
joint_ssl,joint_ssl_metabolights,frozen,18,0.535593220338983,0.051903656849066025,0.46519905533063427,0.04645019542627479,0.43794195486592863,0.046808540869514526,0.566934396877611,0.044716436405118555,0.4560625787679765,0.041160188189572657,0.46519905533063427,0.04645019542627479,0.6664810614147672,0.047968920470012444,10
joint_ssl,joint_ssl_metabolights,frozen,20,0.530188679245283,0.09090171892250189,0.4685185185185185,0.10988508362535439,0.4275595166295393,0.09494041099551916,0.5661801980193557,0.07925277471411075,0.4499270582624808,0.08098253472076523,0.4685185185185185,0.10988508362535439,0.661634041108384,0.07930456582051541,10
joint_ssl,joint_ssl_metabolights,frozen,22,0.5170212765957447,0.06952525352143248,0.5293572984749455,0.04939569679665219,0.42765557529706,0.03771183687672343,0.5631813133475785,0.0736853822674198,0.46192551314690905,0.028995084121101418,0.5293572984749455,0.04939569679665219,0.7145108634002723,0.034081276844536997,10
joint_ssl,joint_ssl_metabolights,frozen,24,0.5292682926829269,0.06998484298099951,0.47455357142857146,0.1284280697249844,0.3735965151529061,0.041183854196953786,0.5960016453583298,0.0631182795816137,0.4174125406893949,0.0404170807634913,0.47455357142857146,0.1284280697249844,0.7082486413368766,0.08980936143457761,10
joint_ssl,joint_ssl_metabolights,unfreeze_last_1,2,0.414018691588785,0.0735954523239702,0.39837696892294594,0.05098234965587453,0.3763947687105302,0.05960520225473346,0.41426572582863175,0.07359245978710054,0.41136919402946487,0.04422256056675384,0.39837696892294594,0.05098234965587453,0.5834569753544612,0.050279281833319006,10
joint_ssl,joint_ssl_metabolights,unfreeze_last_1,4,0.42871287128712876,0.05904732239814618,0.4045821462488129,0.05007870706961529,0.38418985735102096,0.05600534263857657,0.43208144984917973,0.061466352075713764,0.4130833672301194,0.05037631582844319,0.4045821462488129,0.05007870706961529,0.6073372960051683,0.03977654800836568,10
joint_ssl,joint_ssl_metabolights,unfreeze_last_1,6,0.44947368421052636,0.08480056446788559,0.429,0.04714176151791897,0.4125695228160632,0.059359603526478295,0.4548276671127362,0.08726839796814101,0.4383275604262171,0.04210188524522118,0.429,0.04714176151791897,0.6178423280423281,0.03732305666732943,10
joint_ssl,joint_ssl_metabolights,unfreeze_last_1,8,0.49775280898876406,0.06658876903330858,0.45518317230273747,0.05236362473141722,0.44258993611475417,0.05107744564256672,0.5066136995032352,0.0604643993030464,0.45865634884773804,0.05012693593056924,0.45518317230273747,0.05236362473141722,0.6474947103453295,0.03467050994249621,10
joint_ssl,joint_ssl_metabolights,unfreeze_last_1,10,0.48674698795180726,0.03321457530624149,0.42812715665976536,0.04132068585189296,0.42258418556784083,0.03991492892020816,0.5026333253366393,0.029894974546176328,0.43410148119649417,0.03342726581977548,0.42812715665976536,0.04132068585189296,0.6236841246339686,0.02556641203241383,10
joint_ssl,joint_ssl_metabolights,unfreeze_last_1,12,0.4636363636363637,0.04542361347038847,0.4390009113693324,0.041575420522194845,0.42309642435153655,0.03743661486463515,0.48542992548405,0.03722287646263095,0.4443828955033533,0.03953504877394343,0.4390009113693324,0.041575420522194845,0.6292089149125941,0.04335147775455597,10
joint_ssl,joint_ssl_metabolights,unfreeze_last_1,14,0.5394366197183099,0.048359086504481084,0.4746031746031746,0.05090258087677474,0.4624787104071461,0.03794762489291977,0.5576640877257862,0.0350381864482598,0.4788438453885064,0.033550685772540924,0.4746031746031746,0.05090258087677474,0.666272847212786,0.03609107999571516,10
