pcs_removed,abs_r_at_0p09ppm,abs_r_at_1p5ppm,abs_r_at_6ppm,mean_abs_r_beyond_1024pts
0,0.7295288162527916,0.5683387599448453,0.4502473109999831,0.5970642584917929
1,0.7168624915205837,0.559907538525736,0.4683248862557624,0.605789476895836
2,0.7178016182979263,0.5572846386324432,0.46517406679953793,0.6029420509645612
5,0.6669161083114135,0.4935827645108355,0.3737560073454557,0.537890718816707
