window_points,mean_abs_r_beyond,frac_pairs_abs_r_gt_0p3,max_abs_r_beyond
128,0.5982955745536053,0.9984693877551021,0.9397507527885365
256,0.5980568794963292,0.998467824310521,0.9397507527885365
512,0.5976689306052146,0.9984646878198568,0.9397507527885365
1024,0.5970642584917929,0.9984583761562179,0.9397507527885365
2048,0.5961247935291963,0.9984455958549223,0.9397507527885365
