row,votes,corr_to_median,pca_resid,iso_score
9665,2,-0.12764148,1.0806762,0.4515945564858758
9131,2,-0.023104535,1.041465,0.43885601061750257
3819,2,-0.021440675,1.0263555,0.4654164869606639
9668,2,-0.042891692,1.0169282,0.4774349142715995
9669,2,-0.04289169,1.0169282,0.4774349142715995
952,2,0.0063536875,1.0071179,0.42015696353388954
210,2,0.02849326,0.9884076,0.4241996750796105
128,2,-0.083722584,0.98208886,0.525242500023322
9627,2,0.0064709373,0.9627415,0.46658024909623874
433,2,0.032013007,0.9606827,0.40560505164303806
9639,2,0.010216842,0.95469576,0.43086287080177815
9557,2,0.006913269,0.9546388,0.47405750378196054
88,2,0.008153625,0.94497406,0.4160541224630813
9644,2,-0.0004934518,0.94375914,0.4393372817941784
9579,2,0.02371766,0.9402785,0.4813322366585729
26,2,0.013478887,0.9395448,0.42433684895660545
9546,2,0.030102301,0.9379224,0.479907606253098
9567,2,0.024747308,0.9129731,0.479844539675193
222,2,0.026929056,0.8837609,0.40425702179602596
66,2,0.026713833,0.8814973,0.4132448390682197
177,2,0.028685518,0.8303655,0.4165360702661944
9310,2,0.19281185,0.8267958,0.5607840025263092
168,2,0.030413305,0.80727065,0.423259367274138
130,2,0.028000291,0.8036535,0.4278463343114376
23,2,0.032608993,0.7797755,0.4066143663514111
9296,2,0.032796413,0.7609721,0.49683014691057786
9575,2,0.15346423,0.7391661,0.5589168686594221
9609,2,0.17200208,0.73228514,0.558332106546188
205,2,0.032084912,0.73225534,0.4327856317612869
9537,2,0.19479135,0.73049235,0.5652403358212822
9623,2,0.18079838,0.730356,0.553502666357539
9577,2,0.23016563,0.7260986,0.5496751107174437
9378,2,0.034221165,0.72599584,0.5065868608035996
9252,2,0.040204674,0.5214508,0.5699203792022672
9251,2,0.03614691,0.39067978,0.5832688959869035
7588,1,0.056655765,1.0140607,0.41770600986929446
9463,1,0.054455556,1.0084171,0.4211631665755764
9654,1,0.05801072,1.001384,0.4393709516575481
9655,1,0.05801072,1.001384,0.4393709516575481
9263,1,0.054599985,0.9996915,0.4288732194393481
9506,1,0.05098973,0.99694794,0.4316107357615
9488,1,0.07231738,0.994495,0.40569101109892247
9508,1,0.04553683,0.9897859,0.4291014563589223
9619,1,0.06750479,0.9890951,0.4255876123066389
113,1,0.04693424,0.9865658,0.4292755557969074
58,1,0.069868736,0.98631454,0.4177160966433395
78,1,0.04739105,0.9853049,0.4273814011032788
9636,1,0.06410374,0.9818196,0.4208027910179099
9608,1,0.07742147,0.98075986,0.4208553897392671
248,1,0.041775346,0.97988236,0.41933590696626966
9558,1,0.066719,0.9794515,0.4255781608211335
9563,1,0.05541067,0.97577435,0.42463860022916916
9473,1,0.1159914,0.9753639,0.4086646489672993
9018,1,0.20512211,0.97001195,0.41896534512886147
5538,1,0.19988906,0.9686997,0.4024584890942313
9304,1,0.16836157,0.9680416,0.4357614782493021
9586,1,0.053764466,0.9679408,0.4283766338046608
8529,1,0.09659786,0.96701944,0.4282911551824711
8530,1,0.09659786,0.96701944,0.4282911551824711
9615,1,0.07352798,0.9639285,0.4287373523462153
9607,1,0.13282084,0.96366787,0.4094247687539092
364,1,0.05260612,0.95761335,0.4132827538093205
365,1,0.05260612,0.95761335,0.4132827538093205
62,1,0.13299668,0.95696837,0.4334720225935787
63,1,0.13299668,0.95696837,0.4334720225935787
9399,1,0.13225918,0.9544068,0.41961096607424403
435,1,0.14009368,0.9530525,0.4353504281820676
436,1,0.14009368,0.9530525,0.4353504281820676
9618,1,0.083186515,0.9526096,0.43163873556244475
9390,1,0.14384492,0.95013136,0.40871909045092
161,1,0.06074615,0.94915426,0.4428991900325555
9511,1,0.1707626,0.9474154,0.4150430425825646
380,1,0.15171182,0.9454075,0.42316901164639986
381,1,0.15171182,0.9454075,0.42316901164639986
39,1,0.07913712,0.9449576,0.41926378529558395
40,1,0.07913712,0.9449576,0.41926378529558395
6,1,0.1927967,0.94196737,0.42169524557512034
9592,1,0.1642429,0.9415021,0.4143836927730699
7438,1,0.21420707,0.94114214,0.42845284313629584
6865,1,0.26098487,0.93816775,0.40550509037297394
456,1,0.042624988,0.93651575,0.4205941979901567
457,1,0.042624988,0.93651575,0.4205941979901567
9531,1,0.18816599,0.9294263,0.456034257427478
9606,1,0.16801837,0.9290571,0.4259709026408581
9661,1,0.19771649,0.92664576,0.4651694719259401
9610,1,0.20713174,0.92137563,0.4533952249361096
251,1,0.18640208,0.9189675,0.4548277753568899
252,1,0.18640208,0.9189675,0.4548277753568899
9666,1,0.22810405,0.9188019,0.4363128891834389
9667,1,0.22810405,0.9188019,0.4363128891834389
9611,1,0.22196048,0.9182448,0.464831669875707
13,1,0.08858724,0.91595876,0.43019733408659266
14,1,0.08858724,0.91595876,0.43019733408659266
9420,1,0.20315701,0.9155416,0.4558786358163405
1103,1,0.2613432,0.89287174,0.4354256665458326
8855,1,0.13349855,0.8875631,0.44688703435258487
75,1,0.11849181,0.883302,0.4570028378281783
5486,1,0.3000366,0.88291234,0.45047830985680853
6763,1,0.30068713,0.88237906,0.45047830985680853
7526,1,0.20045802,0.8780572,0.44136897957717064
9145,1,0.26395983,0.87618715,0.4960637762802817
2505,1,0.20515525,0.8756183,0.44356464792887934
