epoch,split,lr,loss,balanced_loss,masked_loss,unmasked_loss,jigsaw_loss,coverage_loss,masked_loss_norm,unmasked_loss_norm,jigsaw_loss_norm,coverage_loss_norm,peak_weight_mean,jigsaw_token_accuracy,mask_ratio
1,train,2.9999999999999997e-05,1.4408274103173226,1.4408274103173226,0.030970230619235158,0.027371994624824803,5.18596792007241,0.0,0.42001062117082655,0.35214080537915765,0.9856027030624082,0.0,1.0759561211538957,0.02931830574311483,0.3984090351737668
1,val,2.9999999999999997e-05,1.3534508155924934,1.3534508155924934,0.004072146864408361,0.0006771220713354913,5.009890275342124,0.0,0.36200554269765106,0.0818733252318842,0.9832579387085778,0.0,1.0770117065736227,0.047880869026162794,0.3999565972813538
2,train,5.9999999999999995e-05,1.9331362295578414,1.9331362295578414,0.006086863218201116,0.0031222773542535815,4.967884446473399,0.0,0.8640466912444932,0.763033487604338,0.9927861850892482,0.0,1.0759732300925149,0.04568192691880491,0.40043003783632286
2,val,5.9999999999999995e-05,1.4409741056816918,1.4409741056816918,0.002723940394519429,0.00018565386406927637,4.875727679048266,0.0,0.44553482638938086,0.06577993523595589,0.9888612808925765,0.0,1.0770117065736227,0.06204853366528239,0.4008028544485569
3,train,8.999999999999999e-05,1.963113140097648,1.963113140097648,0.003930586991589433,0.0018155609890233909,4.8489342933278445,0.0,0.8836054855397999,0.8437176261247541,0.9951359017547471,0.0,1.0759967768673404,0.057688582237525904,0.39830130672775577
3,val,8.999999999999999e-05,1.741084051983697,1.741084051983697,0.0026962768107685925,0.00015531410177313125,4.789644828864506,0.0,0.7367471855665956,0.11193027147757155,0.9931438501392092,0.0,1.0770117065736227,0.07556621610586133,0.40099564833300455
4,train,0.00011999999999999999,1.930937773978229,1.930937773978229,0.0024046376728632324,0.0005114632911198133,4.782000054158438,0.0,0.8664291233759824,0.6686536250093058,0.9976432793878119,0.0,1.0759767283238637,0.06677796232259327,0.40122573926309835
4,val,0.00011999999999999999,2.0975009224244525,2.0975009224244525,0.002278344530038469,4.749292897291265e-05,4.722039580345154,0.0,1.0924374195081847,0.15381052531301975,0.9896824381181172,0.0,1.0770117065736227,0.0853329613538725,0.39731319355113165
5,train,0.00015,2.027640878352349,2.027640878352349,0.0018924537374253798,0.00012123233367503107,4.734266129309821,0.0,0.9550123173292442,0.7480564614582489,0.997822921906886,0.0,1.075970565257051,0.07363995605653711,0.3999774470724867
5,val,0.00015,2.086312677179064,2.086312677179064,0.0019319075186753512,3.597766548019925e-05,4.690955213138035,0.0,1.0568249113857746,0.36532362337623325,0.9929554057972771,0.0,1.0770117065736227,0.09157265563096319,0.40416221001318525
6,train,0.00017999999999999998,2.020163339349721,2.020163339349721,0.0017002734993563572,5.898503933155141e-05,4.703405256228597,0.0,0.937907330123833,0.8371632580265336,0.9985396851338613,0.0,1.0759736561454465,0.07961182189361932,0.4002152379318203
6,val,0.00017999999999999998,2.248662925192288,2.248662925192288,0.0018168554098727846,1.2724494061850627e-05,4.668958706515176,0.0,1.2267439195087977,0.27031151125473635,0.9948878533073834,0.0,1.0770117065736227,0.097096730821899,0.40246872657111715
7,train,0.00020999999999999998,2.0520433706018424,2.0520433706018424,0.0015928864511953575,3.958436629765995e-05,4.676153232163912,0.0,0.9632154880885051,0.8990224557072592,0.998925634563771,0.0,1.0759956900848937,0.08610572983331209,0.3975391063187689
7,val,0.00020999999999999998,2.4261681331055507,2.4261681331055507,0.0019259817823435047,8.94851582903097e-06,4.6528850708689005,0.0,1.4001555676971162,0.29691692095782074,0.9963208788207599,0.0,1.0770117065736227,0.10402043656046901,0.4011990986764431
8,train,0.00023999999999999998,2.0841934541950313,2.0841934541950313,0.0016583572115724064,2.1152707974289674e-05,4.653523252683905,0.0,0.9949476873928121,0.9034819450613629,0.9988975693292147,0.0,1.0759573928978412,0.09164480717994707,0.39985526730661436
8,val,0.00023999999999999998,2.2078593458448137,2.2078593458448137,0.001836961619639104,8.384429122543224e-06,4.62351667881012,0.0,1.1698406163070882,0.43008535940732273,0.9950102056775775,0.0,1.0770117065736227,0.11083321353154522,0.39865402930549215
9,train,0.00027,2.0576575171252536,2.0576575171252536,0.0014944504445310132,1.8439370385733186e-05,4.637486432165308,0.0,0.9644784525103633,0.9399160940550902,0.9991874558508663,0.0,1.0759784138256123,0.09637385483146248,0.39974228389594585
9,val,0.00027,2.3296911737748554,2.3296911737748554,0.001879204649802497,5.379574178375281e-06,4.604587154729026,0.0,1.2992516990218843,0.35833478452903883,0.9946059957146645,0.0,1.0770117065736227,0.11739088994051729,0.4016118124127388
10,train,0.0003,2.033406207379739,2.033406207379739,0.0014773276939908785,1.4585807707488031e-05,4.623132072756643,0.0,0.939815535272718,0.941771320965258,0.999413540010495,0.0,1.0759847180191178,0.10071866842396056,0.4000216770599776
10,val,0.0003,2.637304914849145,2.637304914849145,0.0018819263210129325,6.8482967614207676e-06,4.588512326989855,0.0,1.5845264292189054,0.5899754166603088,0.9937809546078954,0.0,1.0770117065736227,0.12228048419845956,0.39780680356281145
