family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
classical,xgboost,-,24,6,72,41,ok,,0.4146341463414634,0.4077380952380952,0.341991341991342,0.5125118783655369,0.45784313725490194,0.4077380952380952,0.7096358842682372,"[[1, 0, 1], [17, 14, 1], [2, 3, 2]]"
classical,logistic_regression,-,24,7,72,41,ok,,0.6097560975609756,0.6845238095238094,0.4886363636363636,0.649390243902439,0.47504025764895325,0.6845238095238094,0.7730224568459864,"[[2, 0, 0], [6, 20, 6], [1, 3, 3]]"
classical,svm_rbf,-,24,7,72,41,ok,,0.5853658536585366,0.44345238095238093,0.36553504974557605,0.635741237795153,0.37798941798941793,0.44345238095238093,0.7058374631904044,"[[1, 0, 1], [5, 22, 5], [3, 3, 1]]"
classical,xgboost,-,24,7,72,41,ok,,0.5609756097560976,0.5074404761904762,0.4154882154882155,0.6069967972406997,0.41389045736871827,0.5074404761904762,0.7615478883861236,"[[1, 0, 1], [6, 19, 7], [0, 4, 3]]"
classical,logistic_regression,-,24,8,72,41,ok,,0.6341463414634146,0.6130952380952381,0.4964262508122157,0.6788380164503398,0.48953823953823955,0.6130952380952381,0.7808444959180253,"[[1, 1, 0], [5, 20, 7], [1, 1, 5]]"
classical,svm_rbf,-,24,8,72,41,ok,,0.5121951219512195,0.44940476190476186,0.3610251117991056,0.595006166779934,0.4046783625730994,0.44940476190476186,0.8095844106873519,"[[1, 0, 1], [5, 18, 9], [4, 1, 2]]"
classical,xgboost,-,24,8,72,41,ok,,0.5609756097560976,0.4702380952380952,0.38580246913580246,0.6289521228545618,0.4104377104377104,0.4702380952380952,0.663924651057004,"[[1, 1, 0], [5, 20, 7], [4, 1, 2]]"
classical,logistic_regression,-,24,9,72,41,ok,,0.8048780487804879,0.4925595238095238,0.5120065120065119,0.8236099943417017,0.5340501792114695,0.4925595238095238,0.7318877337259689,"[[0, 2, 0], [1, 29, 2], [3, 0, 4]]"
classical,svm_rbf,-,24,9,72,41,ok,,0.5365853658536586,0.22916666666666666,0.26666666666666666,0.624390243902439,0.31884057971014496,0.22916666666666666,0.7846631173837056,"[[0, 1, 1], [5, 22, 5], [7, 0, 0]]"
classical,xgboost,-,24,9,72,41,ok,,0.7073170731707317,0.3764880952380952,0.39032006245121,0.7397041183526589,0.40558292282430214,0.3764880952380952,0.7243567298714358,"[[0, 2, 0], [0, 27, 5], [5, 0, 2]]"
classical,logistic_regression,-,24,10,72,41,ok,,0.6097560975609756,0.40922619047619047,0.3911350703803534,0.6835404203098635,0.42857142857142855,0.40922619047619047,0.7464170497258733,"[[0, 0, 2], [3, 21, 8], [3, 0, 4]]"
classical,svm_rbf,-,24,10,72,41,ok,,0.3902439024390244,0.24107142857142858,0.25793650793650796,0.4878048780487805,0.33928571428571425,0.24107142857142858,0.781193139649022,"[[0, 0, 2], [8, 14, 10], [3, 2, 2]]"
classical,xgboost,-,24,10,72,41,ok,,0.5609756097560976,0.7008928571428571,0.4711111111111112,0.6152845528455285,0.484045584045584,0.7008928571428571,0.7583150781680194,"[[2, 0, 0], [6, 17, 9], [2, 1, 4]]"
masking,mask_metabolights,frozen,2,1,6,107,ok,,0.4672897196261682,0.407620263942103,0.40852301122166185,0.46459310701488676,0.41000522466039707,0.407620263942103,0.5134476704230018,"[[8, 9, 7], [4, 35, 15], [10, 12, 7]]"
masking,mask_metabolights,frozen,2,2,6,107,ok,,0.3925233644859813,0.34759472115793955,0.34314920853787506,0.40185322966577824,0.3617584149499043,0.34759472115793955,0.545736241895962,"[[8, 9, 7], [19, 29, 6], [15, 9, 5]]"
masking,mask_metabolights,frozen,2,3,6,107,ok,,0.45794392523364486,0.4599829714772244,0.44834087481146306,0.47929969975049685,0.4806451612903226,0.4599829714772244,0.6265097815704929,"[[8, 3, 13], [26, 23, 5], [6, 5, 18]]"
