row,r2_full,r2_metabolites_only,r2_envelope_only,n_metabolites_used,r2_unconstrained_upper_bound,metabolite_signal_frac
49,0.5181661759781981,0.45352376921303883,0.22327799927386993,43,0.5469919492035049,0.19017787855464544
90,0.5010379994638396,0.2341097680401878,0.47286091843986566,37,0.611672880304587,0.10430372397538523
127,0.491904775432078,0.45415057048332463,0.1523035711238977,40,0.5163776322050984,0.1698897948438621
237,0.5148330924112796,0.25776880203063035,0.4749530524224974,40,0.6097207018657198,0.11789792399807557
299,0.5338043618104118,0.3940455870435765,0.5017563936081639,42,0.5835964242942,0.12211314817346369
374,0.5781877282166032,0.3778966948754058,0.5597395304677535,41,0.6250270803284039,0.1073641146847621
431,0.5409880686973465,0.21897222116495685,0.5276765408550609,34,0.7103255241056717,0.08604707277053818
509,0.551002763167904,0.40021403717080517,0.5256644292157766,37,0.5914263965736979,0.1499361670305405
835,0.47549540351692876,0.24457023767844688,0.42707805526140563,42,0.5699292754938716,0.1350540486204411
884,0.35388770147615023,0.17441525443192152,0.3459271639887561,26,0.377826940630962,0.10972410760601255
966,0.4257569814678488,0.2587862441432124,0.39934922569963194,30,0.4708996565519069,0.22535299791486518
1293,0.4214487453066529,0.24104227221144525,0.41375309782642855,27,0.4481698679537258,0.14538319259809823
1761,0.33421609396712904,0.26815522846239603,0.20002377975414853,33,0.41302839803762625,0.5648352423652497
1769,0.6773652131943069,0.3598021209884963,0.665562348773033,34,0.7419819983125191,0.1784466332839216
2527,0.39587490030641126,0.3473973563542101,0.20103551373208262,31,0.5298472582513669,0.5493905184804875
2630,0.5003620031083544,0.29601647489362615,0.47391422355610635,38,0.5433480129939678,0.19096630223693312
2705,0.5428514232884394,0.24183075966324863,0.48371735081076606,36,0.593386682204432,0.33902967954968094
2912,0.43348531739295637,0.26044789441167426,0.3611247113825051,28,0.48757376484197645,0.41822924642698006
2976,0.3100732809553588,0.2368256562200517,0.21434467422095882,37,0.36755525464406114,0.5830140904310697
3647,0.4338009413748213,0.25255336410111895,0.42642189705832667,31,0.45661133089504413,0.10964947920680547
3684,0.5559891196242246,0.29833979822871237,0.545475629592047,33,0.5980411833652143,0.1410724088617425
3769,0.37948322479849284,0.2974581293713725,0.2517926555568629,37,0.45428539171317583,0.5573223678019174
3859,0.467744595164847,0.28210019098307937,0.4594561494813526,35,0.49574118986015236,0.1610094521778943
4035,0.46137293549979363,0.28470816957821565,0.4514265579182144,34,0.4895141192662985,0.1823664832307448
4386,0.4696792779291843,0.2795504229806468,0.3420652462792485,36,0.5627166041109743,0.43101090798068753
4563,0.43842632294076034,0.2427522877854622,0.34051910666410223,36,0.5114718125290418,0.42518164811800047
4755,0.3250335687898718,0.2695997228566036,0.20494513549209137,37,0.388227116682489,0.6572285362380215
4817,0.565868477064052,0.3167073594313313,0.557110760726977,36,0.6076926093428057,0.1676064357591113
4974,0.2662174567309815,0.2217812160451954,0.1705956902236011,37,0.31794615997665265,0.6632744394631251
5111,0.3733716439441409,0.25226275964040923,0.27587668916321817,38,0.4357873619156041,0.510073907150071
5121,0.3853509007444502,0.3021197951092869,0.25180695891065774,27,0.47028781934212693,0.5061709490203945
5223,0.2396386939266255,0.20206494354805948,0.16554511467682076,30,0.275306455265764,0.6490308903659048
5270,0.33651688837089333,0.2237128617734908,0.2492006397135249,37,0.3948563559215119,0.49080917841871735
5690,0.34464039276722624,0.26686148719272673,0.2342086239799952,36,0.42243235626856335,0.548100063166421
5792,0.5683757460229046,0.22206764316951655,0.5274379884935521,42,0.6103088072001694,0.2970731246798492
5924,0.42334409188245625,0.32573789139337317,0.24811580766461394,33,0.5300473181616359,0.5069517084090298
5956,0.40023854213568766,0.24651808768730088,0.3207515786661168,38,0.447697559688225,0.4874602116950742
6075,0.35113405676425014,0.2865091551531628,0.2256679676787896,28,0.42414655252094846,0.591086600173781
6079,0.30291997422823125,0.2584482437434019,0.18295676325102628,27,0.3735712217306557,0.6401783640781751
6117,0.4157519901572696,0.27861219395939896,0.3010683340801966,35,0.49330374843925984,0.48115531004357437
6277,0.36460668759171433,0.2747090712406538,0.23798131087661134,33,0.45031615595681695,0.5686329821300359
6290,0.4243649015675003,0.2827615735063044,0.30545100631694677,35,0.503027459235611,0.46735239177388027
6436,0.4455755701365871,0.313037912908363,0.3122131559427206,36,0.5286229199752569,0.4749252938900464
6809,0.49879876482330543,0.3180589803583914,0.33748879380915564,36,0.590038142487238,0.4718939073406215
6820,0.3090715958890172,0.21660547170377198,0.2305216796184526,40,0.3593920649898976,0.53627415023526
7142,0.40060095501822246,0.30044929585910984,0.27352157479497874,37,0.47459684572959826,0.5246207670507669
7151,0.32111793615210704,0.19655304479063151,0.30933372170681395,33,0.3428189125983854,0.1777235340440695
7529,0.49154114296960427,0.2885396672281597,0.4823280770035302,36,0.5231514873758281,0.1582097309965232
7567,0.539864666116562,0.3596096939290264,0.5139175050074051,34,0.5697411507919801,0.22934009528090418
7601,0.39005561368646546,0.24059639721728,0.37594783743606064,39,0.4142555350385485,0.18925177742606544
7894,0.40075188165102793,0.24597236902385,0.3635808852099134,41,0.4434505247021525,0.19657303951961633
7906,0.7289143663603437,0.4192130151150517,0.7131924903545609,39,0.7884544076019632,0.2279627416403694
7992,0.6883619387392732,0.4084991959213812,0.6749945679077093,35,0.7474034901228167,0.18876015112153333
8055,0.405323264947989,0.2813638327473542,0.31300199441303145,35,0.46469343745778646,0.45732070038442785
8517,0.5367172365768066,0.3777906651051556,0.5101480996519785,40,0.579629694677342,0.18156800706794296
8742,0.41500004815350566,0.24873766310860423,0.40473673889041606,41,0.4330237123166807,0.14193333614054476
8931,0.6046877785900544,0.39495064263649704,0.5927713775343008,39,0.6464240786966974,0.14397534332555942
9097,0.6855603162967387,0.39704700064218634,0.6714633612075167,38,0.7365196312955982,0.14537858476284513
9276,0.582181759203783,0.402872249789311,0.5675012573912463,39,0.6162095914318965,0.13322399415637504
9583,0.6158536582783813,0.36794866187072595,0.607635180132295,40,0.6639896918403239,0.1023994175647798
