feature_group,feature_name,classifier,n_episodes,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean,masking_ratio,masking_label,support_per_class,source_dir,method_id,method_label,rank_accuracy_within_setting
direct_binned,bins2048_auc,svm_C1p0,100,0.4769444444444444,0.1177224289190777,0.4368796202938979,0.1155366058608654,0.4758765826231254,0.5003304843304843,0.2,20%,2,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_2,direct_binned|bins2048_auc|svm_C1p0,Direct 2048 AUC + SVM_C1P0,6
direct_binned,bins1024_auc,svm_C1p0,100,0.4708333333333334,0.1188635943386771,0.4313216041538538,0.1155243979614752,0.4692275307595741,0.4952763532763533,0.2,20%,2,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_2,direct_binned|bins1024_auc|svm_C1p0,Direct 1024 AUC + SVM_C1P0,7
direct_binned,bins2048_auc,xgboost_depth2,100,0.4641666666666666,0.1136971093405766,0.4321147272152601,0.113258916856624,0.4978985823148283,0.5000712250712251,0.2,20%,2,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_2,direct_binned|bins2048_auc|xgboost_depth2,Direct 2048 AUC + XGBOOST_DEPTH2,8
direct_binned,bins1024_auc,xgboost_depth2,100,0.4519444444444444,0.1157057186070285,0.417030619642142,0.1179303501821307,0.4756816354613852,0.4846324786324786,0.2,20%,2,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_2,direct_binned|bins1024_auc|xgboost_depth2,Direct 1024 AUC + XGBOOST_DEPTH2,9
foundation_backbone,mae_flatten,xgboost_depth2,100,0.4166666666666666,0.1247893848546043,0.3784867864925789,0.1110950579514337,0.4628964440355985,0.4273361823361823,0.2,20%,2,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_2,foundation_backbone|mae_flatten|xgboost_depth2,MAE embeddings + XGBOOST_DEPTH2,10
direct_binned,bins2048_auc,svm_C1p0,100,0.6036666666666667,0.0852664668575541,0.5493498412163909,0.081567957452406,0.5956421580966608,0.6404797979797979,0.2,20%,4,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_4,direct_binned|bins2048_auc|svm_C1p0,Direct 2048 AUC + SVM_C1P0,1
direct_binned,bins1024_auc,svm_C1p0,100,0.6,0.0842208629724275,0.544540420123536,0.0807183304529659,0.5894297963556612,0.6319191919191919,0.2,20%,4,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_4,direct_binned|bins1024_auc|svm_C1p0,Direct 1024 AUC + SVM_C1P0,2
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.5996666666666666,0.0916851833150055,0.5439788352109872,0.079077975657289,0.6046286131738918,0.6178914141414141,0.2,20%,4,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_4,prototype_head|mae_embeddings|prototype_mahalanobis_support_anova,MAE prototype head,3
direct_binned,bins2048_auc,logreg_C0p1,100,0.5943333333333333,0.0918759472034057,0.5435448703579446,0.0878280177170164,0.5922029098639006,0.6477083333333333,0.2,20%,4,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_4,direct_binned|bins2048_auc|logreg_C0p1,Direct 2048 AUC + LOGREG_C0P1,4
direct_binned,bins1024_auc,logreg_C0p1,100,0.585,0.0913024598215869,0.5367971911261709,0.088142003268355,0.5890262330548708,0.6468181818181818,0.2,20%,4,fewshot_support_sweep_EDTA_Suppressed_MTBLS326/mask_0.20/support_4,direct_binned|bins1024_auc|logreg_C0p1,Direct 1024 AUC + LOGREG_C0P1,5
