family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,embed_dim
masking,masking_linear_probe_C1_randominit,42,0.8809523809523809,0.8925925925925926,0.875222816399287,0.8828622358034123,0.9583333333333334,0.8518518518518519,0.9019607843137255,0.9555555555555556,0.9742884132610299,14,1,4,23,128
jigsaw,jigsaw_linear_probe_C1_randominit,42,0.8571428571428571,0.8592592592592593,0.8485576923076923,0.8588598901098902,0.92,0.8518518518518519,0.8846153846153846,0.9629629629629629,0.9806885727328283,13,2,4,23,768
joint,joint_linear_probe_C1_randominit,42,0.9047619047619048,0.9111111111111111,0.8990384615384616,0.9059065934065933,0.96,0.8888888888888888,0.9230769230769231,0.9901234567901235,0.9943995236587828,14,1,3,24,960
