feature_group,feature_name,classifier,n_episodes,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean
direct_binned,bins1024_auc,svm_C1p0,100,0.64125,0.09153552756081182,0.5317799522822884,0.0789261989787671,0.5948809986309986,0.6467195767195767
direct_binned,bins2048_auc,svm_C1p0,100,0.6516666666666667,0.09410962635824476,0.540855892479267,0.08171141794808616,0.5974126799126799,0.66005291005291
foundation_backbone,mae_flatten,xgboost_depth2,100,0.6054166666666666,0.09297259983988648,0.49537464802654374,0.06706666102151873,0.5771652467902468,0.5797354497354498
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.6216666666666666,0.1107443441639787,0.5198412991479487,0.07459043053020094,0.606955087940382,0.6084656084656085
