feature_group,feature_name,classifier,n_episodes,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean
direct_binned,bins1024_auc,logreg_C0p1,100,0.6070833333333333,0.08104064152017951,0.5125429856528658,0.07914832590003743,0.5843494653494653,0.6673809523809524
direct_binned,bins1024_auc,svm_C1p0,100,0.64125,0.09153552756081182,0.5317799522822884,0.0789261989787671,0.5948809986309986,0.6467195767195767
direct_binned,bins1024_auc,xgboost_depth2,100,0.55625,0.09611107461901568,0.46862742740741575,0.07878688516187965,0.5476252989929461,0.5768253968253968
direct_binned,bins2048_auc,logreg_C0p1,100,0.6154166666666666,0.08517637836923314,0.5178695964818997,0.08368041486089048,0.5886894940571411,0.6631216931216932
direct_binned,bins2048_auc,svm_C1p0,100,0.6516666666666667,0.09410962635824476,0.540855892479267,0.08171141794808616,0.5974126799126799,0.66005291005291
direct_binned,bins2048_auc,xgboost_depth2,100,0.5708333333333333,0.09410589946572769,0.47850728083455907,0.07384388377470089,0.5539417943167944,0.5927513227513227
foundation_backbone,mae_flatten,logreg_C0p1,100,0.5916666666666667,0.12632574180081577,0.4867351520729477,0.07854213236099225,0.5734628565878566,0.5307142857142857
foundation_backbone,mae_flatten,svm_C1p0,100,0.57625,0.11606008133875811,0.48020658563014423,0.07650976082634373,0.5815087597587598,0.5278306878306879
foundation_backbone,mae_flatten,xgboost_depth2,100,0.6054166666666666,0.09297259983988648,0.49537464802654374,0.06706666102151873,0.5771652467902468,0.5797354497354498
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.6216666666666666,0.1107443441639787,0.5198412991479487,0.07459043053020094,0.606955087940382,0.6084656084656085
