corpus_row,acqu_SW,proc_OFFSET,source
0,11.9877540426485,,workbench
1,11.9877540426485,,workbench
2,11.9877540426485,,workbench
3,11.9877540426485,,workbench
4,11.9877540426485,,workbench
5,11.9877540426485,,workbench
6,11.9877540426485,,workbench
7,11.9877540426485,,workbench
8,11.9877540426485,,workbench
9,11.9877540426485,,workbench
10,11.9877540426485,,workbench
11,11.9877540426485,,workbench
12,11.9877540426485,,workbench
13,11.9877539571724,10.8089752457722,serum
14,11.9877539571724,10.8089752457722,serum
15,11.9877540426485,,workbench
16,11.987753993934,10.8050197678565,serum
17,11.987753993934,10.8050197678565,serum
18,11.9877540426485,,workbench
19,11.98775399982,10.806915579709,serum
20,11.98775399982,10.806915579709,serum
21,11.9877540426485,,workbench
22,11.9877540426485,,workbench
23,11.9877540426485,,workbench
24,11.9877540426485,,workbench
25,11.9877540426485,,workbench
26,11.9877540426485,,workbench
27,11.9877540426485,,workbench
28,11.9877540426485,,workbench
29,11.9877540426485,,workbench
30,11.9877540426485,,workbench
31,11.9877540426485,,workbench
32,11.9877540426485,,workbench
33,11.9877540426485,,workbench
34,11.9877539555781,10.8088539760395,serum
35,11.9877539555781,10.8088539760395,serum
36,11.9877540426485,,workbench
37,11.9877540426485,,workbench
38,20.0306216932426,14.6945104604472,serum
39,11.9877539560456,10.810065927042,serum
40,11.9877539560456,10.810065927042,serum
41,11.9877540426485,,workbench
42,11.9877540426485,,workbench
43,11.9877539946653,10.8058751024729,serum
44,11.9877539946653,10.8058751024729,serum
45,11.9877540426485,,workbench
46,11.9877540426485,,workbench
47,11.9877540426485,,workbench
48,11.9877540426485,,workbench
49,11.9877540426485,,workbench
50,11.9877540426485,,workbench
51,11.987753995936,10.8060678889572,serum
52,11.987753995936,10.8060678889572,serum
53,11.9877540426485,,workbench
54,11.9877540426485,,workbench
55,11.9877539936943,10.8058000204466,serum
56,11.9877539936943,10.8058000204466,serum
57,11.9877540426485,,workbench
58,11.9877540426485,,workbench
59,20.0306216932426,14.6943473806104,serum
60,20.0306216932426,14.6946535114099,serum
61,20.0306216932426,14.6948118213845,serum
62,11.9877539977102,10.8046586404986,serum
63,11.9877539977102,10.8046586404986,serum
64,11.9877540426485,,workbench
65,11.9877540426485,,workbench
66,11.9877540426485,,workbench
67,11.9877540426485,,workbench
68,11.9877540426485,,workbench
69,11.9877540426485,,workbench
70,16.6986273825059,13.05148,plasma
71,11.9877540426485,,workbench
72,11.9877540426485,,workbench
73,11.9877540426485,,workbench
74,11.9877540426485,,workbench
75,11.9877540426485,,workbench
76,20.0306216932426,14.6941938403087,serum
77,20.0306216932426,14.6946258543561,serum
78,11.9877540426485,,workbench
79,11.9877540426485,,workbench
80,11.9877540426485,,workbench
81,11.9877539936823,10.8058357914608,serum
82,11.9877539936823,10.8058357914608,serum
83,11.9877540426485,,workbench
84,20.0306216932426,14.6922922141897,serum
85,11.9877540426485,,workbench
86,11.987753941061,10.8137383679483,serum
87,11.987753941061,10.8137383679483,serum
88,11.9877540426485,,workbench
89,11.9877539952647,10.8054826572124,serum
90,11.9877539952647,10.8054826572124,serum
91,20.0306216932426,14.694910049663,serum
92,11.9877540426485,,workbench
93,11.9877540426485,,workbench
94,11.9877540426485,,workbench
95,11.9877540426485,,workbench
96,20.0306216932426,14.6938743584426,serum
97,11.9877540426485,,workbench
98,11.9877540426485,,workbench
99,11.9877540019059,10.8060848658075,serum
100,11.9877540019059,10.8060848658075,serum
101,11.9877540426485,,workbench
102,11.9877540426485,,workbench
103,20.0306216932426,14.6940927504919,serum
104,20.0306216932426,14.7152956700949,serum
105,20.0306216932426,14.6940126412481,serum
106,11.9877540426485,,workbench
107,11.9877540426485,,workbench
108,20.0306216932426,14.6943054194646,serum
109,11.9877539628306,10.8102479140315,serum
110,11.9877539628306,10.8102479140315,serum
111,11.9877540426485,,workbench
112,11.9877540426485,,workbench
113,11.9877540426485,,workbench
114,11.9877540023051,10.8080827801979,serum
115,11.9877540023051,10.8080827801979,serum
116,20.0306216932426,14.6948461530245,serum
117,11.9877540426485,,workbench
118,20.0306216932426,14.6955089567854,serum
119,11.9877539404975,10.8124824859272,serum
120,11.9877539404975,10.8124824859272,serum
121,11.9877540426485,,workbench
122,11.9877540426485,,workbench
123,11.9877539795128,10.8116310697042,serum
124,11.9877539795128,10.8116310697042,serum
125,20.0306216932426,14.6953334809906,serum
126,11.9877540426485,,workbench
127,11.9877540426485,,workbench
128,12.0227226324054,,workbench
129,11.9877540426485,,workbench
130,11.9877540426485,,workbench
131,20.0306216932426,14.6943397526203,serum
132,11.9877539584551,10.8087071087825,serum
133,11.9877539584551,10.8087071087825,serum
134,11.9877540426485,,workbench
135,20.0306216932426,14.6928281778852,serum
136,11.9877540426485,,workbench
137,11.987753995912,10.8045038658183,serum
138,11.987753995912,10.8045038658183,serum
139,11.9877540426485,,workbench
140,20.0306216932426,14.6941967001419,serum
141,11.9877539935265,10.8151846811887,serum
142,11.9877539935265,10.8151846811887,serum
143,11.9877539975903,10.8059545655239,serum
144,11.9877539975903,10.8059545655239,serum
145,11.9877540426485,,workbench
146,11.9877540426485,,workbench
147,11.9877540426485,,workbench
148,11.9877540426485,,workbench
149,20.0306216932426,14.694547653436,serum
150,11.987753995876,10.8055136429887,serum
151,11.987753995876,10.8055136429887,serum
152,11.9877540426485,,workbench
153,11.9877539786737,10.809781274488,serum
154,11.9877539786737,10.809781274488,serum
155,11.9877540426485,,workbench
156,20.0306216932426,14.6938829413525,serum
157,11.9877540426485,,workbench
158,11.9877540426485,,workbench
159,11.9877540426485,,workbench
160,20.0306216932426,14.6947088234333,serum
161,11.9877540426485,,workbench
162,11.9877540014743,10.8067529564581,serum
163,11.9877540014743,10.8067529564581,serum
164,11.9877540426485,,workbench
165,11.9877540426485,,workbench
166,11.9877539405215,10.8121072597788,serum
167,11.9877539405215,10.8121072597788,serum
168,11.9877540426485,,workbench
169,11.9877540426485,,workbench
170,11.9877540426485,,workbench
171,11.9877540426485,,workbench
172,11.9877540426485,,workbench
173,11.9877540426485,,workbench
174,11.9877540426485,,workbench
175,11.9877539801002,10.8089797773691,serum
176,11.9877539801002,10.8089797773691,serum
177,11.9877540426485,,workbench
178,20.0306216932426,14.6944150920019,serum
179,11.9877539987051,10.8059414440833,serum
180,11.9877539987051,10.8059414440833,serum
181,11.9877539985253,10.8059569059395,serum
