peak_id,point_index,ppm,reference_prominence,tolerance_points,detection_rate,mean_abs_shift,frac_shift_at_edge
0,41537,,0.01188440235554043,300,0.5100310237849017,8.563260340632603,0.0
1,62174,,0.010016785151864058,300,0.5854188210961737,68.20561738208796,0.00724253665430136
2,69915,,0.007113447564053736,300,0.6233712512926577,42.32514930325149,0.004976775049767751
3,69987,,0.01458542085262441,300,0.7344364012409514,34.18572233173754,0.0
4,70059,,0.0039315175396061625,300,0.8842812823164427,71.87697345339727,0.0004677815460180096
5,70349,,0.00637002861119587,300,0.8918304033092037,39.4996521335807,0.0
6,71152,,0.0036043068285940803,300,0.9131334022750776,39.73227633069083,0.0
7,71286,,0.023383962602792636,300,0.9167528438469493,18.49249858996052,0.0
8,71410,,0.049400574908104344,300,0.9139607032057911,12.532133966960851,0.0
9,71655,,0.016652775613907496,300,0.9103412616339194,15.272747926843122,0.0
10,71773,,0.07165991768225909,300,0.8975180972078594,7.982601682221454,0.0
11,71882,,0.008809081467535916,300,0.8979317476732162,10.615109985028216,0.00011516756881262236
12,74024,,0.018256874836668074,300,0.9198552223371251,74.05295109612142,0.0
13,74127,,0.036506556862028326,300,0.9167528438469493,87.98138747884941,0.0
14,74214,,0.00992635031486646,300,0.8941054808686659,50.724612537589636,0.002197547999074717
15,74283,,0.00646588487202274,300,0.8410548086866598,39.365424812492314,0.0
16,74423,,0.005615383326341204,300,0.6701137538779731,15.982253086419753,0.0
17,74502,,0.02738277717484875,300,0.6552223371251292,31.916508838383837,0.0
18,74593,,0.014425366515431255,300,0.8896587383660807,71.10577705451587,0.0
19,74700,,0.010443974976071751,300,0.935263702171665,67.03118089341,0.0
20,74886,,0.009787354740182311,300,0.9686659772492244,42.28568378349525,0.0
21,74978,,0.004429418806891213,300,0.984488107549121,44.96596638655462,0.0001050420168067227
22,75542,,0.034947593308538374,300,0.8390899689762151,60.2580724673404,0.0003697313285679073
23,75635,,0.025764771599848843,300,0.7807652533609101,31.43205298013245,0.0
24,75737,,0.11676660819892502,300,0.7658738366080662,24.50972184715096,0.0
25,75809,,0.013742414034225783,300,0.7929679420889348,57.15779864371414,0.0005216484089723526
26,76147,,0.020163221340238305,300,0.9589451913133402,34.77838887091556,0.0
27,76325,,0.06320136813686558,300,0.8434332988624612,28.55664541441883,0.0
28,76521,,0.039571099631376644,300,0.6642192347466391,34.12221703253931,0.00015569048731122528
29,76700,,0.021330000092550466,300,0.6173733195449845,18.303350083752093,0.00016750418760469013
30,76982,,0.011220908717812382,300,0.647052740434333,15.103244366309733,0.0
31,79215,,0.03842020255790125,300,0.8160289555325749,49.134710429603345,0.0
32,79580,,0.0037541532932721996,300,0.7094105480868665,25.5067055393586,0.00043731778425655976
33,80131,,0.08723866779059371,300,0.9105480868665977,27.643384440658718,0.0006814310051107325
34,80786,,0.00900647191671015,300,0.981799379524302,50.38719191068043,0.0
35,80874,,0.006504245236013878,300,0.9019648397104447,42.74707635863334,0.00022930520522815867
36,81369,,0.00546668987374758,300,0.9490175801447777,85.26653590497985,0.0
37,82310,,0.009942350091976106,300,0.9944157187176835,40.151934276206326,0.0
38,82907,,0.009445380896858108,300,0.9765253360910031,56.54791909350842,0.0
39,83301,,0.003585365307818361,300,0.7043433298862462,93.36485097636177,0.0011745705476435178
40,83542,,0.031892468879385044,300,0.8770423991726991,28.848602759108594,0.0
41,84330,,0.0034915231178199464,300,0.5627714581178904,27.431826534362365,0.00018375597206909226
42,86477,,0.004832351731455943,300,0.6860392967942089,44.71811878203196,0.0
43,87168,,0.013990020071064414,300,0.9290589451913134,99.62778272484417,0.0
44,87249,,0.01948806634865108,300,0.9120992761116856,95.89705215419501,0.00011337868480725624
45,88156,,0.10825195425441404,300,0.6873836608066184,33.85406950503987,0.00015044380923724988
46,88229,,0.0417795206601686,300,0.7634953464322647,31.778816199376948,0.0
47,88471,,0.006883800692832759,300,0.5126163391933816,55.726649182973574,0.0
48,88601,,0.0073733334323378835,300,0.4063081695966908,53.668363451259864,0.0
49,88669,,0.005344310831210217,300,0.19493278179937953,48.49018567639257,0.0
50,90040,,0.014666000539678824,300,0.9175801447776629,84.84503550095796,0.00033810436154626394
51,90115,,0.012407660979637646,300,0.8937952430196484,84.16510470901308,0.0
52,90248,,0.003924861442692663,300,0.8482936918304033,100.70193831525052,0.0
53,90383,,0.01781807200524352,300,0.6455015511892451,19.490547901313683,0.0
54,90458,,0.01774958132233097,300,0.7991726990692865,17.0449016563147,0.0
55,90609,,0.011763316426914493,300,0.5811789038262668,18.362099644128115,0.0
56,90676,,0.006254811572622879,300,0.5108583247156153,12.058906882591094,0.0
57,90755,,0.004879164897489713,300,0.45305067218200623,30.54690709883588,0.00022825838849577722
58,91160,,0.027573016674104094,300,0.5877973112719752,63.77128782547502,0.0
59,97020,,0.04006582895763919,300,0.5777662874870734,29.009128333631644,0.0
