family,model,fine_tune_mode,support_per_class,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_roc_auc_ovr_mean,macro_roc_auc_ovr_std,n_episodes
classical,logistic_regression,-,2,0.5130841121495326,0.09172325729182727,0.47724563644103873,0.058092776739294756,0.462814231942434,0.07175664558401977,0.512699083037828,0.09573227345141638,0.49000295784095044,0.04438540308004006,0.47724563644103873,0.058092776739294756,0.6585369962463894,0.055292376223053066,10
classical,logistic_regression,-,3,0.48365384615384616,0.07167601195892045,0.4595999843743896,0.06646323791155545,0.4467767928924825,0.06718864072854776,0.4917378733474521,0.07169725986066601,0.4624658055672935,0.05960148321026367,0.4595999843743896,0.06646323791155545,0.6324126755842896,0.06076102518287564,10
classical,logistic_regression,-,4,0.5217821782178218,0.09599933375944716,0.4833462833462834,0.07457798287749579,0.4718642055403735,0.07388281093359464,0.5288997602153076,0.08368590242748747,0.4937786364458052,0.050350905127862285,0.4833462833462834,0.07457798287749579,0.6838704232013455,0.06835671251060134,10
classical,logistic_regression,-,5,0.5714285714285714,0.08482968648530563,0.5301120448179272,0.06608202902585422,0.5203163971950735,0.07048177077639622,0.575871481222731,0.07916828845569346,0.5317977015204512,0.07061642079973318,0.5301120448179272,0.06608202902585422,0.7018136612875573,0.06353113859945758,10
classical,logistic_regression,-,6,0.5284210526315789,0.06350780264841412,0.5113333333333333,0.053152471110807155,0.49516737404477223,0.05706511548428524,0.5418748894385058,0.06192480114268353,0.5086849539545212,0.05365965502713435,0.5113333333333333,0.053152471110807155,0.7053089947089947,0.049555132381287226,10
classical,logistic_regression,-,7,0.576086956521739,0.09681441460787962,0.5397571309225444,0.08461973173160729,0.5228410857576179,0.09237206781733667,0.5809566971584619,0.09630416254278354,0.5488996733158559,0.0863063005436987,0.5397571309225444,0.08461973173160729,0.7267448703784706,0.05720760942201262,10
classical,logistic_regression,-,8,0.5808988764044944,0.041722913682797354,0.5325885668276973,0.041522061924174083,0.524529373030999,0.039069132660969466,0.592891419655873,0.03791511295426924,0.5334366780574884,0.04032221256704735,0.5325885668276973,0.041522061924174083,0.7299986061130073,0.041783203005729366,10
classical,logistic_regression,-,9,0.5941860465116279,0.09918997692985897,0.5636192968483331,0.0877533457369172,0.5504204741462735,0.09393345135570753,0.6029414926617318,0.09483689045764525,0.5615066137952827,0.08929458174278948,0.5636192968483331,0.0877533457369172,0.7212998117320606,0.057524171342792876,10
classical,logistic_regression,-,10,0.5951807228915663,0.09387630736505691,0.5530624568668048,0.09213084211871606,0.5404021016304807,0.08874504140940247,0.6048722515715291,0.08499349074878788,0.5528081364275381,0.08141362422965127,0.5530624568668048,0.09213084211871606,0.7416690867033386,0.05592019267814264,10
classical,logistic_regression,-,11,0.61,0.04958158260214506,0.5653703703703703,0.046341952795869674,0.5532364998158681,0.045649962080327566,0.6215860286228706,0.04404161043762669,0.5587135066263761,0.04389706857759668,0.5653703703703703,0.046341952795869674,0.7571260683760684,0.0420990634994211,10
classical,logistic_regression,-,12,0.635064935064935,0.051385846669173785,0.5986386420596947,0.054674169387088446,0.5772175765841403,0.04672264781043747,0.6436538207572658,0.04889749771410874,0.5923570837773525,0.06639868895173916,0.5986386420596947,0.054674169387088446,0.7650530034141885,0.035618010439296376,10
classical,logistic_regression,-,13,0.5986486486486486,0.05699577869508696,0.5587424633936262,0.052459842736970734,0.5428606776107049,0.0509327452464065,0.6144592955310272,0.0504495692683011,0.5471164749034768,0.043839248310414,0.5587424633936262,0.052459842736970734,0.7537228917622427,0.039205028553915715,10
classical,logistic_regression,-,14,0.652112676056338,0.06901568137145257,0.6010037348272642,0.06424594334882443,0.586575532917333,0.06894537564889343,0.6651117357759614,0.06050565666484158,0.5925186119291517,0.06622354170705087,0.6010037348272642,0.06424594334882443,0.7776236242922392,0.047732102188576625,10
