feature_group,feature_name,classifier,n_episodes,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean
direct_binned,bins1024_auc,logreg_C0p1,100,0.585,0.09130245982158694,0.5367971911261709,0.08814200326835507,0.5890262330548708,0.6468181818181818
direct_binned,bins1024_auc,svm_C1p0,100,0.6,0.08422086297242758,0.544540420123536,0.0807183304529659,0.5894297963556612,0.6319191919191919
direct_binned,bins1024_auc,xgboost_depth2,100,0.5326666666666666,0.08722945990687629,0.4826102044345068,0.07947880069111754,0.5326628618417721,0.5681502525252525
direct_binned,bins2048_auc,logreg_C0p1,100,0.5943333333333333,0.09187594720340578,0.5435448703579446,0.08782801771701645,0.5922029098639006,0.6477083333333333
direct_binned,bins2048_auc,svm_C1p0,100,0.6036666666666667,0.0852664668575541,0.5493498412163909,0.081567957452406,0.5956421580966608,0.6404797979797979
direct_binned,bins2048_auc,xgboost_depth2,100,0.535,0.09179284245476833,0.48613864273250135,0.08542384610500715,0.5373627677723283,0.5759722222222222
foundation_backbone,mae_flatten,logreg_C0p1,100,0.5783333333333333,0.07144099619370708,0.5150279433297986,0.07027846043243481,0.556852578550334,0.5939583333333333
foundation_backbone,mae_flatten,svm_C1p0,100,0.5763333333333334,0.0761437296468608,0.511759172327633,0.0766810811304271,0.5577952355665203,0.589949494949495
foundation_backbone,mae_flatten,xgboost_depth2,100,0.5529999999999999,0.07985607142640318,0.49316720858618285,0.08045952078683714,0.5297694572083117,0.5660795454545454
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.5923333333333334,0.08366667337384442,0.5346692877882117,0.07455002311880027,0.5919729855054933,0.6114962121212121
