pooling,corpus,n_seeds,mean,sd,se,quoted_arm_value,quoted_arm_z,delta_vs_classical,wilcoxon_p,n_beating_classical
flatten,v3,5,0.6897515527950311,0.07617721861205823,0.034067487830684876,0.8059006211180124,1.5247218320543392,-0.015217447204968915,0.4375,1
flatten,v4,5,0.7257763975155279,0.05189217037069671,0.02320688408977566,0.7484472049689441,0.4368830074260744,0.02080739751552798,0.75,2
mean_pool,v3,5,0.6366459627329193,0.051908430591449645,0.023214155881562202,0.6770186335403727,0.7777671246740336,-0.0683230372670807,0.0625,0
mean_pool,v4,5,0.7000000000000001,0.05111738979115615,0.022860391681075783,0.6909937888198758,-0.17618683616123149,-0.004968999999999957,0.8125,2
