family,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical,logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0,0,27
classical,svm_rbf,0.9047619047619048,0.8666666666666667,0.8709677419354839,1.0,0.9310344827586207,0.9975308641975309,0.9986772486772486,11,4,0,27
classical,xgboost,0.9047619047619048,0.8962962962962964,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9654320987654321,0.983578064596583,13,2,2,25
foundation,frozen,0.6428571428571429,0.5296296296296297,0.6578947368421053,0.9259259259259259,0.7692307692307693,0.8493827160493828,0.9380967699278056,2,13,2,25
foundation,unfreeze_last_1,0.6666666666666666,0.5925925925925926,0.696969696969697,0.8518518518518519,0.7666666666666667,0.8839506172839506,0.9518556483248155,5,10,4,23
foundation,unfreeze_last_2,0.8095238095238095,0.7925925925925925,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.9160493827160494,0.9624661948830746,11,4,4,23
foundation,unfreeze_last_3,0.8809523809523809,0.8629629629629629,0.8928571428571429,0.9259259259259259,0.9090909090909091,0.9530864197530864,0.9772470190988709,12,3,2,25
