peak_id,point_index,ppm,reference_prominence,tolerance_points,detection_rate,mean_abs_shift,frac_shift_at_edge
0,62166,,1.3607553715585306e-05,300,0.2546018614270941,204.0069049553209,0.06295694557270512
1,69984,,1.655489130641291e-05,300,0.5111685625646328,58.2860610965001,0.0
2,70062,,6.418983146418941e-06,300,0.4390899689762151,70.24988224211022,0.00023551577955723034
3,70351,,1.2473457367303885e-05,300,0.44943123061013446,160.96042337781867,0.0009203865623561896
4,70858,,8.321827391007091e-06,300,0.3936918304033092,52.087995797215655,0.0015760441292356187
5,71150,,7.5913196732226995e-06,300,0.8437435367114788,105.69922784654982,0.0
6,71275,,2.9674156465191546e-05,300,0.9119958634953464,55.634198888762896,0.0
7,71414,,8.200065026780094e-05,300,0.9007238883143743,14.167393800229622,0.0
8,71659,,3.2666003611939e-05,300,0.8905894519131334,11.785415699024616,0.0
9,71775,,0.00013615540969450824,300,0.8972078593588417,9.32399723374827,0.0
10,71883,,1.9089560259514047e-05,300,0.8942088934850052,19.01272117497398,0.00011564704521799469
11,74024,,4.0338450704794835e-05,300,0.9164426059979317,93.08305122997066,0.0
12,74125,,6.628729796307954e-05,300,0.9025853154084799,92.9545142071494,0.0017186067827681026
13,74214,,9.904715552346588e-06,300,0.6290589451913133,36.956929146802565,0.00279467368074963
14,74513,,1.4141903353599876e-05,300,0.5380558428128231,26.814145685181625,0.0
15,74592,,4.224400757293512e-05,300,0.8211995863495346,93.40901649666289,0.0
16,74697,,9.894958438485651e-06,300,0.916028955532575,104.35944908557236,0.0
17,74889,,2.2910568263776603e-05,300,0.8822130299896588,121.16481069042317,0.00046887820888524205
18,74980,,1.1842617406406997e-05,300,0.5552223371251293,94.6179921773142,0.00037250884708511827
19,75545,,6.700988178621629e-05,300,0.7931747673216132,49.26662320730117,0.0015645371577574967
20,75638,,3.6597362361284535e-05,300,0.6983453981385729,25.53561380127351,0.00014808233377758035
21,75739,,0.00024854866770715743,300,0.8055842812823164,29.348908857509628,0.0
22,76143,,3.1293508181518025e-05,300,0.7444674250258532,35.08306709265176,0.00013890818169190166
23,76323,,7.288152853880607e-05,300,0.6345398138572906,24.341427640156454,0.0
24,76540,,1.760729637598423e-05,300,0.6051706308169597,31.81784005468216,0.0
25,76695,,2.3676223336791892e-05,300,0.6082730093071355,25.520571234274055,0.0
26,76984,,2.0797441575605404e-05,300,0.5921406411582213,15.652113168005588,0.0
27,79215,,5.1285275116263905e-05,300,0.5884177869700103,18.47732864674868,0.0
28,79419,,6.625603395050115e-06,300,0.28624612202688726,69.6907514450867,0.0
29,80141,,7.805606281672825e-05,300,0.6098241985522234,24.44615906393081,0.0003391555027980329
30,80705,,6.758765521311189e-06,300,0.15449844881075492,90.25635876840695,0.0013386880856760374
31,80791,,1.4793883323596352e-05,300,0.22461220268872803,36.52670349907919,0.0
32,80877,,6.8994992624521435e-06,300,0.26814891416752845,41.84419591207096,0.0
33,81470,,6.957004140658981e-06,300,0.3177869700103413,84.72958021477383,0.0
34,82309,,1.4497185282490641e-05,300,0.4579110651499483,39.676151761517616,0.00045167118337850043
35,82908,,2.233095932159457e-05,300,0.7006204756980352,92.52265682656827,0.00014760147601476016
36,83566,,5.2487299084915485e-05,300,0.6258531540847984,43.81295439524124,0.0
37,83728,,5.74647171888142e-06,300,0.061116856256463285,131.21150592216583,0.001692047377326565
38,86481,,1.011664369375034e-05,300,0.3733195449844881,17.805817174515237,0.0
39,87170,,1.5417364436162148e-05,300,0.9083764219234747,100.17315573770492,0.0
40,87250,,3.573144732412093e-05,300,0.8954498448810755,98.27659083034993,0.0
41,88153,,3.453569953150609e-05,300,0.539607032057911,19.8438098888463,0.0017247987734764277
42,88228,,0.00013446231469125283,300,0.6132368148914168,12.631028667790893,0.0
43,88303,,8.75185194034497e-06,300,0.1252326783867632,12.99009083402147,0.0
44,88396,,2.095851117224847e-05,300,0.08066184074457083,12.473076923076922,0.0
45,88471,,1.5548256036314133e-05,300,0.390899689762151,38.52169312169312,0.0
46,88600,,3.759182527200915e-05,300,0.27869700103412615,32.755102040816325,0.0
47,88669,,2.8601592568797897e-05,300,0.11644260599793174,9.053285968028419,0.0
48,88737,,1.1593455745650985e-05,300,0.07290589451913133,194.01276595744682,0.0
49,90038,,2.9249117699788884e-05,300,0.796794208893485,84.15859831278391,0.0005191434133679429
50,90115,,2.164511275281416e-05,300,0.6468459152016546,61.286650679456436,0.0001598721023181455
51,90249,,1.0115267231913654e-05,300,0.05501551189245088,144.14473684210526,0.0
52,90381,,4.163138473498415e-05,300,0.5866597724922441,9.248369469416534,0.00017627357659086903
53,90459,,5.570194262026919e-05,300,0.7604963805584282,13.968180581996192,0.0
54,90608,,3.7749454423654075e-05,300,0.3956566701137539,9.436487192890748,0.0
55,90676,,1.4830691670325871e-05,300,0.23143743536711478,6.94816800714924,0.0
56,90754,,1.2028139138441383e-05,300,0.027611168562564632,21.04868913857678,0.0
57,91152,,1.3177178185170502e-05,300,0.43350568769389863,41.05868320610687,0.0
58,91303,,6.4460094764524484e-06,300,0.11230610134436401,35.079189686924494,0.0
59,97066,,1.918545500199106e-05,300,0.5236814891416753,37.95418641390205,0.0
