family,model,fine_tune_mode,support_per_class,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_roc_auc_ovr_mean,macro_roc_auc_ovr_std,n_episodes
jigsaw,jigsaw_multibin,frozen,2,0.3850467289719626,0.07766949304547001,0.37463814389101746,0.06379318394118673,0.3609134229704586,0.06814284090217565,0.3954792743029724,0.07751318460401706,0.3903681114947853,0.06161780554406648,0.37463814389101746,0.06379318394118673,0.53838143921911,0.05601317997042889,10
jigsaw,jigsaw_multibin,frozen,4,0.3930693069306931,0.05363417097423038,0.3840952257618924,0.045475352505455924,0.36412128900456164,0.04729001914881333,0.40013240555977125,0.05574901725837178,0.3918743814578181,0.03406515056634042,0.3840952257618924,0.045475352505455924,0.5780579517318516,0.02586563148863868,10
jigsaw,jigsaw_multibin,frozen,6,0.4147368421052631,0.06968247908663247,0.40499999999999997,0.058925565098878946,0.38948729410249644,0.057372323059603075,0.4269054918588823,0.06840818781125112,0.4154386326216139,0.060616164533178786,0.40499999999999997,0.058925565098878946,0.601221164021164,0.05369714991735856,10
jigsaw,jigsaw_multibin,frozen,8,0.42696629213483145,0.06615551210732469,0.41082930756843805,0.03818943106276924,0.39169149852693574,0.04185309598395754,0.43727611699984703,0.06028799948227432,0.41365818277135097,0.0379433375718336,0.41082930756843805,0.03818943106276924,0.6154253777374661,0.03001729681372615,10
jigsaw,jigsaw_multibin,frozen,10,0.45180722891566266,0.05771127655903578,0.41239648033126297,0.057126558753526735,0.40675703357887266,0.05654052919119411,0.4691112959017274,0.05456634510414232,0.42041603074763784,0.048658821037990796,0.41239648033126297,0.057126558753526735,0.5970928278000037,0.0413965311477881,10
jigsaw,jigsaw_multibin,frozen,12,0.44545454545454544,0.058737426469560976,0.4346320346320346,0.05529916170966475,0.40975021095712566,0.052568288012454285,0.46394521761938756,0.05991676846110717,0.4292636114437716,0.04940967915772075,0.4346320346320346,0.05529916170966475,0.611656498563421,0.03812850534350144,10
jigsaw,jigsaw_multibin,frozen,14,0.4591549295774648,0.06712137465037189,0.42294584500466853,0.07250816510746172,0.40585416629554183,0.0693822440715979,0.48054547063036857,0.0630627729585783,0.4321989100581483,0.06388017459167583,0.42294584500466853,0.07250816510746172,0.6309426885675152,0.04520562010541662,10
jigsaw,jigsaw_multibin,frozen,16,0.44153846153846155,0.07033310431176898,0.41833333333333333,0.04460234297240738,0.3853434278531056,0.036584471986426954,0.4681446428523821,0.06123585176149008,0.4268262288588078,0.037244930759769077,0.41833333333333333,0.04460234297240738,0.6362828282828283,0.04429367806412597,10
jigsaw,jigsaw_multibin,frozen,18,0.43728813559322033,0.04505627579068223,0.39129554655870447,0.0434427310642033,0.36466274414767214,0.03512001706433857,0.47369422320351945,0.04882025435970974,0.39931546419176056,0.03779266679063212,0.39129554655870447,0.0434427310642033,0.6316859534402273,0.039150156513286356,10
jigsaw,jigsaw_multibin,frozen,20,0.5018867924528302,0.0472326625296065,0.4727272727272728,0.03864156946672068,0.42001313522354594,0.034933554452681356,0.5365867924860088,0.047529098236274075,0.43852314086605376,0.03517329787402245,0.4727272727272728,0.03864156946672068,0.6735071978501266,0.03254601838896285,10
jigsaw,jigsaw_multibin,frozen,22,0.5404255319148936,0.042788945046803875,0.49493464052287583,0.08290486771741577,0.42669513899641026,0.06403187283300245,0.5830684788012198,0.04216683056510003,0.43902129081190866,0.05942339295419731,0.49493464052287583,0.08290486771741577,0.6984767198785486,0.042944396680729,10
jigsaw,jigsaw_multibin,frozen,24,0.5048780487804878,0.0736658945695889,0.42098214285714286,0.13014468398972773,0.35685739443714587,0.0631334916785026,0.5753599223867436,0.06310376681248513,0.3997974618111581,0.05315870537216166,0.42098214285714286,0.13014468398972773,0.6831041711556417,0.08608626612713917,10
