feature_group,feature_name,classifier,n_episodes,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean
direct_binned,bins1024_auc,logreg_C0p1,100,0.3240298507462686,0.0687754202960431,0.2905684830784313,0.05366385983483406,0.3232561210861648,0.3063374042145594
direct_binned,bins2048_auc,logreg_C0p1,100,0.32470149253731345,0.06954258261563533,0.290980096523039,0.05428197071948158,0.32302510912824856,0.30711166985951466
foundation_backbone,mae_flatten,svm_C1p0,100,0.3398507462686567,0.0733757633432125,0.29789952424356003,0.053531511933104535,0.32372135381603984,0.31396711366538954
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.3678358208955224,0.07652710349227299,0.31984389113355516,0.059017400157379815,0.348845273053149,0.3338258301404853
