bins,model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
128,LogisticRegression,1,0.8666666666666667,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.9545454545454546,0.9686323758157405
128,LogisticRegression,2,0.7777777777777778,0.8,0.7272727272727273,0.7619047619047619,0.8596837944664032,0.8583347888810129
128,LogisticRegression,3,0.8888888888888888,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.9841897233201581,0.9849221924320737
128,LogisticRegression,4,0.8222222222222222,0.75,0.9545454545454546,0.84,0.9130434782608696,0.9160468540862634
128,LogisticRegression,5,0.8863636363636364,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.9648760330578512,0.965416225670588
128,SVM_RBF,1,0.7777777777777778,0.782608695652174,0.782608695652174,0.782608695652174,0.8774703557312252,0.8921258740312448
128,SVM_RBF,2,0.7111111111111111,0.6666666666666666,0.8181818181818182,0.7346938775510204,0.8221343873517787,0.8141465528607579
128,SVM_RBF,3,0.7555555555555555,0.72,0.8181818181818182,0.7659574468085106,0.8715415019762847,0.8823709355118132
128,SVM_RBF,4,0.7555555555555555,0.6896551724137931,0.9090909090909091,0.7843137254901961,0.8260869565217391,0.8109683670797516
128,SVM_RBF,5,0.7954545454545454,0.7241379310344828,0.9545454545454546,0.8235294117647058,0.8966942148760331,0.8794694927904647
128,XGBoost,1,0.8888888888888888,0.9090909090909091,0.8695652173913043,0.8888888888888888,0.9841897233201581,0.9851652632181931
128,XGBoost,2,0.8888888888888888,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.9130434782608696,0.9062930043128856
128,XGBoost,3,0.8444444444444444,1.0,0.6818181818181818,0.8108108108108109,0.9960474308300395,0.9962121212121211
128,XGBoost,4,0.8888888888888888,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.9802371541501976,0.9813963210702339
128,XGBoost,5,0.8863636363636364,0.8148148148148148,1.0,0.8979591836734694,0.9297520661157024,0.9188676049100948
256,LogisticRegression,1,0.9111111111111111,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9802371541501976,0.9833346313856057
256,LogisticRegression,2,0.8,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.8596837944664032,0.8618147470667232
256,LogisticRegression,3,0.9111111111111111,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9782608695652174,0.9767276092374906
256,LogisticRegression,4,0.8666666666666667,0.7857142857142857,1.0,0.88,0.9347826086956522,0.9325560955247747
256,LogisticRegression,5,0.9090909090909091,0.875,0.9545454545454546,0.9130434782608695,0.981404958677686,0.9812380589154044
256,SVM_RBF,1,0.7555555555555555,0.75,0.782608695652174,0.7659574468085106,0.8853754940711462,0.8975253980177252
256,SVM_RBF,2,0.7111111111111111,0.6666666666666666,0.8181818181818182,0.7346938775510204,0.8181818181818182,0.8152684341051437
256,SVM_RBF,3,0.7555555555555555,0.72,0.8181818181818182,0.7659574468085106,0.8774703557312253,0.8950816498373599
256,SVM_RBF,4,0.7555555555555555,0.6896551724137931,0.9090909090909091,0.7843137254901961,0.8359683794466404,0.8256383432620062
256,SVM_RBF,5,0.7727272727272727,0.7307692307692307,0.8636363636363636,0.7916666666666666,0.8884297520661157,0.8781008016305771
256,XGBoost,1,0.9333333333333333,0.9545454545454546,0.9130434782608695,0.9333333333333333,0.9861660079051384,0.9853736671690108
256,XGBoost,2,0.9111111111111111,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9130434782608696,0.915805135892034
256,XGBoost,3,0.8666666666666667,1.0,0.7272727272727273,0.8421052631578947,0.9604743083003953,0.9686377617597712
256,XGBoost,4,0.8888888888888888,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.958498023715415,0.954514484795937
256,XGBoost,5,0.9090909090909091,0.875,0.9545454545454546,0.9130434782608695,0.9256198347107438,0.8839158815985195
