bins,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
128,LogisticRegression,0.8483838383838384,0.04766296239092987,0.8458178053830228,0.06854392095365111,0.8561264822134387,0.08667985090901835,0.8476301889325146,0.05164321877207924,0.9352676967301473,0.049619785318306235,0.9386704873771358,0.051763700438381605
128,SVM_RBF,0.759090909090909,0.03161712974927178,0.7166136931534233,0.04371752760592108,0.8565217391304347,0.07206802947044139,0.7782206314533214,0.03222666007580114,0.8587854832914121,0.0330204818545209,0.8558162444548063,0.03978288663650062
128,XGBoost,0.8794949494949496,0.019624315628873328,0.8926072317376665,0.06877217328816171,0.8739130434782609,0.11757149370800449,0.8750873322301894,0.03614568332743611,0.9606539705353935,0.03678252452813563,0.9575868629447057,0.041682160183321944
256,LogisticRegression,0.8795959595959596,0.04837107864056946,0.864990787244792,0.052826548979552725,0.9007905138339922,0.10375399961929682,0.8791331340981394,0.05685275630613456,0.9468738771110313,0.05253321908027358,0.9471342284259997,0.052060648465620175
256,SVM_RBF,0.75010101010101,0.023029416959739986,0.7114182139699381,0.03321518508044621,0.8383399209486166,0.04889856854531054,0.7685178326649809,0.022037183558717994,0.8610851598993892,0.03192871391175231,0.8623229253705624,0.03911896343580983
256,XGBoost,0.9018181818181817,0.025175640532807075,0.9286796536796537,0.048971711989439656,0.8735177865612649,0.08786135415403919,0.896258782815113,0.035038240540655914,0.9487603305785125,0.029335987824033776,0.9416493862430546,0.04125160224477772
