dataset,arm,patch_size,tokens,nhead,nhead_recorded,pooling,embed_dim,balanced_accuracy,roc_auc,n_samples
brc_t2d_diabetes,exp7_A_blk8,1024,128,4,4.0,mean_pool,128,0.7279411764705883,0.7446524064171123,78
brc_t2d_diabetes,exp7_A_blk8,1024,128,4,4.0,flatten,16384,0.7098930481283423,0.8201871657754011,78
brc_t2d_diabetes,exp7_B_pk025,1024,128,4,4.0,mean_pool,128,0.7165775401069518,0.8048128342245989,78
brc_t2d_diabetes,exp7_B_pk025,1024,128,4,4.0,flatten,16384,0.7540106951871658,0.8609625668449198,78
brc_t2d_diabetes,exp7_C_blk8_pk025,1024,128,4,4.0,mean_pool,128,0.6644385026737968,0.6885026737967914,78
brc_t2d_diabetes,exp7_C_blk8_pk025,1024,128,4,4.0,flatten,16384,0.6858288770053476,0.7840909090909091,78
brc_t2d_diabetes,exp7_D_v4_seed101,1024,128,4,4.0,mean_pool,128,0.6871657754010696,0.7640374331550801,78
brc_t2d_diabetes,exp7_D_v4_seed101,1024,128,4,4.0,flatten,16384,0.7700534759358288,0.8409090909090909,78
brc_t2d_diabetes,exp7_D_v4_seed202,1024,128,4,4.0,mean_pool,128,0.697192513368984,0.8088235294117647,78
brc_t2d_diabetes,exp7_D_v4_seed202,1024,128,4,4.0,flatten,16384,0.7052139037433156,0.8161764705882354,78
brc_t2d_diabetes,exp7_v3_pk025_r1,1024,128,4,4.0,mean_pool,128,0.5975935828877006,0.6811497326203209,78
brc_t2d_diabetes,exp7_v3_pk025_r1,1024,128,4,4.0,flatten,16384,0.6236631016042781,0.7586898395721924,78
brc_t2d_diabetes,exp7_v3_pk025_r2,1024,128,4,4.0,mean_pool,128,0.5975935828877006,0.6811497326203209,78
brc_t2d_diabetes,exp7_v3_pk025_r2,1024,128,4,4.0,flatten,16384,0.6236631016042781,0.7586898395721924,78
brc_t2d_diabetes,exp8_common9506,1024,128,4,4.0,mean_pool,128,0.8435828877005347,0.8683155080213903,78
