target,mean,sd,rng
barth,0.6897515527950311,0.07617721861205823,0.2080745341614907
mtbls326,0.9318518518518519,0.045254955241795326,0.12222222222222223
brc_t2d_cancer,0.8280263157894735,0.019441874802726092,0.051315789473684204
mtbls563,0.5843140730237505,0.029569847469051107,0.07989188231123723
brc_t2d_diabetes,0.748529411764706,0.02910019708602074,0.06684491978609619
