mask_ratio,row,predictor,r_masked,r_whole,r_masked_peak,r_masked_baseline,nn_row_gap
0.25,0,dnn,0.6932416558265686,0.9648973941802979,0.4443128705024719,0.7950236201286316,
0.25,0,corpus_mean,0.254487007856369,0.2762907147407532,-0.05632142350077629,0.2980136275291443,
0.25,0,linear_interp,0.4273940792495312,0.9505533326126802,-0.2034085880632848,0.7479202236880288,
0.25,0,pca50_from_visible,0.803903341293335,0.9513798952102661,0.7457423210144043,0.6585736274719238,
0.25,0,nn_copy,0.9818525314331055,0.9749921560287476,0.968752384185791,0.958877682685852,25.0
0.25,197,dnn,0.9881511330604553,0.9951415061950684,0.9729695320129395,0.8952906727790833,
0.25,197,corpus_mean,0.39212268590927124,0.24227552115917206,0.6853106021881104,0.2164994776248932,
0.25,197,linear_interp,0.858372977722855,0.9423385229897299,0.5935460493038939,0.8879870450420247,
0.25,197,pca50_from_visible,0.9603028297424316,0.9746668338775635,0.8965762257575989,0.9156475067138672,
0.25,197,nn_copy,0.9829584956169128,0.9796314835548401,0.9608948230743408,0.9611973166465759,69.0
0.25,394,dnn,0.9780212640762329,0.9798154830932617,0.9724801778793335,0.8258885145187378,
0.25,394,corpus_mean,0.09828783571720123,0.13569782674312592,-0.0625232681632042,0.24005062878131866,
0.25,394,linear_interp,0.6521794613319672,0.6589562652260228,0.7323642181140211,0.44255720281626093,
0.25,394,pca50_from_visible,0.9785262942314148,0.9760215282440186,0.9795774817466736,0.7488077282905579,
0.25,394,nn_copy,1.0,1.0,1.0,1.0,0.0
0.25,591,dnn,0.9717258214950562,0.9945820569992065,0.9066405296325684,0.9671928882598877,
0.25,591,corpus_mean,0.8308662176132202,0.7978829741477966,0.7487619519233704,0.7077210545539856,
0.25,591,linear_interp,0.621333847077869,0.9499719099157399,-0.09676470551200805,0.8326536973270467,
0.25,591,pca50_from_visible,0.9128194451332092,0.9800058007240295,0.7494567632675171,0.930651068687439,
0.25,591,nn_copy,0.9714473485946655,0.9733797311782837,0.9197235703468323,0.9355084896087646,174.0
