episode,n_query,accuracy,macro_f1,macro_precision,macro_recall
1,42,0.5476190476190477,0.36190476190476195,0.5333333333333333,0.3071236559139785
2,42,0.47619047619047616,0.3035975928833071,0.3491161616161616,0.49126344086021506
3,42,0.5952380952380952,0.24166666666666667,0.22962382445141066,0.4435483870967742
4,42,0.5238095238095238,0.328525641025641,0.37202380952380953,0.29905913978494625
5,42,0.5238095238095238,0.3308823529411765,0.365625,0.5201612903225806
6,42,0.5,0.23518518518518516,0.27989130434782605,0.20295698924731181
7,42,0.5714285714285714,0.3634920634920635,0.4349916387959866,0.523521505376344
8,42,0.5476190476190477,0.450577731092437,0.5333333333333333,0.603494623655914
9,42,0.5714285714285714,0.2857142857142857,0.3108974358974359,0.46908602150537637
10,42,0.6428571428571429,0.47827635327635326,0.609963768115942,0.635752688172043
11,42,0.5238095238095238,0.32179487179487176,0.33928571428571425,0.5201612903225806
12,42,0.5,0.3666666666666667,0.5458333333333334,0.3245967741935484
13,42,0.6428571428571429,0.44940476190476186,0.6242307692307693,0.5813172043010753
14,42,0.5952380952380952,0.3839285714285714,0.47,0.34408602150537637
15,42,0.6190476190476191,0.4293706293706294,0.6,0.573252688172043
16,42,0.5476190476190477,0.251984126984127,0.27,0.2399193548387097
17,42,0.5714285714285714,0.28389154704944175,0.31153846153846154,0.260752688172043
18,42,0.5476190476190477,0.2903846153846154,0.3273809523809524,0.27352150537634407
19,42,0.5476190476190477,0.3812636165577342,0.48301630434782605,0.5362903225806451
20,42,0.5952380952380952,0.33571428571428574,0.3733974358974359,0.510752688172043
21,42,0.5238095238095238,0.2689393939393939,0.28106060606060607,0.4529569892473118
22,42,0.5714285714285714,0.3388888888888889,0.4127846790890269,0.5026881720430108
23,42,0.5,0.2511792452830189,0.3522727272727273,0.20295698924731181
24,42,0.5714285714285714,0.3492063492063492,0.39492753623188404,0.31518817204301075
25,42,0.5238095238095238,0.25874125874125875,0.27976190476190477,0.2446236559139785
26,42,0.47619047619047616,0.2944444444444444,0.35220588235294115,0.4704301075268817
27,42,0.5476190476190477,0.3769909335947072,0.44393939393939397,0.3279569892473118
28,42,0.5952380952380952,0.31785714285714284,0.355,0.2896505376344086
29,42,0.6666666666666666,0.3891108891108891,0.4108333333333333,0.5685483870967742
30,42,0.6190476190476191,0.4423076923076923,0.501984126984127,0.4321236559139785
31,42,0.6190476190476191,0.31366047745358094,0.3201058201058201,0.31048387096774194
32,42,0.5,0.23063973063973064,0.2673913043478261,0.20295698924731181
33,42,0.5952380952380952,0.4132867132867133,0.5651785714285714,0.5651881720430108
34,42,0.6190476190476191,0.3553571428571428,0.3758333333333333,0.3521505376344086
35,42,0.5476190476190477,0.25,0.29166666666666663,0.21908602150537634
36,42,0.5,0.2566262353998203,0.27680652680652684,0.44489247311827956
37,42,0.5476190476190477,0.2791666666666667,0.30374999999999996,0.27352150537634407
38,42,0.5,0.24519230769230768,0.2761904761904762,0.23655913978494625
39,42,0.5476190476190477,0.3821428571428572,0.3923809523809524,0.5490591397849462
40,42,0.5476190476190477,0.35030594405594406,0.39285714285714285,0.5282258064516129
41,42,0.5238095238095238,0.22936320754716982,0.2553030303030303,0.4193548387096774
42,42,0.47619047619047616,0.2417452830188679,0.27840909090909094,0.2157258064516129
43,42,0.5476190476190477,0.37286324786324787,0.5380952380952381,0.3071236559139785
44,42,0.47619047619047616,0.2564102564102564,0.2976190476190476,0.228494623655914
45,42,0.4523809523809524,0.22912801484230055,0.2857142857142857,0.20766129032258066
46,42,0.42857142857142855,0.23596938775510204,0.2986111111111111,0.19959677419354838
47,42,0.47619047619047616,0.35678210678210676,0.4333333333333333,0.5248655913978495
48,42,0.6190476190476191,0.3075564971751412,0.362012987012987,0.4852150537634409
49,42,0.6190476190476191,0.43214285714285716,0.6233974358974359,0.5940860215053764
50,42,0.5714285714285714,0.3627039627039627,0.42708333333333337,0.523521505376344
51,42,0.5476190476190477,0.31180856180856176,0.3366220735785953,0.49462365591397844
52,42,0.5476190476190477,0.2713317384370016,0.2746503496503497,0.46102150537634407
53,42,0.47619047619047616,0.2607204116638079,0.27954545454545454,0.4368279569892473
54,42,0.5952380952380952,0.413034188034188,0.49999999999999994,0.37768817204301075
55,42,0.47619047619047616,0.2633333333333333,0.3201754385964912,0.228494623655914
56,42,0.5238095238095238,0.3655939648586708,0.40673076923076923,0.540994623655914
57,42,0.5,0.3811111111111111,0.48839009287925694,0.5329301075268817
58,42,0.5476190476190477,0.4107602339181286,0.5555555555555556,0.5490591397849462
59,42,0.5952380952380952,0.32177033492822965,0.31987179487179485,0.510752688172043
60,42,0.6190476190476191,0.3041187739463601,0.3282828282828283,0.4852150537634409
61,42,0.5714285714285714,0.3680555555555556,0.45742753623188404,0.31518817204301075
62,42,0.5,0.29422905525846704,0.35,0.25739247311827956
63,42,0.5952380952380952,0.31785714285714284,0.39666666666666667,0.2896505376344086
64,42,0.5,0.3194230769230769,0.3707706766917293,0.290994623655914
65,42,0.5714285714285714,0.3125,0.33499999999999996,0.2943548387096774
66,42,0.6428571428571429,0.5481132075471697,0.6939935064935066,0.6693548387096774
67,42,0.5714285714285714,0.3134978229317852,0.3457792207792208,0.2943548387096774
68,42,0.40476190476190477,0.3036980749746707,0.40625,0.25873655913978494
69,42,0.5952380952380952,0.33333333333333337,0.37202380952380953,0.510752688172043
70,42,0.5476190476190477,0.40659536541889485,0.603125,0.5490591397849462
71,42,0.42857142857142855,0.2936507936507936,0.5352941176470588,0.23319892473118278
72,42,0.42857142857142855,0.22555555555555556,0.2736842105263158,0.19959677419354838
73,42,0.6428571428571429,0.40411877394636014,0.3993055555555555,0.5477150537634409
74,42,0.5476190476190477,0.3914027149321267,0.425,0.5698924731182795
75,42,0.5714285714285714,0.30631868131868134,0.49083333333333334,0.46908602150537637
76,42,0.5476190476190477,0.34904761904761905,0.36718398560503823,0.5618279569892473
77,42,0.5714285714285714,0.4199292452830189,0.6189393939393939,0.5571236559139785
78,42,0.5952380952380952,0.3097089314194577,0.33365384615384613,0.2896505376344086
79,42,0.5,0.24768518518518517,0.27989130434782605,0.22379032258064516
80,42,0.4523809523809524,0.21853146853146854,0.2642857142857143,0.1868279569892473
81,42,0.5952380952380952,0.34285714285714286,0.37499999999999994,0.323252688172043
82,42,0.6190476190476191,0.38035714285714284,0.44022727272727274,0.5396505376344086
