peak_id,point_index,ppm,reference_prominence,tolerance_points,detection_rate,mean_abs_shift,frac_shift_at_edge
0,75000,,0.004047566438138037,40,0.6579110651499483,25.406633134234518,0.06177302734988997
1,75542,,0.034947593308538374,40,0.18728024819027922,6.441192711209276,0.015461071231363888
2,75635,,0.025764771599848843,40,0.09958634953464322,6.725856697819315,0.029075804776739357
3,75737,,0.11087630456782212,35,0.35832471561530505,17.425685425685426,0.2357864357864358
4,75809,,0.013742414034225783,35,0.6921406411582213,16.03615717914239,0.1801882563872703
5,76147,,0.020163221340238305,40,0.08883143743536712,23.78928987194412,0.18626309662398138
6,76325,,0.06320136813686558,40,0.7456049638055843,9.596809986130374,0.03869625520110957
7,76521,,0.039571099631376644,40,0.6741468459152017,6.25126553152324,0.021935879736155853
8,76700,,0.021330000092550466,40,0.004860392967942089,25.74468085106383,0.2553191489361702
9,76982,,0.011220908717812382,40,0.6814891416752844,8.18619119878604,0.007738998482549317
10,79215,,0.03842020255790125,40,0.658841778697001,6.843823575576833,0.01098728614032334
