family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix,embed_dim
masking,masking_linear_probe_C1,113,0.6548672566371682,0.6072314781992202,0.606436420722135,0.6530667815117879,0.6075995615637559,0.6072314781992202,0.7459984077090732,"[[11, 5, 10], [7, 44, 5], [5, 7, 19]]",128
jigsaw,jigsaw_linear_probe_C1,113,0.5752212389380531,0.5269260309582889,0.5278772378516624,0.5713781318606703,0.5295694525618546,0.5269260309582889,0.7310434066709046,"[[12, 7, 7], [5, 41, 10], [8, 11, 12]]",768
joint,joint_linear_probe_C1,113,0.5132743362831859,0.4852593642916223,0.4828062484778903,0.522701918343181,0.48515325670498083,0.4852593642916223,0.7144913486637495,"[[12, 6, 8], [6, 34, 16], [11, 8, 12]]",960
