dataset,classical_LR,exp7_D_baseline_v4,exp7_A_blk8,exp7_B_pk025,exp7_C_blk8_pk025
barth,0.705,0.7484472049689441,0.562111801242236,0.65527950310559,0.6335403726708074
mtbls326,1.0,0.9296296296296296,0.9444444444444444,1.0,0.9111111111111112
brc_t2d_cancer,0.937,0.7815789473684212,0.8723684210526316,0.8453947368421053,0.8578947368421053
mtbls563,0.721,0.6283085194375517,0.5562005199101974,0.5955630391114263,0.5937463074559849
brc_t2d_diabetes,0.829,0.7052139037433156,0.7098930481283423,0.7540106951871658,0.6858288770053476
