dataset,classical_LR,exp7_D_baseline_v4,exp7_A_blk8,exp7_B_pk025,exp7_C_blk8_pk025
barth,0.705,0.6909937888198758,0.562111801242236,0.6335403726708074,0.65527950310559
mtbls326,1.0,0.8925925925925926,0.925925925925926,1.0,0.9111111111111112
brc_t2d_cancer,0.937,0.7815789473684212,0.7940789473684211,0.7940789473684211,0.8585526315789473
mtbls563,0.721,0.5520796407893181,0.5431436842727165,0.598546614675647,0.4477135767458347
brc_t2d_diabetes,0.829,0.6530748663101604,0.7279411764705883,0.7165775401069518,0.6644385026737968
