family,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,source,approach,model_display,tune_mode,jigsaw_backbone,weighted_f1
jigsaw,jigsaw_bin_2048_unfreeze_last_3,0.9047619047619048,0.925925925925926,1.0,0.8518518518518519,0.92,0.9234567901234568,0.9684086760110152,15,0,4,23,jigsaw,jigsaw,bin_2048_unfreeze_last_3,unfreeze_last_3,bin_2048,0.9065546218487396
jigsaw,jigsaw_bin_256_frozen,0.8333333333333334,0.8111111111111111,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.8765432098765432,0.9360518015881756,11,4,3,24,jigsaw,jigsaw,bin_256_frozen,frozen,bin_256,0.831974921630094
jigsaw,jigsaw_bin_256_unfreeze_last_1,0.8333333333333334,0.8111111111111111,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.9061728395061728,0.9496107632057028,11,4,3,24,jigsaw,jigsaw,bin_256_unfreeze_last_1,unfreeze_last_1,bin_256,0.831974921630094
jigsaw,jigsaw_bin_256_unfreeze_last_2,0.8333333333333334,0.8111111111111111,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.9111111111111112,0.9504001821839284,11,4,3,24,jigsaw,jigsaw,bin_256_unfreeze_last_2,unfreeze_last_2,bin_256,0.831974921630094
jigsaw,jigsaw_bin_256_unfreeze_last_3,0.8333333333333334,0.8111111111111111,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.9382716049382716,0.9662872223221765,11,4,3,24,jigsaw,jigsaw,bin_256_unfreeze_last_3,unfreeze_last_3,bin_256,0.831974921630094
jigsaw,jigsaw_bin_512_frozen,0.8571428571428571,0.8592592592592593,0.92,0.8518518518518519,0.8846153846153846,0.8938271604938272,0.9495259943886944,13,2,4,23,jigsaw,jigsaw,bin_512_frozen,frozen,bin_512,0.8588598901098902
jigsaw,jigsaw_bin_512_unfreeze_last_1,0.8809523809523809,0.8925925925925926,0.9583333333333334,0.8518518518518519,0.9019607843137256,0.9160493827160494,0.959394937174304,14,1,4,23,jigsaw,jigsaw,bin_512_unfreeze_last_1,unfreeze_last_1,bin_512,0.8828622358034123
jigsaw,jigsaw_bin_512_unfreeze_last_2,0.8333333333333334,0.825925925925926,0.8846153846153846,0.8518518518518519,0.8679245283018868,0.9061728395061728,0.95282030505703,12,3,4,23,jigsaw,jigsaw,bin_512_unfreeze_last_2,unfreeze_last_2,bin_512,0.834449178332319
jigsaw,jigsaw_bin_512_unfreeze_last_3,0.8571428571428571,0.8592592592592593,0.92,0.8518518518518519,0.8846153846153846,0.9135802469135802,0.955965270435814,13,2,4,23,jigsaw,jigsaw,bin_512_unfreeze_last_3,unfreeze_last_3,bin_512,0.8588598901098902
jigsaw,jigsaw_multibin_frozen,0.9285714285714286,0.9296296296296296,0.9615384615384616,0.925925925925926,0.9433962264150944,0.960493827160494,0.9783707043169958,14,1,2,25,jigsaw,jigsaw,multibin_frozen,frozen,multibin,0.9290496478567082
jigsaw,jigsaw_multibin_unfreeze_last_1,0.9285714285714286,0.9296296296296296,0.9615384615384616,0.925925925925926,0.9433962264150944,0.965432098765432,0.9792676863884512,14,1,2,25,jigsaw,jigsaw,multibin_unfreeze_last_1,unfreeze_last_1,multibin,0.9290496478567082
jigsaw,jigsaw_multibin_unfreeze_last_2,0.9047619047619048,0.8962962962962964,0.925925925925926,0.925925925925926,0.925925925925926,0.9580246913580248,0.9770517215165316,13,2,2,25,jigsaw,jigsaw,multibin_unfreeze_last_2,unfreeze_last_2,multibin,0.9047619047619048
jigsaw,jigsaw_multibin_unfreeze_last_3,0.8571428571428571,0.8592592592592593,0.92,0.8518518518518519,0.8846153846153846,0.9555555555555556,0.9785984844358432,13,2,4,23,jigsaw,jigsaw,multibin_unfreeze_last_3,unfreeze_last_3,multibin,0.8588598901098902
foundation,frozen,0.6428571428571429,0.5296296296296297,0.6578947368421053,0.925925925925926,0.7692307692307693,0.8493827160493828,0.9380967699278056,2,13,2,25,masking,masking,frozen,frozen,frozen,0.5696934644303066
foundation,unfreeze_last_1,0.6666666666666666,0.5925925925925926,0.696969696969697,0.8518518518518519,0.7666666666666667,0.8839506172839506,0.9518556483248156,5,10,4,23,masking,masking,unfreeze_last_1,unfreeze_last_1,unfreeze_last_1,0.6416666666666667
foundation,unfreeze_last_2,0.8095238095238095,0.7925925925925925,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.9160493827160494,0.9624661948830746,11,4,4,23,masking,masking,unfreeze_last_2,unfreeze_last_2,unfreeze_last_2,0.8095238095238095
foundation,unfreeze_last_3,0.8809523809523809,0.8629629629629629,0.8928571428571429,0.925925925925926,0.9090909090909092,0.9530864197530864,0.9772470190988708,12,3,2,25,masking,masking,unfreeze_last_3,unfreeze_last_3,unfreeze_last_3,0.8799820868786385
