rank,approach,model_display,weighted_f1,accuracy,f1,roc_auc,pr_auc
1.0,classical,logistic_regression,1.0,1.0,1.0,1.0,1.0
2.0,jigsaw,bin_2048_unfreeze_last_2,0.9297173414820473,0.9285714285714286,0.9411764705882352,0.9234567901234568,0.9686143019476352
3.0,jigsaw,multibin_frozen,0.9290496478567082,0.9285714285714286,0.9433962264150944,0.960493827160494,0.9783707043169958
3.0,jigsaw,multibin_unfreeze_last_1,0.9290496478567082,0.9285714285714286,0.9433962264150944,0.965432098765432,0.9792676863884512
5.0,jigsaw,bin_2048_unfreeze_last_3,0.9065546218487396,0.9047619047619048,0.92,0.9234567901234568,0.9684086760110152
6.0,jigsaw,bin_1024_unfreeze_last_3,0.9059065934065933,0.9047619047619048,0.9230769230769232,0.9604938271604938,0.9818342151675484
6.0,jigsaw,bin_2048_unfreeze_last_1,0.9059065934065933,0.9047619047619048,0.9230769230769232,0.928395061728395,0.9702140709085152
8.0,classical,xgboost,0.9047619047619048,0.9047619047619048,0.925925925925926,0.965432098765432,0.983578064596583
8.0,jigsaw,bin_1024_unfreeze_last_1,0.9047619047619048,0.9047619047619048,0.925925925925926,0.977777777777778,0.9886461256296052
8.0,jigsaw,multibin_unfreeze_last_2,0.9047619047619048,0.9047619047619048,0.925925925925926,0.9580246913580248,0.9770517215165316
11.0,classical,svm_rbf,0.9007199696854868,0.9047619047619048,0.9310344827586208,0.9975308641975308,0.9986772486772486
12.0,jigsaw,bin_512_unfreeze_last_1,0.8828622358034123,0.8809523809523809,0.9019607843137256,0.9160493827160494,0.959394937174304
13.0,jigsaw,bin_1024_unfreeze_last_2,0.8817494130945136,0.8809523809523809,0.9056603773584906,0.965432098765432,0.984165838891254
13.0,jigsaw,bin_2048_frozen,0.8817494130945136,0.8809523809523809,0.9056603773584906,0.9061728395061728,0.9612928332226578
15.0,jigsaw,bin_1024_frozen,0.8799820868786385,0.8809523809523809,0.9090909090909092,0.9604938271604938,0.9799137960737356
15.0,masking,unfreeze_last_3,0.8799820868786385,0.8809523809523809,0.9090909090909092,0.9530864197530864,0.9772470190988708
17.0,jigsaw,bin_512_frozen,0.8588598901098902,0.8571428571428571,0.8846153846153846,0.8938271604938272,0.9495259943886944
17.0,jigsaw,bin_512_unfreeze_last_3,0.8588598901098902,0.8571428571428571,0.8846153846153846,0.9135802469135802,0.955965270435814
17.0,jigsaw,multibin_unfreeze_last_3,0.8588598901098902,0.8571428571428571,0.8846153846153846,0.9555555555555556,0.9785984844358432
20.0,jigsaw,bin_512_unfreeze_last_2,0.834449178332319,0.8333333333333334,0.8679245283018868,0.9061728395061728,0.95282030505703
21.0,jigsaw,bin_256_frozen,0.831974921630094,0.8333333333333334,0.8727272727272727,0.8765432098765432,0.9360518015881756
21.0,jigsaw,bin_256_unfreeze_last_1,0.831974921630094,0.8333333333333334,0.8727272727272727,0.9061728395061728,0.9496107632057028
21.0,jigsaw,bin_256_unfreeze_last_2,0.831974921630094,0.8333333333333334,0.8727272727272727,0.9111111111111112,0.9504001821839284
21.0,jigsaw,bin_256_unfreeze_last_3,0.831974921630094,0.8333333333333334,0.8727272727272727,0.9382716049382716,0.9662872223221765
25.0,masking,unfreeze_last_2,0.8095238095238095,0.8095238095238095,0.8518518518518519,0.9160493827160494,0.9624661948830746
26.0,masking,unfreeze_last_1,0.6416666666666667,0.6666666666666666,0.7666666666666667,0.8839506172839506,0.9518556483248156
27.0,masking,frozen,0.5696934644303066,0.6428571428571429,0.7692307692307693,0.8493827160493828,0.9380967699278056
