family,model,n_evaluated,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,macro_precision,macro_recall,macro_roc_auc_ovr
classical,logistic_regression,113,0.7256637168141593,0.6754549214226633,0.6805561979648473,0.7222774409961278,"[[14, 4, 8], [1, 49, 6], [6, 6, 19]]",0.6909775723335044,0.6754549214226633,0.8122719769484253
classical,svm_rbf,113,0.5309734513274337,0.4889666784828075,0.46978021978021983,0.5335991442186132,"[[15, 2, 9], [11, 39, 6], [18, 7, 6]]",0.47970779220779214,0.4889666784828075,0.749113286222162
classical,xgboost,113,0.7079646017699115,0.6649533262436488,0.6733977801646974,0.7005009362850869,"[[17, 4, 5], [2, 48, 6], [4, 12, 15]]",0.6886845039018952,0.6649533262436488,0.7923702555855169
masking,frozen,113,0.5929203539823009,0.5415632754342432,0.5432127042296534,0.5979937489612006,"[[11, 6, 9], [12, 42, 2], [10, 7, 14]]",0.5523232323232323,0.5415632754342432,0.7132666329416818
masking,unfreeze_last_1,113,0.6017699115044248,0.5406475245184923,0.541871921182266,0.6039931993548106,"[[10, 5, 11], [10, 44, 2], [10, 7, 14]]",0.5458553791887125,0.5406475245184923,0.7195304171862066
masking,unfreeze_last_2,113,0.6106194690265486,0.5445320808224033,0.5442168843938755,0.6081741121540637,"[[9, 5, 12], [6, 45, 5], [9, 7, 15]]",0.5444078947368421,0.5445320808224033,0.7140593441696792
masking,unfreeze_last_3,113,0.5929203539823009,0.5326273189176415,0.5321044121044122,0.5934077849122097,"[[9, 4, 13], [7, 43, 6], [8, 8, 15]]",0.5326648841354723,0.5326273189176415,0.7255897765974574
jigsaw,frozen,113,0.6017699115044248,0.5639844026940801,0.5656442617311521,0.5999631399437996,"[[12, 8, 6], [8, 40, 8], [5, 10, 16]]",0.5676628352490422,0.5639844026940801,0.7291789526993098
jigsaw,unfreeze_last_1,113,0.5752212389380531,0.5344588207491433,0.5360271646859084,0.5730600838379134,"[[11, 8, 7], [8, 39, 9], [5, 11, 15]]",0.5382060313929057,0.5344588207491433,0.7182891603401984
jigsaw,unfreeze_last_2,113,0.5929203539823009,0.5490960652250975,0.5505628366040265,0.5891353133612302,"[[10, 8, 8], [6, 40, 10], [4, 10, 17]]",0.5584564860426929,0.5490960652250975,0.7089317095107298
jigsaw,unfreeze_last_3,113,0.5486725663716814,0.5007975895072669,0.5003344481605351,0.5425992245538225,"[[8, 10, 8], [8, 38, 10], [4, 11, 16]]",0.5048853439680957,0.5007975895072669,0.6887091209851772
joint_ssl,frozen,113,0.5486725663716814,0.5186695025404703,0.5172654494688393,0.5502570431323993,"[[12, 9, 5], [11, 36, 9], [7, 10, 14]]",0.5181818181818182,0.5186695025404703,0.6882709615427899
joint_ssl,unfreeze_last_1,113,0.504424778761062,0.47037102682263976,0.46968240093240093,0.5063002815768303,"[[10, 9, 7], [9, 34, 13], [7, 11, 13]]",0.4693948027281361,0.47037102682263976,0.6678382986292145
joint_ssl,unfreeze_last_2,113,0.5752212389380531,0.5296585135294812,0.532550385897717,0.5710059047756534,"[[11, 8, 7], [7, 40, 9], [5, 12, 14]]",0.5371980676328502,0.5296585135294812,0.6553971025329517
joint_ssl,unfreeze_last_3,113,0.5575221238938053,0.5019496632399858,0.5032373778136491,0.5484287690377386,"[[8, 9, 9], [8, 40, 8], [3, 13, 15]]",0.5116546406338426,0.5019496632399858,0.6494453812728219
