row_index,input_min,input_max,input_range,constant_row
0,-0.002597227912064811,0.6605570158826934,0.6631542437947583,False
1,-0.002747294442488499,0.5154636490841752,0.5182109435266636,False
2,-0.002433664619918358,0.8603232056687813,0.8627568702886996,False
3,-0.0022701328741803776,0.999636441288126,1.0019065741623063,False
4,-0.002128927477586099,0.9999545770846762,1.0020835045622623,False
5,-0.0021183970901360524,0.7619920134663765,0.7641104105565125,False
6,-0.002093860867506719,0.9991724272032527,1.0012662880707595,False
7,-0.002170344461417366,0.9997208108601764,1.0018911553215937,False
8,-0.0020692664647492926,0.9998338777160904,1.0019031441808397,False
9,-0.0017931981657393376,0.9339473107961088,0.9357405089618481,False
10,-0.0021488454263431595,0.6282887484731244,0.6304375938994676,False
11,-0.0017026850657727618,0.9991523434873519,1.0008550285531248,False
12,-0.0016774420247057688,0.8008825291312195,0.8025599711559253,False
13,-0.0016235495753554924,0.9999969576661564,1.0016205072415119,False
14,-0.0016235495753554924,0.9999969576661561,1.0016205072415116,False
15,-0.0016641680669204299,0.9983091592578186,0.999973327324739,False
16,-0.004462639433697546,0.9999903299305718,1.0044529693642694,False
17,-0.004462639433697537,0.9999903299305729,1.0044529693642705,False
18,-0.0016709665399860984,0.35246741880082644,0.35413838534081254,False
19,-0.0019465553653020906,0.9997716012747462,1.0017181566400484,False
20,-0.0019465553653020937,0.9997716012747159,1.001718156640018,False
21,-0.0016152998661076437,0.9427440901643868,0.9443593900304944,False
22,-0.0015271185737672974,0.7268204417346762,0.7283475603084435,False
23,-0.0016410565243549482,0.7475336609673355,0.7491747174916905,False
24,-0.0015095208047197037,0.9999316350588751,1.0014411558635947,False
25,-0.0015610193103410847,0.44582972671972537,0.44739074603006646,False
26,-0.0014850827044529374,0.9999928435132627,1.0014779262177156,False
27,-0.0014845672235459036,0.9995509294924328,1.0010354967159787,False
28,-0.0014686385601255408,0.8619755979827598,0.8634442365428854,False
29,-0.0014968813908530158,0.8243110375500765,0.8258079189409295,False
30,-0.0014511110511550725,0.9980619834648977,0.9995130945160527,False
31,-0.0015816836005360798,0.8422018910920664,0.8437835746926026,False
32,-0.0014442599299323926,0.7860064780268271,0.7874507379567595,False
33,-0.00142367885347659,0.5479197129177664,0.549343391771243,False
34,-0.002767155606577091,0.9999914026858879,1.002758558292465,False
35,-0.0027671556065771083,0.9999914026858925,1.0027585582924696,False
36,-0.0013947971829277564,0.9298140195486435,0.9312088167315713,False
37,-0.0013888693374811572,0.7062529315263731,0.7076418008638543,False
38,-0.041124041881623045,1.0,1.041124041881623,False
39,-0.0015295514931824223,0.9998236122873876,1.00135316378057,False
40,-0.0015295514931824223,0.9998236122873618,1.0013531637805442,False
41,-0.001537425472629905,0.9992849387917073,1.0008223642643372,False
42,-0.0013765675799580217,0.9998639365428956,1.0012405041228536,False
43,-0.0017070016505801179,0.999973252979952,1.0016802546305321,False
44,-0.0017070016505801179,0.999973252979948,1.0016802546305281,False
45,-0.0013659837459305006,0.9995623113972313,1.0009282951431617,False
46,-0.001352831111325329,0.9992301942852164,1.0005830253965418,False
47,-0.001352004281215279,0.8528638994778566,0.8542159037590719,False
48,-0.001338478287660514,0.9466003805489545,0.947938858836615,False
49,-0.0021292052989755764,0.7463714771275233,0.7485006824264988,False
50,-0.0014054310774103717,0.8922555344102809,0.8936609654876914,False
51,-0.0015945604504559053,0.9998280745506148,1.0014226350010706,False
52,-0.001594560450455905,0.9998280745506004,1.0014226350010562,False
53,-0.0014130938980947082,0.6184144431702366,0.6198275370683314,False
54,-0.001299310022217786,0.9465810452780765,0.9478803553002944,False
55,-0.0029645325740429653,0.999999459629443,1.002963992203486,False
56,-0.002964532574042965,0.9999994596294433,1.0029639922034863,False
