row_index,input_min,input_max,input_range,constant_row
0,-0.0006786134299027733,0.28626414107030035,0.2869427545002031,False
1,-0.0037927545294647604,0.32372546122362295,0.3275182157530877,False
2,-0.0007466711149293747,0.4405023508561457,0.4412490219710751,False
3,-0.0004838511109280136,0.19647470994728514,0.19695856105821316,False
4,-0.00037341605117750657,0.43623220558997583,0.43660562164115335,False
5,-0.0006329897902096405,0.9999179917493477,1.0005509815395572,False
6,-0.0011717459998004417,0.272018524072026,0.27319027007182645,False
7,-0.00042769758865757255,0.4160933670028283,0.41652106459148586,False
8,-0.003240948568726618,0.2907732374567752,0.29401418602550183,False
9,-0.000608110690460793,0.3125671746665399,0.3131752853570007,False
10,-0.0010649358387022233,0.7660885978812312,0.7671535337199334,False
11,-0.007235806811580537,0.4310409438345126,0.4382767506460931,False
12,-0.0006581022039451899,0.842580739650093,0.8432388418540382,False
13,-0.0009865279092390452,0.19924266607358057,0.2002291939828196,False
14,-0.00032596958063104683,0.8446263322837276,0.8449523018643587,False
15,-0.0005283190153820188,0.2641798783582173,0.26470819737359935,False
16,-0.00031509810727647485,0.24851669282072159,0.24883179092799806,False
17,-0.0009159963423981742,0.2529672581332914,0.2538832544756896,False
18,-0.0014806232850281093,0.5127269008051475,0.5142075240901756,False
19,-0.0003740590434993321,0.24997731152382735,0.2503513705673267,False
20,-0.0010219823136628857,0.2741579597848587,0.2751799420985216,False
21,-0.001958662332579454,0.21557686985422142,0.21753553218680088,False
22,-0.00019934948198654234,0.13536434095985983,0.13556369044184638,False
23,-0.0002451861364087067,0.1813580463316219,0.1816032324680306,False
24,-0.0011994693868760174,0.29156656123540287,0.2927660306222789,False
25,-0.00036213407990167573,0.23153809560203423,0.2319002296819359,False
26,-0.0004628375592790345,0.5145424787988865,0.5150053163581655,False
27,-0.0008992787465794231,0.2660410570367381,0.2669403357833175,False
28,-0.0009731507072856674,0.2859111175597487,0.28688426826703434,False
29,-0.0004212383196348877,0.2342491134909327,0.23467035181056758,False
30,-0.0006776994790627114,0.3137209514444101,0.3143986509234728,False
31,-0.0005155300286514521,0.2799360276973821,0.28045155772603353,False
32,-0.0004756726357177369,0.6840381294158018,0.6845138020515195,False
33,-0.0008071342915003729,0.2571232637625882,0.25793039805408857,False
34,-0.0008890422375387047,0.2773358792508159,0.2782249214883546,False
35,-0.00030782465577835295,0.30357726062724905,0.3038850852830274,False
36,-0.0031188960751995028,0.3133592585977706,0.3164781546729701,False
37,-0.0006847413802828559,0.3514756991276798,0.35216044050796264,False
38,-0.0009050957254581573,0.36749455731857067,0.36839965304402883,False
39,-0.000327892980880027,0.24655041297878025,0.2468783059596603,False
