row_index,n_peaks_suppressed,peak_indices,ratios
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,1,72644,0.549
6,0,,
7,0,,
8,3,72383;72450;72301,1.181;0.668;0.676
9,0,,
10,3,72470;72311;72841,1.465;1.101;0.926
11,1,72081,0.578
12,3,72252;72097;72329,1.283;0.885;0.764
13,1,72079,0.795
14,0,,
15,0,,
16,0,,
17,3,72197;72269;72575,1.043;0.626;0.547
18,3,72601;72497;72450,0.905;0.586;0.547
19,0,,
20,0,,
21,1,72644,0.549
22,0,,
23,0,,
24,0,,
25,0,,
26,3,72220;72293;72132,1.168;0.666;0.654
27,0,,
28,0,,
29,0,,
30,0,,
31,0,,
32,0,,
33,0,,
34,0,,
35,0,,
36,0,,
37,0,,
38,0,,
39,0,,
40,0,,
41,0,,
