peak_id,point_index,ppm,reference_prominence,tolerance_points,detection_rate,mean_abs_shift,frac_shift_at_edge
0,75000,,0.004047566438138037,300,0.5929679420889349,93.53383327520056,0.01569584931984653
1,75542,,0.034947593308538374,300,0.7691830403309203,47.22008604463566,0.0009411132024737832
2,75635,,0.025764771599848843,300,0.6451913133402275,21.66645295720468,0.0
3,75737,,0.11087630456782212,300,0.6889348500517063,13.876613629540678,0.0
4,75809,,0.013742414034225783,300,0.5106514994829369,30.43904414742811,0.0
5,76147,,0.020163221340238305,300,0.7629782833505687,26.100840336134453,0.0
6,76325,,0.06320136813686558,300,0.5662874870734229,12.471877282688094,0.0
7,76521,,0.039571099631376644,300,0.5343329886246122,13.773369460034836,0.0
8,76700,,0.021330000092550466,300,0.5386763185108583,13.912651180648878,0.0
9,76982,,0.011220908717812382,300,0.5230610134436401,20.92427837089759,0.0
10,79215,,0.03842020255790125,300,0.7362978283350569,48.80393258426966,0.0
