row,block,study,lag
1764,45,MTBLS798,-8
1765,12,AMBIGUOUS: MTBLS147,-754
1766,45,MTBLS798,-5
1767,45,MTBLS798,5
1768,45,MTBLS798,9
1769,12,AMBIGUOUS: MTBLS147,-755
1770,45,MTBLS798,9
1771,12,AMBIGUOUS: MTBLS147,-784
1772,12,AMBIGUOUS: MTBLS147,-780
1773,45,MTBLS798,-4
1774,12,AMBIGUOUS: MTBLS147,-779
1775,12,AMBIGUOUS: MTBLS147,-774
1776,34,AMBIGUOUS: MTBLS395,-785
1777,45,MTBLS798,29
1778,34,AMBIGUOUS: MTBLS395,-743
1779,45,MTBLS798,8
1780,45,MTBLS798,15
1781,34,AMBIGUOUS: MTBLS395,-774
1782,12,AMBIGUOUS: MTBLS147,-789
1783,34,AMBIGUOUS: MTBLS395,-841
1784,12,AMBIGUOUS: MTBLS147,-786
1785,12,AMBIGUOUS: MTBLS147,-780
1786,34,AMBIGUOUS: MTBLS395,-742
1787,34,AMBIGUOUS: MTBLS395,-574
1788,45,MTBLS798,-2
1789,45,MTBLS798,-15
1790,12,AMBIGUOUS: MTBLS147,-759
1791,45,MTBLS798,-5
1792,12,AMBIGUOUS: MTBLS147,-780
1793,45,MTBLS798,7
1794,45,MTBLS798,-2
1795,45,MTBLS798,24
1796,45,MTBLS798,-62
1797,45,MTBLS798,4
1798,45,MTBLS798,11
1799,45,MTBLS798,12
1800,45,MTBLS798,1
1801,45,MTBLS798,-8
1802,45,MTBLS798,-17
1803,34,AMBIGUOUS: MTBLS395,-471
1804,12,AMBIGUOUS: MTBLS147,-777
1805,34,AMBIGUOUS: MTBLS395,-854
1806,12,AMBIGUOUS: MTBLS147,-769
1807,45,MTBLS798,-14
1808,34,AMBIGUOUS: MTBLS395,-772
1809,34,AMBIGUOUS: MTBLS395,-760
1810,12,AMBIGUOUS: MTBLS147,-784
1811,34,AMBIGUOUS: MTBLS395,-567
1812,45,MTBLS798,6
1813,12,AMBIGUOUS: MTBLS147,-758
1814,34,AMBIGUOUS: MTBLS395,-784
1815,45,MTBLS798,0
1816,45,MTBLS798,3
1817,45,MTBLS798,12
1818,12,AMBIGUOUS: MTBLS147,-774
1819,12,AMBIGUOUS: MTBLS147,-779
1820,45,MTBLS798,2
1821,45,MTBLS798,-4
1822,45,MTBLS798,17
1823,34,AMBIGUOUS: MTBLS395,-552
1824,45,MTBLS798,-5
1825,34,AMBIGUOUS: MTBLS395,-770
1826,45,MTBLS798,20
1827,45,MTBLS798,-15
1828,45,MTBLS798,20
1829,45,MTBLS798,13
1830,45,MTBLS798,-7
1831,12,AMBIGUOUS: MTBLS147,-712
1832,45,MTBLS798,12
1833,45,MTBLS798,12
1834,45,MTBLS798,22
1835,34,AMBIGUOUS: MTBLS395,-583
1836,45,MTBLS798,4
1837,34,AMBIGUOUS: MTBLS395,-750
1838,12,AMBIGUOUS: MTBLS147,-791
1839,45,MTBLS798,8
1840,12,AMBIGUOUS: MTBLS147,-773
1841,34,AMBIGUOUS: MTBLS395,-541
1842,12,AMBIGUOUS: MTBLS147,-777
1843,45,MTBLS798,8
1844,45,MTBLS798,19
1845,45,MTBLS798,16
1846,34,AMBIGUOUS: MTBLS395,-514
1847,45,MTBLS798,-2
1848,45,MTBLS798,-4
1849,12,AMBIGUOUS: MTBLS147,-689
1850,69,unassigned,-3655
1851,45,MTBLS798,4
1852,45,MTBLS798,6
1853,12,AMBIGUOUS: MTBLS147,-783
1854,45,MTBLS798,5
1855,12,AMBIGUOUS: MTBLS147,-779
1856,12,AMBIGUOUS: MTBLS147,-780
1857,12,AMBIGUOUS: MTBLS147,-788
1858,45,MTBLS798,2
1859,12,AMBIGUOUS: MTBLS147,-781
1860,34,AMBIGUOUS: MTBLS395,-755
1861,45,MTBLS798,-12
1862,53,unassigned,466
1863,70,unassigned,7014
1864,34,AMBIGUOUS: MTBLS395,-796
1865,12,AMBIGUOUS: MTBLS147,-758
1866,45,MTBLS798,10
1867,45,MTBLS798,10
1868,45,MTBLS798,8
1869,34,AMBIGUOUS: MTBLS395,-758
1870,45,MTBLS798,9
1871,34,AMBIGUOUS: MTBLS395,-745
1872,45,MTBLS798,7
1873,45,MTBLS798,-19
1874,45,MTBLS798,2
1875,45,MTBLS798,17
1876,12,AMBIGUOUS: MTBLS147,-759
1877,34,AMBIGUOUS: MTBLS395,-760
1878,34,AMBIGUOUS: MTBLS395,-773
1879,34,AMBIGUOUS: MTBLS395,-758
1880,45,MTBLS798,17
1881,45,MTBLS798,23
1882,34,AMBIGUOUS: MTBLS395,-567
1883,45,MTBLS798,31
1884,12,AMBIGUOUS: MTBLS147,-778
1885,34,AMBIGUOUS: MTBLS395,-771
1886,34,AMBIGUOUS: MTBLS395,-640
1887,45,MTBLS798,1
1888,45,MTBLS798,12
1889,45,MTBLS798,0
1890,45,MTBLS798,3
1891,34,AMBIGUOUS: MTBLS395,-772
1892,45,MTBLS798,-7
1893,34,AMBIGUOUS: MTBLS395,-781
1894,34,AMBIGUOUS: MTBLS395,-762
1895,45,MTBLS798,8
1896,45,MTBLS798,27
1897,46,unassigned,549
1898,45,MTBLS798,1
1899,45,MTBLS798,6
1900,53,unassigned,517
1901,45,MTBLS798,-1
1902,45,MTBLS798,6
1903,45,MTBLS798,-6
1904,45,MTBLS798,-9
1905,45,MTBLS798,-2
1906,45,MTBLS798,7
1907,34,AMBIGUOUS: MTBLS395,-776
1908,34,AMBIGUOUS: MTBLS395,-758
1909,45,MTBLS798,19
1910,34,AMBIGUOUS: MTBLS395,-556
1911,45,MTBLS798,46
1912,45,MTBLS798,6
1913,45,MTBLS798,4
1914,45,MTBLS798,7
1915,53,unassigned,503
1916,45,MTBLS798,18
1917,45,MTBLS798,1
1918,45,MTBLS798,19
1919,45,MTBLS798,-18
1920,45,MTBLS798,6
1921,34,AMBIGUOUS: MTBLS395,-777
1922,45,MTBLS798,-11
1923,34,AMBIGUOUS: MTBLS395,-563
1924,12,AMBIGUOUS: MTBLS147,-781
1925,45,MTBLS798,9
1926,34,AMBIGUOUS: MTBLS395,-767
1927,45,MTBLS798,13
1928,45,MTBLS798,12
1929,45,MTBLS798,7
1930,45,MTBLS798,6
1931,45,MTBLS798,4
1932,45,MTBLS798,10
1933,45,MTBLS798,-3
1934,45,MTBLS798,3
1935,34,AMBIGUOUS: MTBLS395,-765
1936,45,MTBLS798,18
1937,45,MTBLS798,33
1938,34,AMBIGUOUS: MTBLS395,-822
1939,45,MTBLS798,6
1940,45,MTBLS798,-13
1941,45,MTBLS798,12
1942,45,MTBLS798,9
1943,45,MTBLS798,13
1944,45,MTBLS798,0
1945,34,AMBIGUOUS: MTBLS395,-765
1946,45,MTBLS798,13
1947,34,AMBIGUOUS: MTBLS395,-773
1948,12,AMBIGUOUS: MTBLS147,-758
1949,45,MTBLS798,-1
1950,45,MTBLS798,-2
1951,34,AMBIGUOUS: MTBLS395,-578
1952,45,MTBLS798,30
1953,45,MTBLS798,14
1954,34,AMBIGUOUS: MTBLS395,-770
1955,45,MTBLS798,-9
1956,45,MTBLS798,-8
1957,45,MTBLS798,-16
1958,45,MTBLS798,-3
1959,45,MTBLS798,14
1960,12,AMBIGUOUS: MTBLS147,-779
1961,45,MTBLS798,-11
1962,12,AMBIGUOUS: MTBLS147,-774
1963,45,MTBLS798,11
1964,45,MTBLS798,8
1965,12,AMBIGUOUS: MTBLS147,-755
1966,45,MTBLS798,-27
1967,12,AMBIGUOUS: MTBLS147,-787
1968,45,MTBLS798,6
1969,45,MTBLS798,-14
1970,29,unassigned,4566
1971,34,AMBIGUOUS: MTBLS395,-780
1972,12,AMBIGUOUS: MTBLS147,-763
1973,45,MTBLS798,21
1974,45,MTBLS798,20
1975,34,AMBIGUOUS: MTBLS395,-746
1976,34,AMBIGUOUS: MTBLS395,-625
1977,12,AMBIGUOUS: MTBLS147,-757
1978,12,AMBIGUOUS: MTBLS147,-775
1979,12,AMBIGUOUS: MTBLS147,-769
1980,45,MTBLS798,16
1981,45,MTBLS798,10
1982,45,MTBLS798,4
1983,12,AMBIGUOUS: MTBLS147,-774
1984,45,MTBLS798,-84
1985,12,AMBIGUOUS: MTBLS147,-692
1986,34,AMBIGUOUS: MTBLS395,-781
1987,45,MTBLS798,-4
1988,45,MTBLS798,2
1989,45,MTBLS798,14
1990,63,unassigned,-3248
1991,45,MTBLS798,7
1992,45,MTBLS798,17
1993,34,AMBIGUOUS: MTBLS395,-702
1994,34,AMBIGUOUS: MTBLS395,-780
1995,45,MTBLS798,-5
1996,45,MTBLS798,21
1997,12,AMBIGUOUS: MTBLS147,-774
1998,12,AMBIGUOUS: MTBLS147,-777
1999,45,MTBLS798,9
2000,45,MTBLS798,6
2001,45,MTBLS798,3
2002,34,AMBIGUOUS: MTBLS395,-779
2003,45,MTBLS798,16
2004,45,MTBLS798,14
2005,12,AMBIGUOUS: MTBLS147,-773
2006,34,AMBIGUOUS: MTBLS395,-612
2007,34,AMBIGUOUS: MTBLS395,-787
2008,45,MTBLS798,2
2009,45,MTBLS798,18
2010,45,MTBLS798,8
2011,34,AMBIGUOUS: MTBLS395,-779
2012,34,AMBIGUOUS: MTBLS395,-776
2013,45,MTBLS798,-19
2014,45,MTBLS798,-8
2015,12,AMBIGUOUS: MTBLS147,-778
2016,45,MTBLS798,9
2017,45,MTBLS798,-5
2018,34,AMBIGUOUS: MTBLS395,-763
2019,45,MTBLS798,-10
2020,45,MTBLS798,10
2021,34,AMBIGUOUS: MTBLS395,-878
2022,34,AMBIGUOUS: MTBLS395,-750
2023,34,AMBIGUOUS: MTBLS395,-753
2024,34,AMBIGUOUS: MTBLS395,-679
2025,45,MTBLS798,6
2026,34,AMBIGUOUS: MTBLS395,-775
2027,12,AMBIGUOUS: MTBLS147,-785
2028,45,MTBLS798,9
2029,45,MTBLS798,1
2030,45,MTBLS798,16
2031,12,AMBIGUOUS: MTBLS147,-780
2032,45,MTBLS798,1
2033,45,MTBLS798,-4
2034,45,MTBLS798,24
2035,45,MTBLS798,8
2036,45,MTBLS798,7
2037,45,MTBLS798,11
2038,45,MTBLS798,12
2039,45,MTBLS798,-8
2040,45,MTBLS798,5
2041,45,MTBLS798,4
2042,68,MTBLS2336,-827
2043,45,MTBLS798,-12
2044,12,AMBIGUOUS: MTBLS147,-784
2045,45,MTBLS798,12
2046,12,AMBIGUOUS: MTBLS147,-787
2047,29,unassigned,4538
2048,45,MTBLS798,9
2049,45,MTBLS798,5
2050,45,MTBLS798,13
2051,34,AMBIGUOUS: MTBLS395,-769
2052,45,MTBLS798,-10
2053,12,AMBIGUOUS: MTBLS147,-783
2054,45,MTBLS798,-30
2055,45,MTBLS798,18
2056,45,MTBLS798,1
2057,45,MTBLS798,-4
2058,45,MTBLS798,-7
2059,45,MTBLS798,-4
2060,45,MTBLS798,-1
2061,45,MTBLS798,3
2062,45,MTBLS798,4
2063,53,unassigned,475
2064,45,MTBLS798,9
2065,45,MTBLS798,-48
2066,45,MTBLS798,-2
2067,29,unassigned,4545
2068,45,MTBLS798,3
2069,45,MTBLS798,17
2070,34,AMBIGUOUS: MTBLS395,-763
2071,34,AMBIGUOUS: MTBLS395,-772
2072,45,MTBLS798,-19
2073,45,MTBLS798,5
2074,45,MTBLS798,9
2075,45,MTBLS798,-5
2076,34,AMBIGUOUS: MTBLS395,-572
2077,45,MTBLS798,10
2078,34,AMBIGUOUS: MTBLS395,-765
2079,45,MTBLS798,-6
2080,45,MTBLS798,19
2081,45,MTBLS798,-8
2082,45,MTBLS798,11
2083,45,MTBLS798,33
2084,45,MTBLS798,2
2085,45,MTBLS798,7
2086,34,AMBIGUOUS: MTBLS395,-787
2087,45,MTBLS798,-1
2088,12,AMBIGUOUS: MTBLS147,-777
2089,12,AMBIGUOUS: MTBLS147,-778
2090,34,AMBIGUOUS: MTBLS395,-761
2091,45,MTBLS798,32
2092,34,AMBIGUOUS: MTBLS395,-763
2093,45,MTBLS798,-5
2094,34,AMBIGUOUS: MTBLS395,-776
2095,34,AMBIGUOUS: MTBLS395,-771
2096,45,MTBLS798,16
2097,45,MTBLS798,-18
2098,12,AMBIGUOUS: MTBLS147,-788
2099,34,AMBIGUOUS: MTBLS395,-751
2100,45,MTBLS798,-5
2101,34,AMBIGUOUS: MTBLS395,-778
2102,45,MTBLS798,-8
2103,45,MTBLS798,11
2104,34,AMBIGUOUS: MTBLS395,-775
2105,45,MTBLS798,9
2106,45,MTBLS798,1
2107,45,MTBLS798,7
2108,45,MTBLS798,-16
2109,12,AMBIGUOUS: MTBLS147,-787
2110,45,MTBLS798,24
2111,12,AMBIGUOUS: MTBLS147,-785
2112,45,MTBLS798,23
2113,45,MTBLS798,9
2114,45,MTBLS798,-4
2115,34,AMBIGUOUS: MTBLS395,-782
2116,45,MTBLS798,7
2117,45,MTBLS798,-8
2118,12,AMBIGUOUS: MTBLS147,-775
2119,45,MTBLS798,16
2120,45,MTBLS798,-2
2121,12,AMBIGUOUS: MTBLS147,-778
2122,71,unassigned,-3585
2123,34,AMBIGUOUS: MTBLS395,-600
2124,45,MTBLS798,-4
2125,12,AMBIGUOUS: MTBLS147,-789
2126,45,MTBLS798,12
2127,34,AMBIGUOUS: MTBLS395,-761
2128,45,MTBLS798,7
2129,12,AMBIGUOUS: MTBLS147,-781
2130,12,AMBIGUOUS: MTBLS147,-785
2131,53,unassigned,448
2132,45,MTBLS798,-9
2133,45,MTBLS798,-28
2134,45,MTBLS798,5
2135,45,MTBLS798,9
2136,45,MTBLS798,-1
2137,45,MTBLS798,2
2138,45,MTBLS798,9
2139,34,AMBIGUOUS: MTBLS395,-763
2140,45,MTBLS798,-5
2141,45,MTBLS798,-42
2142,45,MTBLS798,21
2143,45,MTBLS798,4
2144,34,AMBIGUOUS: MTBLS395,-776
2145,45,MTBLS798,-16
2146,45,MTBLS798,30
2147,45,MTBLS798,3
2148,45,MTBLS798,7
2149,45,MTBLS798,22
2150,45,MTBLS798,6
2151,45,MTBLS798,-2
2152,12,AMBIGUOUS: MTBLS147,-761
2153,34,AMBIGUOUS: MTBLS395,-776
2154,12,AMBIGUOUS: MTBLS147,-785
2155,45,MTBLS798,6
2156,34,AMBIGUOUS: MTBLS395,-535
2157,45,MTBLS798,16
2158,45,MTBLS798,23
2159,45,MTBLS798,21
2160,45,MTBLS798,12
2161,45,MTBLS798,15
2162,45,MTBLS798,-2
2163,45,MTBLS798,9
2164,45,MTBLS798,26
2165,45,MTBLS798,7
2166,45,MTBLS798,9
2167,34,AMBIGUOUS: MTBLS395,-755
2168,34,AMBIGUOUS: MTBLS395,-576
2169,45,MTBLS798,0
2170,45,MTBLS798,7
2171,34,AMBIGUOUS: MTBLS395,-758
2172,34,AMBIGUOUS: MTBLS395,-595
2173,45,MTBLS798,19
2174,34,AMBIGUOUS: MTBLS395,-783
2175,45,MTBLS798,-1
2176,45,MTBLS798,-3
2177,45,MTBLS798,-20
2178,45,MTBLS798,-10
2179,34,AMBIGUOUS: MTBLS395,-764
2180,45,MTBLS798,2
2181,45,MTBLS798,15
2182,45,MTBLS798,-1
2183,45,MTBLS798,3
2184,34,AMBIGUOUS: MTBLS395,-769
2185,45,MTBLS798,1
2186,34,AMBIGUOUS: MTBLS395,-768
2187,34,AMBIGUOUS: MTBLS395,-733
2188,34,AMBIGUOUS: MTBLS395,-763
2189,12,AMBIGUOUS: MTBLS147,-762
2190,45,MTBLS798,4
2191,45,MTBLS798,-9
2192,45,MTBLS798,3
2193,45,MTBLS798,30
2194,12,AMBIGUOUS: MTBLS147,-757
2195,29,unassigned,4536
2196,45,MTBLS798,20
2197,45,MTBLS798,1
2198,45,MTBLS798,-6
2199,45,MTBLS798,5
2200,45,MTBLS798,7
2201,12,AMBIGUOUS: MTBLS147,-787
2202,45,MTBLS798,14
2203,45,MTBLS798,-1
2204,34,AMBIGUOUS: MTBLS395,-787
2205,45,MTBLS798,2
2206,53,unassigned,522
2207,45,MTBLS798,-13
2208,45,MTBLS798,8
2209,45,MTBLS798,2
2210,45,MTBLS798,-3
2211,45,MTBLS798,2
2212,12,AMBIGUOUS: MTBLS147,-779
2213,45,MTBLS798,12
2214,34,AMBIGUOUS: MTBLS395,-633
2215,45,MTBLS798,4
2216,45,MTBLS798,-6
2217,45,MTBLS798,-17
2218,45,MTBLS798,-4
2219,34,AMBIGUOUS: MTBLS395,-773
2220,45,MTBLS798,-6
2221,45,MTBLS798,14
2222,45,MTBLS798,-4
2223,34,AMBIGUOUS: MTBLS395,-568
2224,45,MTBLS798,8
2225,12,AMBIGUOUS: MTBLS147,-785
2226,45,MTBLS798,3
2227,45,MTBLS798,-4
2228,45,MTBLS798,14
2229,45,MTBLS798,23
2230,45,MTBLS798,3
2231,45,MTBLS798,-3
2232,45,MTBLS798,7
2233,29,unassigned,4543
2234,34,AMBIGUOUS: MTBLS395,-769
2235,45,MTBLS798,-2
2236,34,AMBIGUOUS: MTBLS395,-808
2237,12,AMBIGUOUS: MTBLS147,-784
2238,45,MTBLS798,10
2239,45,MTBLS798,15
2240,45,MTBLS798,12
2241,45,MTBLS798,4
2242,45,MTBLS798,2
2243,45,MTBLS798,9
2244,34,AMBIGUOUS: MTBLS395,-620
2245,45,MTBLS798,5
2246,45,MTBLS798,10
2247,45,MTBLS798,5
2248,45,MTBLS798,-9
2249,34,AMBIGUOUS: MTBLS395,-748
2250,45,MTBLS798,-3
2251,12,AMBIGUOUS: MTBLS147,-758
2252,45,MTBLS798,5
2253,45,MTBLS798,-4
2254,45,MTBLS798,22
2255,12,AMBIGUOUS: MTBLS147,-785
2256,45,MTBLS798,2
2257,45,MTBLS798,7
2258,45,MTBLS798,10
2259,45,MTBLS798,6
2260,34,AMBIGUOUS: MTBLS395,-748
2261,34,AMBIGUOUS: MTBLS395,-576
2262,45,MTBLS798,21
2263,45,MTBLS798,-28
2264,45,MTBLS798,21
2265,45,MTBLS798,-7
2266,45,MTBLS798,12
2267,45,MTBLS798,14
2268,45,MTBLS798,5
2269,45,MTBLS798,11
2270,45,MTBLS798,3
2271,45,MTBLS798,-13
2272,45,MTBLS798,-7
2273,45,MTBLS798,-6
2274,45,MTBLS798,20
2275,12,AMBIGUOUS: MTBLS147,-773
2276,45,MTBLS798,-5
2277,45,MTBLS798,2
2278,34,AMBIGUOUS: MTBLS395,-618
2279,45,MTBLS798,5
2280,12,AMBIGUOUS: MTBLS147,-756
2281,34,AMBIGUOUS: MTBLS395,-769
2282,45,MTBLS798,0
2283,12,AMBIGUOUS: MTBLS147,-786
2284,12,AMBIGUOUS: MTBLS147,-756
2285,45,MTBLS798,20
2286,45,MTBLS798,-1
2287,12,AMBIGUOUS: MTBLS147,-772
2288,45,MTBLS798,18
2289,45,MTBLS798,-7
2290,45,MTBLS798,-3
2291,71,unassigned,-3592
2292,45,MTBLS798,8
2293,45,MTBLS798,14
2294,45,MTBLS798,-1
2295,45,MTBLS798,12
2296,45,MTBLS798,12
2297,45,MTBLS798,-19
2298,45,MTBLS798,5
2299,45,MTBLS798,3
2300,45,MTBLS798,2
2301,45,MTBLS798,8
2302,45,MTBLS798,-24
2303,34,AMBIGUOUS: MTBLS395,-689
2304,45,MTBLS798,-2
2305,45,MTBLS798,9
2306,45,MTBLS798,3
2307,12,AMBIGUOUS: MTBLS147,-682
2308,45,MTBLS798,-17
2309,45,MTBLS798,-1
2310,12,AMBIGUOUS: MTBLS147,-709
2311,45,MTBLS798,-11
2312,45,MTBLS798,3
2313,45,MTBLS798,21
2314,45,MTBLS798,1
2315,45,MTBLS798,14
2316,34,AMBIGUOUS: MTBLS395,-761
2317,45,MTBLS798,-16
2318,45,MTBLS798,6
2319,34,AMBIGUOUS: MTBLS395,-771
2320,34,AMBIGUOUS: MTBLS395,-773
2321,12,AMBIGUOUS: MTBLS147,-795
2322,12,AMBIGUOUS: MTBLS147,-783
2323,45,MTBLS798,4
2324,8,unassigned,4282
2325,8,unassigned,4282
2326,45,MTBLS798,-5
2327,45,MTBLS798,-10
2328,45,MTBLS798,17
2329,45,MTBLS798,-10
2330,45,MTBLS798,-9
2331,45,MTBLS798,-6
2332,12,AMBIGUOUS: MTBLS147,-756
2333,34,AMBIGUOUS: MTBLS395,-766
2334,34,AMBIGUOUS: MTBLS395,-760
2335,45,MTBLS798,-14
2336,45,MTBLS798,2
2337,34,AMBIGUOUS: MTBLS395,-773
2338,45,MTBLS798,19
2339,45,MTBLS798,11
2340,45,MTBLS798,1
2341,45,MTBLS798,5
2342,45,MTBLS798,12
2343,45,MTBLS798,-8
2344,45,MTBLS798,-5
2345,45,MTBLS798,11
2346,45,MTBLS798,-2
2347,45,MTBLS798,13
2348,12,AMBIGUOUS: MTBLS147,-758
2349,45,MTBLS798,-5
2350,45,MTBLS798,9
2351,12,AMBIGUOUS: MTBLS147,-769
2352,45,MTBLS798,11
2353,45,MTBLS798,11
2354,12,AMBIGUOUS: MTBLS147,-776
2355,45,MTBLS798,-3
2356,45,MTBLS798,2
2357,45,MTBLS798,14
2358,45,MTBLS798,3
2359,45,MTBLS798,19
2360,45,MTBLS798,7
2361,34,AMBIGUOUS: MTBLS395,-763
2362,45,MTBLS798,7
2363,45,MTBLS798,-6
2364,45,MTBLS798,2
2365,34,AMBIGUOUS: MTBLS395,-715
2366,45,MTBLS798,6
2367,45,MTBLS798,6
2368,45,MTBLS798,1
2369,45,MTBLS798,17
2370,34,AMBIGUOUS: MTBLS395,-760
2371,45,MTBLS798,5
2372,45,MTBLS798,13
2373,12,AMBIGUOUS: MTBLS147,-780
2374,45,MTBLS798,29
2375,45,MTBLS798,5
2376,45,MTBLS798,0
2377,12,AMBIGUOUS: MTBLS147,-783
2378,45,MTBLS798,10
2379,12,AMBIGUOUS: MTBLS147,-780
2380,34,AMBIGUOUS: MTBLS395,-543
2381,62,MTBLS46,-821
2382,45,MTBLS798,1
2383,45,MTBLS798,6
2384,45,MTBLS798,16
2385,45,MTBLS798,17
2386,45,MTBLS798,2
2387,45,MTBLS798,-8
2388,45,MTBLS798,-25
2389,45,MTBLS798,15
2390,45,MTBLS798,-13
2391,45,MTBLS798,8
2392,45,MTBLS798,-7
2393,45,MTBLS798,2
2394,45,MTBLS798,12
2395,45,MTBLS798,30
2396,45,MTBLS798,16
2397,45,MTBLS798,22
2398,45,MTBLS798,6
2399,45,MTBLS798,-2
2400,45,MTBLS798,3
2401,45,MTBLS798,8
2402,45,MTBLS798,-9
2403,34,AMBIGUOUS: MTBLS395,-781
2404,12,AMBIGUOUS: MTBLS147,-680
2405,45,MTBLS798,6
2406,45,MTBLS798,-7
2407,45,MTBLS798,-21
2408,12,AMBIGUOUS: MTBLS147,-787
2409,45,MTBLS798,-9
2410,45,MTBLS798,0
2411,34,AMBIGUOUS: MTBLS395,-769
2412,45,MTBLS798,8
2413,45,MTBLS798,-9
2414,45,MTBLS798,5
2415,45,MTBLS798,8
2416,45,MTBLS798,0
2417,45,MTBLS798,1
2418,45,MTBLS798,-1
2419,12,AMBIGUOUS: MTBLS147,-781
2420,45,MTBLS798,-8
2421,45,MTBLS798,19
2422,45,MTBLS798,-7
2423,12,AMBIGUOUS: MTBLS147,-778
2424,45,MTBLS798,12
2425,12,AMBIGUOUS: MTBLS147,-709
2426,45,MTBLS798,9
2427,45,MTBLS798,3
2428,45,MTBLS798,-20
2429,45,MTBLS798,-6
2430,45,MTBLS798,-23
2431,12,AMBIGUOUS: MTBLS147,-784
2432,45,MTBLS798,-1
2433,45,MTBLS798,9
2434,45,MTBLS798,9
2435,45,MTBLS798,7
2436,12,AMBIGUOUS: MTBLS147,-784
2437,45,MTBLS798,10
2438,45,MTBLS798,5
2439,45,MTBLS798,1
2440,45,MTBLS798,-13
2441,12,AMBIGUOUS: MTBLS147,-779
2442,45,MTBLS798,6
2443,45,MTBLS798,7
2444,45,MTBLS798,6
2445,45,MTBLS798,12
2446,45,MTBLS798,4
2447,45,MTBLS798,14
2448,45,MTBLS798,6
2449,45,MTBLS798,-11
2450,45,MTBLS798,19
2451,45,MTBLS798,0
2452,45,MTBLS798,-4
2453,34,AMBIGUOUS: MTBLS395,-772
2454,45,MTBLS798,-14
2455,45,MTBLS798,-2
2456,45,MTBLS798,12
2457,45,MTBLS798,19
2458,12,AMBIGUOUS: MTBLS147,-780
2459,45,MTBLS798,14
2460,45,MTBLS798,11
2461,12,AMBIGUOUS: MTBLS147,-705
2462,34,AMBIGUOUS: MTBLS395,-566
2463,45,MTBLS798,22
2464,12,AMBIGUOUS: MTBLS147,-789
2465,12,AMBIGUOUS: MTBLS147,-787
2466,45,MTBLS798,-2
2467,45,MTBLS798,12
2468,45,MTBLS798,3
2469,45,MTBLS798,6
2470,45,MTBLS798,6
2471,45,MTBLS798,5
2472,45,MTBLS798,16
2473,45,MTBLS798,24
2474,12,AMBIGUOUS: MTBLS147,-780
2475,45,MTBLS798,15
2476,45,MTBLS798,-18
2477,34,AMBIGUOUS: MTBLS395,-765
2478,45,MTBLS798,16
2479,45,MTBLS798,6
2480,45,MTBLS798,-2
2481,45,MTBLS798,6
2482,45,MTBLS798,-2
2483,45,MTBLS798,6
2484,45,MTBLS798,-88
2485,45,MTBLS798,-47
2486,45,MTBLS798,-8
2487,12,AMBIGUOUS: MTBLS147,-706
2488,45,MTBLS798,2
2489,45,MTBLS798,2
2490,12,AMBIGUOUS: MTBLS147,-785
2491,45,MTBLS798,5
2492,53,unassigned,474
2493,45,MTBLS798,9
2494,45,MTBLS798,0
2495,34,AMBIGUOUS: MTBLS395,-728
2496,45,MTBLS798,11
2497,34,AMBIGUOUS: MTBLS395,-534
2498,45,MTBLS798,12
2499,45,MTBLS798,10
2500,45,MTBLS798,12
2501,12,AMBIGUOUS: MTBLS147,-785
2502,45,MTBLS798,12
2503,12,AMBIGUOUS: MTBLS147,-771
2504,45,MTBLS798,14
2505,63,unassigned,-3260
2506,45,MTBLS798,-28
2507,45,MTBLS798,8
2508,45,MTBLS798,3
2509,45,MTBLS798,10
2510,45,MTBLS798,4
2511,45,MTBLS798,14
2512,45,MTBLS798,6
2513,45,MTBLS798,11
2514,45,MTBLS798,33
2515,45,MTBLS798,9
2516,45,MTBLS798,10
2517,45,MTBLS798,1
2518,45,MTBLS798,-9
2519,45,MTBLS798,7
2520,34,AMBIGUOUS: MTBLS395,-767
2521,45,MTBLS798,-8
2522,45,MTBLS798,26
2523,34,AMBIGUOUS: MTBLS395,-774
2524,45,MTBLS798,14
2525,45,MTBLS798,3
2526,45,MTBLS798,-4
2527,45,MTBLS798,-9
2528,45,MTBLS798,-7
2529,45,MTBLS798,12
2530,34,AMBIGUOUS: MTBLS395,-765
2531,45,MTBLS798,-5
2532,45,MTBLS798,6
2533,45,MTBLS798,-13
2534,45,MTBLS798,-10
2535,45,MTBLS798,5
2536,34,AMBIGUOUS: MTBLS395,-795
2537,45,MTBLS798,8
2538,45,MTBLS798,8
2539,45,MTBLS798,-4
2540,45,MTBLS798,20
2541,46,unassigned,564
2542,45,MTBLS798,25
2543,45,MTBLS798,-1
2544,46,unassigned,548
2545,12,AMBIGUOUS: MTBLS147,-779
2546,45,MTBLS798,3
2547,45,MTBLS798,6
2548,45,MTBLS798,20
2549,34,AMBIGUOUS: MTBLS395,-774
2550,12,AMBIGUOUS: MTBLS147,-760
2551,45,MTBLS798,7
2552,45,MTBLS798,4
2553,45,MTBLS798,15
2554,12,AMBIGUOUS: MTBLS147,-782
2555,12,AMBIGUOUS: MTBLS147,-760
2556,45,MTBLS798,31
2557,45,MTBLS798,10
2558,34,AMBIGUOUS: MTBLS395,-439
2559,34,AMBIGUOUS: MTBLS395,-773
2560,45,MTBLS798,14
2561,45,MTBLS798,16
2562,45,MTBLS798,11
2563,45,MTBLS798,8
2564,45,MTBLS798,-8
2565,45,MTBLS798,-46
2566,34,AMBIGUOUS: MTBLS395,-769
