row,block,study,lag
229,10,unassigned,6987
230,7,unassigned,1391
231,5,unassigned,-2959
232,12,AMBIGUOUS: MTBLS147,-760
233,10,unassigned,7011
234,10,unassigned,7011
235,11,unassigned,-2882
236,10,unassigned,6972
237,10,unassigned,6972
238,12,AMBIGUOUS: MTBLS147,-763
239,11,unassigned,-2882
240,11,unassigned,-2877
241,2,unassigned,6994
242,6,unassigned,2688
243,23,unassigned,2777
244,10,unassigned,6987
245,10,unassigned,6987
246,12,AMBIGUOUS: MTBLS147,-765
247,11,unassigned,-2869
248,11,unassigned,-2891
249,10,unassigned,7010
250,10,unassigned,7010
251,24,unassigned,4939
252,24,unassigned,4939
253,10,unassigned,7041
254,10,unassigned,7041
255,4,unassigned,3330
256,5,unassigned,-2966
257,12,AMBIGUOUS: MTBLS147,-762
258,11,unassigned,-2891
259,10,unassigned,7040
260,10,unassigned,7040
261,8,unassigned,4304
262,8,unassigned,4304
263,10,unassigned,6995
264,10,unassigned,6995
265,12,AMBIGUOUS: MTBLS147,-760
266,10,unassigned,7050
267,10,unassigned,7050
268,5,unassigned,-2967
269,12,AMBIGUOUS: MTBLS147,-741
270,11,unassigned,-2878
271,10,unassigned,6976
272,10,unassigned,6976
273,12,AMBIGUOUS: MTBLS147,-758
274,12,AMBIGUOUS: MTBLS147,-761
275,12,AMBIGUOUS: MTBLS147,-757
276,10,unassigned,7025
277,10,unassigned,7025
278,8,unassigned,4302
279,8,unassigned,4302
280,10,unassigned,7001
281,10,unassigned,7001
282,7,unassigned,1452
283,12,AMBIGUOUS: MTBLS147,-758
284,12,AMBIGUOUS: MTBLS147,-753
285,7,unassigned,1446
286,7,unassigned,1463
287,12,AMBIGUOUS: MTBLS147,-756
288,12,AMBIGUOUS: MTBLS147,-758
289,7,unassigned,1468
290,16,unassigned,5500
291,16,unassigned,5500
292,25,unassigned,1516
293,11,unassigned,-2875
294,26,unassigned,6753
295,26,unassigned,6753
296,12,AMBIGUOUS: MTBLS147,-753
297,27,unassigned,2760
298,11,unassigned,-2865
299,12,AMBIGUOUS: MTBLS147,-757
300,11,unassigned,-2879
301,11,unassigned,-2874
302,7,unassigned,1453
303,12,AMBIGUOUS: MTBLS147,-749
304,12,AMBIGUOUS: MTBLS147,-761
305,12,AMBIGUOUS: MTBLS147,-759
306,12,AMBIGUOUS: MTBLS147,-751
307,11,unassigned,-2892
308,12,AMBIGUOUS: MTBLS147,-763
309,24,unassigned,4933
310,24,unassigned,4933
311,0,unassigned,2663
312,11,unassigned,-2883
313,10,unassigned,7036
314,10,unassigned,7036
315,12,AMBIGUOUS: MTBLS147,-762
316,10,unassigned,7008
317,10,unassigned,7008
318,12,AMBIGUOUS: MTBLS147,-761
319,11,unassigned,-2880
320,21,unassigned,1413
321,8,unassigned,4304
