epoch,split,bin_size,lr,loss,token_accuracy,top5_accuracy,neighbor_accuracy,exact_order_accuracy,duplicate_position_rate
1,train,overall,2.9999999999999997e-05,5.933146930061648,0.01472956226144671,0.04810369519241187,0.02341647982396887,0.0,0.6414049909788396
1,train,256,2.9999999999999997e-05,5.933146930061648,0.01472956226144671,0.04810369519241187,0.02341647982396887,0.0,0.6414049909788396
1,val,overall,2.9999999999999997e-05,5.573793964726584,0.04043312676783119,0.10249764578683036,0.05129762679072363,0.0,0.8639201815166171
1,val,256,2.9999999999999997e-05,5.573793964726584,0.04043312676783119,0.10249764578683036,0.05129762679072363,0.0,0.8639201815166171
2,train,overall,5.9999999999999995e-05,5.482785723134541,0.04687587584414824,0.11677875603661944,0.05882513619992765,0.0,0.5218841963284754
2,train,256,5.9999999999999995e-05,5.482785723134541,0.04687587584414824,0.11677875603661944,0.05882513619992765,0.0,0.5218841963284754
2,val,overall,5.9999999999999995e-05,5.311343789100647,0.07314022005136524,0.15879083052277565,0.08578115794807673,0.0,0.8033739120241196
2,val,256,5.9999999999999995e-05,5.311343789100647,0.07314022005136524,0.15879083052277565,0.08578115794807673,0.0,0.8033739120241196
3,train,overall,8.999999999999999e-05,5.283639150884654,0.07232824763107727,0.16296041860441457,0.08519478700219783,0.0,0.5233671042951233
3,train,256,8.999999999999999e-05,5.283639150884654,0.07232824763107727,0.16296041860441457,0.08519478700219783,0.0,0.5233671042951233
3,val,overall,8.999999999999999e-05,5.1222028732299805,0.10199640664671149,0.20012289392096655,0.11591544986835547,0.0,0.7766634017702133
3,val,256,8.999999999999999e-05,5.1222028732299805,0.10199640664671149,0.20012289392096655,0.11591544986835547,0.0,0.7766634017702133
4,train,overall,0.00011999999999999999,5.120258068289992,0.09933255455820016,0.2011841367846647,0.11260942536752855,0.0,0.5258054998423487
4,train,256,0.00011999999999999999,5.120258068289992,0.09933255455820016,0.2011841367846647,0.11260942536752855,0.0,0.5258054998423487
4,val,overall,0.00011999999999999999,4.944282182625362,0.13323199562728405,0.23472389339336328,0.1465944562639509,0.0,0.7490741790287078
4,val,256,0.00011999999999999999,4.944282182625362,0.13323199562728405,0.23472389339336328,0.1465944562639509,0.0,0.7490741790287078
5,train,overall,0.00015,4.976327239665215,0.12452649856362108,0.2305802007961701,0.1379760195054281,0.0,0.5294208064742153
5,train,256,0.00015,4.976327239665215,0.12452649856362108,0.2305802007961701,0.1379760195054281,0.0,0.5294208064742153
5,val,overall,0.00015,4.800544551440647,0.15402318563844478,0.2601108854370458,0.1684836737279381,0.0,0.73731934078156
5,val,256,0.00015,4.800544551440647,0.15402318563844478,0.2601108854370458,0.1684836737279381,0.0,0.73731934078156
6,train,overall,0.00017999999999999998,4.8298113228494275,0.15018403603624336,0.2562891938493925,0.16361264630550762,0.0,0.5239522206943666
6,train,256,0.00017999999999999998,4.8298113228494275,0.15018403603624336,0.2562891938493925,0.16361264630550762,0.0,0.5239522206943666
6,val,overall,0.00017999999999999998,4.665672532149723,0.17615763337484427,0.2806448558611529,0.19063786097935267,0.0,0.717881338936942
6,val,256,0.00017999999999999998,4.665672532149723,0.17615763337484427,0.2806448558611529,0.19063786097935267,0.0,0.717881338936942
7,train,overall,0.00020999999999999998,4.716248871499648,0.16871529483474423,0.27347554433506166,0.18242149181964687,0.0,0.525210092313621
7,train,256,0.00020999999999999998,4.716248871499648,0.16871529483474423,0.27347554433506166,0.18242149181964687,0.0,0.525210092313621
7,val,overall,0.00020999999999999998,4.591140994003841,0.18885524703988008,0.28979685955813955,0.20385173016360827,0.0,0.7069743322947668
7,val,256,0.00020999999999999998,4.591140994003841,0.18885524703988008,0.28979685955813955,0.20385173016360827,0.0,0.7069743322947668
8,train,overall,0.00023999999999999998,4.615212087673991,0.18200470106216823,0.28650811033933155,0.19664656975611444,0.0,0.5170158899418442
8,train,256,0.00023999999999999998,4.615212087673991,0.18200470106216823,0.28650811033933155,0.19664656975611444,0.0,0.5170158899418442
8,val,overall,0.00023999999999999998,4.4343515293938776,0.21379343659750052,0.31324659075055805,0.23039039729961328,0.0,0.6905142163473462
8,val,256,0.00023999999999999998,4.4343515293938776,0.21379343659750052,0.31324659075055805,0.23039039729961328,0.0,0.6905142163473462
9,train,overall,0.00027,4.533846957801169,0.1929258885271346,0.29716030511620867,0.20858734545419033,0.0,0.511921507146861
9,train,256,0.00027,4.533846957801169,0.1929258885271346,0.29716030511620867,0.20858734545419033,0.0,0.511921507146861
9,val,overall,0.00027,4.36746484041214,0.21833026222884655,0.31770518475345205,0.2355655487626791,0.0,0.6767449757409475
9,val,256,0.00027,4.36746484041214,0.21833026222884655,0.31770518475345205,0.2355655487626791,0.0,0.6767449757409475
10,train,overall,0.0003,4.448413540964169,0.2048463008863509,0.30836230903997547,0.22139575088505253,0.0,0.5014640226492433
10,train,256,0.0003,4.448413540964169,0.2048463008863509,0.30836230903997547,0.22139575088505253,0.0,0.5014640226492433
10,val,overall,0.0003,4.309429594448635,0.22195240801998548,0.32666984466569765,0.24124702571758203,0.0,0.670212639702691
10,val,256,0.0003,4.309429594448635,0.22195240801998548,0.32666984466569765,0.24124702571758203,0.0,0.670212639702691
11,train,overall,0.0003,4.3665991150210255,0.21611169381526554,0.3193276170390604,0.23373300866161226,0.0,0.486918824884389
11,train,256,0.0003,4.3665991150210255,0.21611169381526554,0.3193276170390604,0.23373300866161226,0.0,0.486918824884389
11,val,overall,0.0003,4.159993312188557,0.24818638392857142,0.34606594539114405,0.26915644109249115,0.0,0.638048081170945
11,val,256,0.0003,4.159993312188557,0.24818638392857142,0.34606594539114405,0.26915644109249115,0.0,0.638048081170945
12,train,overall,0.0002999951495796209,4.308101619840203,0.22510373244905685,0.32725698704676776,0.24327961879995372,0.0,0.4821544698535594
12,train,256,0.0002999951495796209,4.308101619840203,0.22510373244905685,0.32725698704676776,0.24327961879995372,0.0,0.4821544698535594
12,val,overall,0.0002999951495796209,4.140728669507163,0.2489128719483103,0.3489164321550301,0.27086542546749115,0.0,0.6297624376085069
12,val,256,0.0002999951495796209,4.140728669507163,0.2489128719483103,0.3489164321550301,0.27086542546749115,0.0,0.6297624376085069
13,train,overall,0.0002999805986332205,4.251182611747708,0.23323810394569364,0.3345047339730199,0.25217137355440933,0.0,0.476739748283352
13,train,256,0.0002999805986332205,4.251182611747708,0.23323810394569364,0.3345047339730199,0.25217137355440933,0.0,0.476739748283352
13,val,overall,0.0002999805986332205,4.128586381673813,0.2553494168179376,0.3530228632901396,0.2774315487061228,0.0,0.6314348493303571
13,val,256,0.0002999805986332205,4.128586381673813,0.2553494168179376,0.3530228632901396,0.2774315487061228,0.0,0.6314348493303571
14,train,overall,0.00029995634810498883,4.213777236339757,0.23965062708865367,0.33977401122918577,0.2588839818276632,0.0,0.47638908352017934
14,train,256,0.00029995634810498883,4.213777236339757,0.23965062708865367,0.33977401122918577,0.2588839818276632,0.0,0.47638908352017934
14,val,overall,0.00029995634810498883,4.082458359854562,0.26702989850725445,0.360205029802663,0.2885648938161986,0.0,0.6137455531529018
14,val,256,0.00029995634810498883,4.082458359854562,0.26702989850725445,0.360205029802663,0.2885648938161986,0.0,0.6137455531529018
15,train,overall,0.0002999223995685079,4.1701141697408906,0.24611258065753988,0.345352460317013,0.26584302964766465,0.0,0.4732398336778307
15,train,256,0.0002999223995685079,4.1701141697408906,0.24611258065753988,0.345352460317013,0.26584302964766465,0.0,0.4732398336778307
15,val,overall,0.0002999223995685079,3.9954283790928975,0.27311876096895765,0.3675316705235413,0.29626779737217085,0.0,0.6128985692584326
15,val,256,0.0002999223995685079,3.9954283790928975,0.27311876096895765,0.3675316705235413,0.29626779737217085,0.0,0.6128985692584326
16,train,overall,0.0002998787552266496,4.1315295952852535,0.2519888155529852,0.35018458347684067,0.272024659297926,0.0,0.4716822055423206
16,train,256,0.0002998787552266496,4.1315295952852535,0.2519888155529852,0.35018458347684067,0.272024659297926,0.0,0.4716822055423206
16,val,overall,0.0002998787552266496,3.9898748695850372,0.27590809177075115,0.36791483578937395,0.29848153250558035,0.0,0.6053196740528894
16,val,256,0.0002998787552266496,3.9898748695850372,0.27590809177075115,0.36791483578937395,0.29848153250558035,0.0,0.6053196740528894
17,train,overall,0.0002998254179114328,4.111122606046531,0.2555002255423721,0.35326984217348656,0.2759774931343147,0.0,0.47270863622827913
17,train,256,0.0002998254179114328,4.111122606046531,0.2555002255423721,0.35326984217348656,0.2759774931343147,0.0,0.47270863622827913
17,val,overall,0.0002998254179114328,4.000816796507154,0.2731102838047913,0.36592320033482145,0.29627881731305805,0.0,0.6093769376240079
17,val,256,0.0002998254179114328,4.000816796507154,0.2731102838047913,0.36592320033482145,0.29627881731305805,0.0,0.6093769376240079
18,train,overall,0.0002997623910838393,4.08117030447374,0.2604334536154709,0.35687343448801423,0.28106930317365536,0.0,0.471654780777046
18,train,256,0.0002997623910838393,4.08117030447374,0.2604334536154709,0.35687343448801423,0.28106930317365536,0.0,0.471654780777046
18,val,overall,0.0002997623910838393,3.965390677962984,0.2777452016515391,0.37260303805981365,0.30229199145521435,0.0,0.6119641500806051
18,val,256,0.0002997623910838393,3.965390677962984,0.2777452016515391,0.37260303805981365,0.30229199145521435,0.0,0.6119641500806051
19,train,overall,0.00029968967883358983,4.054700893136952,0.264401176718853,0.36022878054011565,0.28544341635810955,0.0,0.46972546769899104
19,train,256,0.00029968967883358983,4.054700893136952,0.264401176718853,0.36022878054011565,0.28544341635810955,0.0,0.46972546769899104
19,val,overall,0.00029968967883358983,3.927379765680858,0.283717685512134,0.37423197446124895,0.30695016043526785,0.0,0.5934043763175844
19,val,256,0.00029968967883358983,3.927379765680858,0.283717685512134,0.37423197446124895,0.30695016043526785,0.0,0.5934043763175844
20,train,overall,0.00029960728587887794,4.035153202946411,0.2675869928614441,0.3626241504878741,0.2886013698684795,0.0,0.47085771090246636
20,train,256,0.00029960728587887794,4.035153202946411,0.2675869928614441,0.3626241504878741,0.2886013698684795,0.0,0.47085771090246636
20,val,overall,0.00029960728587887794,3.8908551931381226,0.29048544274909155,0.3813406324812344,0.3156305950667177,0.0,0.5916465880378844
20,val,256,0.00029960728587887794,3.8908551931381226,0.29048544274909155,0.3813406324812344,0.3156305950667177,0.0,0.5916465880378844
21,train,overall,0.0002995152175660644,4.021211906398893,0.2702115593737016,0.3645114231804561,0.2913672203707588,0.0,0.47078873843890134
21,train,256,0.0002995152175660644,4.021211906398893,0.2702115593737016,0.3645114231804561,0.2913672203707588,0.0,0.47078873843890134
21,val,overall,0.0002995152175660644,3.876820853778294,0.2935419236975057,0.38184611020343645,0.3176311919731753,0.0,0.583648923843626
21,val,256,0.0002995152175660644,3.876820853778294,0.2935419236975057,0.38184611020343645,0.3176311919731753,0.0,0.583648923843626
22,train,overall,0.00029941347986933015,4.004697829618582,0.27290843741241594,0.3666187508758408,0.2943891448557644,0.0,0.4702136942089406
22,train,256,0.00029941347986933015,4.004697829618582,0.27290843741241594,0.3666187508758408,0.2943891448557644,0.0,0.4702136942089406
22,val,overall,0.00029941347986933015,3.8423554045813426,0.29714747837611605,0.38726467585989405,0.3224879673549107,0.0,0.5732997107127356
22,val,256,0.00029941347986933015,3.8423554045813426,0.29714747837611605,0.38726467585989405,0.3224879673549107,0.0,0.5732997107127356
23,train,overall,0.00029930207939028844,3.9895985789363158,0.2755140091538964,0.36845933041230444,0.2969689886398914,0.0,0.4703067522947029
23,train,256,0.00029930207939028844,3.9895985789363158,0.2755140091538964,0.36845933041230444,0.2969689886398914,0.0,0.4703067522947029
23,val,overall,0.00029930207939028844,3.8416313997336795,0.298715137477432,0.3859951687710626,0.32381766183035715,0.0,0.5749084230453249
23,val,256,0.00029930207939028844,3.8416313997336795,0.298715137477432,0.3859951687710626,0.32381766183035715,0.0,0.5749084230453249
24,train,overall,0.0002991810233575568,3.9814061199068487,0.27687572256866594,0.36929449933526765,0.29836633801460266,0.0,0.47032771773402465
24,train,256,0.0002991810233575568,3.9814061199068487,0.27687572256866594,0.36929449933526765,0.29836633801460266,0.0,0.47032771773402465
24,val,overall,0.0002991810233575568,3.84836574111666,0.29938034766486715,0.3873008851494108,0.32474844796316965,0.0,0.5723449464828249
24,val,256,0.0002991810233575568,3.84836574111666,0.29938034766486715,0.3873008851494108,0.32474844796316965,0.0,0.5723449464828249
25,train,overall,0.00029905031962628776,3.9735822944897707,0.27865367940723096,0.3706392433343981,0.30019837791609655,0.0,0.4705431198325392
25,train,256,0.00029905031962628776,3.9735822944897707,0.27865367940723096,0.3706392433343981,0.30019837791609655,0.0,0.4705431198325392
25,val,overall,0.00029905031962628776,3.80930586372103,0.30390046164393425,0.3911949039569923,0.3287240889455591,0.0,0.5727417960999504
25,val,256,0.00029905031962628776,3.80930586372103,0.30390046164393425,0.3911949039569923,0.3287240889455591,0.0,0.5727417960999504
26,train,overall,0.00029890997667765903,3.9558186456226982,0.28153968432024457,0.372730641755288,0.30316446754964477,0.0,0.4682716814391816
26,train,256,0.00029890997667765903,3.9558186456226982,0.28153968432024457,0.372730641755288,0.30316446754964477,0.0,0.4682716814391816
26,val,overall,0.00029890997667765903,3.860681474208832,0.29755994996854235,0.38344174357397215,0.3220564829451697,0.0,0.5846974206349207
26,val,256,0.00029890997667765903,3.860681474208832,0.29755994996854235,0.38344174357397215,0.3220564829451697,0.0,0.5846974206349207
27,train,overall,0.0002987600036183235,3.9452022201811787,0.28327237116381726,0.3737023324442551,0.3050887993632945,0.0,0.46751490024173203
27,train,256,0.0002987600036183235,3.9452022201811787,0.28327237116381726,0.3737023324442551,0.3050887993632945,0.0,0.46751490024173203
27,val,overall,0.0002987600036183235,3.819213019950049,0.30161236971616745,0.3867467242692198,0.3266355725271361,0.0,0.5685017903645833
27,val,256,0.0002987600036183235,3.819213019950049,0.30161236971616745,0.3867467242692198,0.3266355725271361,0.0,0.5685017903645833
28,train,overall,0.000298600410179818,3.9408797148631827,0.28388463862808294,0.3742654433164896,0.3057192952910881,0.0,0.46648726527466366
28,train,256,0.000298600410179818,3.9408797148631827,0.28388463862808294,0.3742654433164896,0.3057192952910881,0.0,0.46648726527466366
28,val,overall,0.000298600410179818,3.870169000966208,0.29337855747767855,0.3794703409075737,0.317012363246509,0.0,0.575683351546999
28,val,256,0.000298600410179818,3.870169000966208,0.29337855747767855,0.3794703409075737,0.317012363246509,0.0,0.575683351546999
29,train,overall,0.00029843120671793215,3.9238415245518024,0.2863141663138642,0.37617773218539796,0.3084382335968616,0.0,0.4638341792495796
29,train,256,0.00029843120671793215,3.9238415245518024,0.2863141663138642,0.37617773218539796,0.3084382335968616,0.0,0.4638341792495796
29,val,overall,0.00029843120671793215,3.8072820774146487,0.3031363109392779,0.3897335720913751,0.32871318981051445,0.0,0.568268791077629
29,val,256,0.00029843120671793215,3.8072820774146487,0.3031363109392779,0.3897335720913751,0.32871318981051445,0.0,0.568268791077629
30,train,overall,0.000298252404212036,3.919215328490253,0.287344483516676,0.37688333143567826,0.3094320938726177,0.0,0.462545653202074
30,train,256,0.000298252404212036,3.919215328490253,0.287344483516676,0.37688333143567826,0.3094320938726177,0.0,0.462545653202074
30,val,overall,0.000298252404212036,3.772801160812378,0.3095756412616798,0.39472573889153345,0.334686279296875,0.0,0.5648550608801463
30,val,256,0.000298252404212036,3.772801160812378,0.3095756412616798,0.39472573889153345,0.334686279296875,0.0,0.5648550608801463
31,train,overall,0.0002980640142643679,3.909143625353484,0.2886544677174145,0.37813934189321746,0.31075220498268913,0.0,0.4614826014223655
31,train,256,0.0002980640142643679,3.909143625353484,0.2886544677174145,0.37813934189321746,0.31075220498268913,0.0,0.4614826014223655
31,val,overall,0.0002980640142643679,3.7883096550192152,0.3058856784233025,0.394276815865721,0.3312603176704475,0.0,0.560042729453435
31,val,256,0.0002980640142643679,3.7883096550192152,0.3058856784233025,0.394276815865721,0.3312603176704475,0.0,0.560042729453435
32,train,overall,0.00029786604909928175,3.9006629225384493,0.29015368824582466,0.3792079224714784,0.3124956207959641,0.0,0.4604679398472533
32,train,256,0.00029786604909928175,3.9006629225384493,0.29015368824582466,0.3792079224714784,0.3124956207959641,0.0,0.4604679398472533
32,val,overall,0.00029786604909928175,3.77743205002376,0.30805581701653345,0.39379664829799105,0.33358825211014065,0.0,0.5584541199699281
32,val,256,0.00029786604909928175,3.77743205002376,0.30805581701653345,0.39379664829799105,0.33358825211014065,0.0,0.5584541199699281
33,train,overall,0.00029765852156245334,3.8997481660458004,0.2905882146593701,0.3794248573181341,0.31281524803071814,0.0,0.46178629922225334
33,train,256,0.00029765852156245334,3.8997481660458004,0.2905882146593701,0.3794248573181341,0.31281524803071814,0.0,0.46178629922225334
33,val,overall,0.00029765852156245334,3.761743575334549,0.309965830296278,0.39441911024706705,0.335947793509279,0.0,0.5606926812065972
33,val,256,0.00029765852156245334,3.761743575334549,0.309965830296278,0.39441911024706705,0.335947793509279,0.0,0.5606926812065972
34,train,overall,0.0002974414451200471,3.8875004667872273,0.2923147158505136,0.38064933745315793,0.3146922843605948,0.0,0.45877734812920407
34,train,256,0.0002974414451200471,3.8875004667872273,0.2923147158505136,0.38064933745315793,0.3146922843605948,0.0,0.45877734812920407
34,val,overall,0.0002974414451200471,3.754173142569406,0.3116945539202009,0.3970696585518973,0.33744424475090845,0.0,0.5646494305323041
34,val,256,0.0002974414451200471,3.754173142569406,0.3116945539202009,0.3970696585518973,0.33744424475090845,0.0,0.5646494305323041
35,train,overall,0.0002972148338578423,3.880021934552043,0.293312079569684,0.3814870244718988,0.315817685004307,0.0,0.4586830310222814
35,train,256,0.0002972148338578423,3.880021934552043,0.293312079569684,0.3814870244718988,0.315817685004307,0.0,0.4586830310222814
35,val,overall,0.0002972148338578423,3.7195972076484134,0.31622302372540745,0.4015138415353639,0.3428125535803182,0.0,0.5561135912698413
35,val,256,0.0002972148338578423,3.7195972076484134,0.31622302372540745,0.4015138415353639,0.3428125535803182,0.0,0.5561135912698413
36,train,overall,0.00029697870248031897,3.874318698061956,0.2940519461450021,0.38211998370196254,0.31662838515144826,0.0,0.458103881288537
36,train,256,0.00029697870248031897,3.874318698061956,0.2940519461450021,0.38211998370196254,0.31662838515144826,0.0,0.458103881288537
36,val,overall,0.00029697870248031897,3.713181721312659,0.3181211682302611,0.40261332211749895,0.3442795771573271,0.0,0.5460407317630829
36,val,256,0.00029697870248031897,3.713181721312659,0.3181211682302611,0.40261332211749895,0.3442795771573271,0.0,0.5460407317630829
37,train,overall,0.0002967330663097039,3.868944759326131,0.2950766798893967,0.3828294147557742,0.31765076504694506,0.0,0.4564524287065583
37,train,256,0.0002967330663097039,3.868944759326131,0.2950766798893967,0.3828294147557742,0.31765076504694506,0.0,0.4564524287065583
37,val,overall,0.0002967330663097039,3.7524086790425435,0.3129520719604833,0.39832209050655365,0.3383571079799107,0.0,0.5617431156218998
37,val,256,0.0002967330663097039,3.7524086790425435,0.3129520719604833,0.39832209050655365,0.3383571079799107,0.0,0.5617431156218998
38,train,overall,0.00029647794128497614,3.86436420064336,0.2959825729308107,0.3834734861091648,0.3186988727661526,0.0,0.45513910541619956
38,train,256,0.00029647794128497614,3.86436420064336,0.2959825729308107,0.3834734861091648,0.3186988727661526,0.0,0.45513910541619956
38,val,overall,0.00029647794128497614,3.7330712165151323,0.3144015355833939,0.39924112973468645,0.33993469710860935,0.0,0.5614438738141742
38,val,256,0.00029647794128497614,3.7330712165151323,0.3144015355833939,0.39924112973468645,0.33993469710860935,0.0,0.5614438738141742
39,train,overall,0.00029621334396083294,3.8553599840856987,0.2969877098440589,0.3845674660173767,0.3197744053040919,0.0,0.45346208923066145
39,train,256,0.00029621334396083294,3.8553599840856987,0.2969877098440589,0.3845674660173767,0.3197744053040919,0.0,0.45346208923066145
39,val,overall,0.00029621334396083294,3.738034814596176,0.31394849504743305,0.39682818204164505,0.33855862117239405,0.0,0.5595347086588542
39,val,256,0.00029621334396083294,3.738034814596176,0.31394849504743305,0.39682818204164505,0.33855862117239405,0.0,0.5595347086588542
40,train,overall,0.00029593929150661545,3.8476002291179023,0.29816314284042394,0.3854931750639672,0.3210395573233275,0.0,0.4523594056544283
