epoch,split,lr,loss,balanced_loss,raw_loss,masked_loss,unmasked_loss,jigsaw_loss,coverage_loss,masked_loss_norm,unmasked_loss_norm,jigsaw_loss_norm,coverage_loss_norm,peak_weight_mean,jigsaw_token_accuracy,mask_ratio
1,train,2.9999999999999997e-05,1.4413250631281078,1.4413250631281078,5.220127552614084,0.030976048459804246,0.027377876505305813,5.186413720049666,0.0,0.420389528899984,0.3526344983567037,0.9856720817997852,0.0,1.0759561211538957,0.02913472128221807,0.3984090351737668
1,val,2.9999999999999997e-05,1.368680709174701,1.368680709174701,5.021450596196311,0.004235589506736558,0.0006976703942720113,5.017145242009844,0.0,0.3758925521480186,0.0841707946466548,0.9843710873808179,0.0,1.0770117065736227,0.047927826177328825,0.40253073083502905
2,train,5.9999999999999995e-05,1.9359649318216092,1.9359649318216092,4.972152765556301,0.006113225636970369,0.0031057516407355197,4.9657289629025305,0.0,0.8674136173030186,0.7598509837960983,0.9925662158850597,0.0,1.0759732300925149,0.045637149564220235,0.39883775922215037
2,val,5.9999999999999995e-05,1.4860830413443702,1.4860830413443702,4.875217429229191,0.003064650728317377,0.00017510942130424416,4.872135264532907,0.0,0.49099234198885305,0.06280681916645595,0.9888100102543831,0.0,1.0770117065736227,0.061565187227513106,0.40253073083502905
3,train,8.999999999999999e-05,1.9715993030188863,1.9715993030188863,4.851631876599094,0.003928108176325068,0.0017834876433240393,4.847525419141145,0.0,0.8919231953107722,0.8438047860235377,0.995295626165621,0.0,1.0759967768673404,0.057544479021309734,0.4005830910708338
3,val,8.999999999999999e-05,1.6661288610526495,1.6661288610526495,4.788793683052063,0.0026128412053887068,0.00011935194522396029,4.786168898854937,0.0,0.6650432449366365,0.08703803124704532,0.9923818047557559,0.0,1.0770117065736227,0.07545904123357364,0.40253073083502905
4,train,0.00011999999999999999,1.9195775793272283,1.9195775793272283,4.784515524124351,0.0024320526195234816,0.0005075270762262999,4.782032724987766,0.0,0.8551490548747538,0.66826727652229,0.9976017916149088,0.0,1.0759767283238637,0.06671252058225897,0.4004830262318855
4,val,0.00011999999999999999,2.148720898798534,2.148720898798534,4.720913759299687,0.002420567568541238,4.5225326175568625e-05,4.7184886421476095,0.0,1.1447910629212856,0.14846133267773048,0.9890837094613484,0.0,1.0770117065736227,0.08561570303780693,0.40253073083502905
5,train,0.00015,2.0482474667074433,2.0482474667074433,4.733730579170945,0.0019756691342933865,0.00011757749719195478,4.73174315183152,0.0,0.9756188821632231,0.7494251038461522,0.9976860616239197,0.0,1.075970565257051,0.07458151232100388,0.4003759546397513
5,val,0.00015,2.1764792927673886,2.1764792927673886,4.69403258391789,0.002346407803997863,3.33567973029858e-05,4.6916828240667074,0.0,1.1485180024589812,0.3408695491296904,0.9938743274126735,0.0,1.0770117065736227,0.0940177251717874,0.40253073083502905
6,train,0.00017999999999999998,2.002182922555727,2.002182922555727,4.700600713892368,0.0016783673147620808,5.771200303896644e-05,4.698916576368392,0.0,0.9200657429716512,0.8358070489537021,0.9985364745016055,0.0,1.0759736561454465,0.08052832085321837,0.3998018410975623
6,val,0.00017999999999999998,2.492601271186556,2.492601271186556,4.672576895781925,0.0021950623288700755,1.5597144007577818e-05,4.670380277293069,0.0,1.4631609501583236,0.3346841718469347,0.9959719085267612,0.0,1.0770117065736227,0.09925639443099499,0.40253073083502905
7,train,0.00020999999999999998,2.0454519949686367,2.0454519949686367,4.675156253335722,0.0016306409619606596,3.372393161198855e-05,4.6735222328938715,0.0,0.959298616032964,0.8716984332409675,0.998983533927678,0.0,1.0759956900848937,0.08656150921176901,0.4002040708813432
7,val,0.00020999999999999998,2.5449798788343156,2.5449798788343156,4.648266613483429,0.0020441272728411214,8.121921747975388e-06,4.6462216803005765,0.0,1.5185554048844747,0.31011882051825523,0.9954125934413501,0.0,1.0770117065736227,0.1055361128279141,0.40253073083502905
8,train,0.00023999999999999998,2.0928034242493156,2.0928034242493156,4.654607013736605,0.0015952029245103721,2.1104648390003363e-05,4.65300970547937,0.0,1.0009623582854934,0.928329699777167,0.9990080832900488,0.0,1.0759573928978412,0.09217356863711447,0.3963251909065674
8,val,0.00023999999999999998,2.245287754705974,2.245287754705974,4.621661186218262,0.0018386264658017484,7.833970349630753e-06,4.6198217783655435,0.0,1.2097890456872327,0.41265605336853434,0.9942330994776317,0.0,1.0770117065736227,0.11165049725345202,0.40253073083502905
9,train,0.00027,2.0704489732537033,2.0704489732537033,4.641258306032873,0.0015296744500629337,1.665202259243207e-05,4.639726978780978,0.0,0.9781356568828292,0.9303416248928805,0.9992791539885003,0.0,1.0759784138256123,0.09556717809807559,0.4000168599088096
9,val,0.00027,2.2615059465169907,2.2615059465169907,4.62028752054487,0.0018304597282881982,6.276574116067682e-06,4.618456448827471,0.0,1.2193969248660974,0.44905313530138563,0.997203699180058,0.0,1.0770117065736227,0.11346193349787168,0.40253073083502905
10,train,0.0003,2.0366528333569858,2.0366528333569858,4.628044573180879,0.0013714503810632423,1.2793935679695141e-05,4.62667185736344,0.0,0.9433282564306473,0.9390910142205756,0.9994154719493848,0.0,1.0759847180191178,0.09889950599905621,0.40065950810107415
10,val,0.0003,2.3597242385149,2.3597242385149,4.601146510669163,0.001545530671137385,7.050442060777381e-06,4.5996003065790445,0.0,1.2980248555541039,0.6592329059328351,0.9957760806594577,0.0,1.0770117065736227,0.11861440871975251,0.40253073083502905
11,train,0.0003,2.1060383041877917,2.1060383041877917,4.615804417785507,0.0014328701004507063,9.69261149122448e-06,4.614370562035941,0.0,1.0100521095130475,0.9626483238331406,0.999721359511662,0.0,1.075947623081806,0.10241235298158877,0.4004368256827641
11,val,0.0003,1.9944882839918137,1.9944882839918137,4.5937990631376,0.0012832665805555215,3.2529778357976672e-06,4.5925154600824625,0.0,0.9632048159837723,0.357815828706537,0.9955018843923297,0.0,1.0770117065736227,0.12126613807465349,0.40253073083502905
12,train,0.0002999951495796209,2.0798596598107717,2.0798596598107717,4.606402025094481,0.0013388680493054,8.483675241214798e-06,4.605062309401987,0.0,0.9807392273248579,0.9960660803478395,0.9995138244244015,0.0,1.0759557122072296,0.10515915398640482,0.4012695313034571
