row,r2_full,r2_metabolites_only,r2_envelope_only,n_metabolites_used,r2_unconstrained_upper_bound,metabolite_signal_frac
26,0.513254727008474,0.48133240755248463,0.14040520943718038,31,0.5650713683479072,0.29782337075202076
159,0.5429098337306215,0.5030690779139986,0.1685673725008796,40,0.596837840639648,0.18621581933998035
213,0.4805328094917416,0.4637783449337194,0.1214772529705529,40,0.5230564370217565,0.3094053515995187
324,0.303529059950148,0.28574662203924106,0.08260158907706805,38,0.345839088690446,0.19058217463000524
394,0.49377563805313907,0.4745239788835547,0.11384760126246529,41,0.5416432552709489,0.2500253266854072
725,0.663274057107115,0.3777411483774683,0.652005359669785,30,0.7203404446611728,0.13949382908129415
777,0.3226390371102593,0.17448519360364545,0.3062823589304745,42,0.3456496599284561,0.16392933437933854
862,0.4577032187457889,0.256134440238025,0.44829210072217507,39,0.48455694541491356,0.12220429674742707
1689,0.6642600238115212,0.3878448796270777,0.6554169928080293,38,0.7213293020739866,0.11728210592955411
1697,0.48489893681075247,0.3341395944379556,0.34150921467609796,38,0.581671433578143,0.4466549222437502
2599,0.4034442639966027,0.2983004375468543,0.283086710134708,35,0.48377735062076166,0.47764169246923355
2676,0.4420232933302901,0.32944650879534776,0.2716224911096362,38,0.5574981137206874,0.4877240165129116
2897,0.44681348002514476,0.24979092807796544,0.3532875854881583,40,0.5187909706222582,0.4156203258623157
2965,0.38127221400253075,0.28410622494212145,0.2630404087673368,28,0.4537267257580382,0.5020352519693478
3805,0.4431314116676296,0.24797553825951368,0.35455619546724093,38,0.5108290062042311,0.3726027972593063
4087,0.33288086158582864,0.20703827591735458,0.29654323836101504,41,0.3606133514286055,0.33717048777967307
4651,0.4220777607829954,0.22778053149554145,0.3524281899921615,37,0.47251699298120076,0.402665070775642
4856,0.4526042384401612,0.28878593655788876,0.41902530586960085,41,0.48195415844045053,0.2508184030461243
4923,0.3775625612773562,0.3350241400312962,0.19002145379757107,39,0.49708869818411927,0.5964835817109622
5233,0.30229568648220184,0.2653991785411304,0.1545219390630027,28,0.3809706026342464,0.6528576776648054
5244,0.4638909031041626,0.3308338557942878,0.309158696735531,40,0.5660738627631265,0.48435570055242294
5353,0.4231948199166957,0.28732059044664926,0.31521410812090156,38,0.49446209974045996,0.4688084464340705
5402,0.39154690210264176,0.30004168007951204,0.24530301186829517,34,0.493097589705321,0.5523544996441399
5850,0.3932637429644763,0.28687750453815364,0.27634767335311095,38,0.46584002534989655,0.5081555685119574
6099,0.3713471714244324,0.20948063045817766,0.3165926355051748,41,0.4084253989034623,0.43153203164005177
6135,0.5607473854521468,0.20621129850896658,0.5050477072451647,38,0.6046749252940363,0.28089402722913925
6261,0.41987050325727093,0.31356265281831563,0.25384972559624164,31,0.5278654908114684,0.5039626067000161
6475,0.4345513814097506,0.22978128654862573,0.3696301386929751,37,0.48290145970235454,0.37673976163002726
7036,0.5045822804096463,0.3419197922636119,0.492778449591353,36,0.5380038731688387,0.15410446602776778
7048,0.620040685679482,0.3799213604957943,0.6116360507667538,37,0.6692167005142767,0.13386182262789487
7388,0.4723190226956785,0.27657466580595713,0.4660218304121755,35,0.5005256123867708,0.13947277352616524
7839,0.34142841279856806,0.21631412548448326,0.3283883993319032,38,0.35820475283563435,0.19380055293387127
7874,0.334257436632311,0.1889048392339946,0.32785942074144925,33,0.3515256348261411,0.15428862870192397
8178,0.549251592245531,0.33615633560197833,0.5374216184932654,38,0.5878316389934757,0.18534567209271055
8192,0.35778588513248377,0.21029410831792528,0.3397563594315218,41,0.3752633424806594,0.20271643751484641
8279,0.3628870731445214,0.19526857944068388,0.3496338606590469,39,0.3837136009963523,0.20194136196926918
8341,0.8091719968149389,0.7796869189309777,0.11927011187452174,39,0.8195859694550285,0.2986376158140858
8800,0.6487732853965442,0.35934773143130805,0.628526224079805,32,0.7079998497148765,0.1585218848542569
9023,0.6188606728741718,0.40759773736310234,0.607831693291589,39,0.6600738860534585,0.12506103407962782
9362,0.5364402250572617,0.4132225769499227,0.49643189065604,42,0.5794406904819763,0.1929163603492086
