row_index,input_min,input_max,input_range,constant_row
0,-0.00041846142709817173,0.009271640789349042,0.009690102216447213,False
1,-0.000532404682542247,0.010836851365067079,0.011369256047609326,False
2,-2.335158718426053e-05,0.08960475658421121,0.08962810817139548,False
3,-4.746351416668177e-06,0.005810917659031254,0.005815664010447922,False
4,-8.466263225584774e-05,0.11446068289053914,0.11454534552279498,False
5,-5.928520927539656e-06,0.006551125122679321,0.006557053643606861,False
6,-3.100988805837098e-06,0.0025869847815427945,0.0025900857703486315,False
7,-0.0006821295374972287,0.007379727004452833,0.008061856541950062,False
8,-0.00038517994291219194,0.006466441456906619,0.006851621399818811,False
9,-0.000838904932136474,0.01120552302201521,0.012044427954151683,False
10,-0.00048419172415725063,0.005966388582358157,0.006450580306515408,False
11,-0.00023500902393730152,0.006632909119360234,0.006867918143297535,False
12,-5.44752390983811e-05,0.0325592399126421,0.032613715151740476,False
13,-0.0018090182992591326,0.03281358805175851,0.034622606351017646,False
14,-4.5575845816221895e-05,0.10566934875477049,0.10571492460058672,False
15,-0.0046371781043642105,0.045287048248135064,0.049924226352499275,False
16,-0.00046898319178909314,0.0172262545698645,0.017695237761653593,False
17,-0.00023553752985286877,0.06238444399124087,0.06261998152109374,False
18,-0.00016586579381253292,0.058122014519307166,0.0582878803131197,False
19,-8.430512992345272e-05,0.20030955544188397,0.20039386057180741,False
20,-0.00013159134408453638,0.0626957791503914,0.06282737049447594,False
21,-0.002152803397031288,0.060480499518537574,0.06263330291556886,False
22,-4.889373815015928e-06,0.007764276310320576,0.007769165684135592,False
23,-0.0002312679802028369,0.09008532554848679,0.09031659352868963,False
24,-4.748188075903961e-05,0.07375067281840879,0.07379815469916783,False
25,-0.0014416133497411566,0.006635015505862788,0.008076628855603944,False
26,-0.0007975467050805057,0.039024482055384085,0.03982202876046459,False
27,-4.0723701772131633e-05,0.007725734082740175,0.007766457784512307,False
28,-8.655217143602404e-05,0.008087199228986538,0.008173751400422561,False
29,-1.0101580217032506e-05,0.020508727769407185,0.020518829349624217,False
30,-6.97779901174974e-05,0.06010813320266851,0.060177911192786,False
31,-0.00010968417435218577,0.060276325305923195,0.06038600948027538,False
32,-8.19147510178358e-05,0.06819973900549979,0.06828165375651762,False
33,-0.00025823036584667145,0.20197924280030016,0.20223747316614685,False
34,-0.002343253830491953,0.04577196423793363,0.048115218068425586,False
35,-0.0036754217976717575,0.045129649879334044,0.048805071677005804,False
36,-0.00010851584805166092,0.007262915933024027,0.007371431781075688,False
37,-0.00025939506899347754,0.26102627829610403,0.2612856733650975,False
38,-0.0001902973595723262,0.014327023046005591,0.014517320405577917,False
39,-0.0003028712134957909,0.07775911775753876,0.07806198897103454,False
40,-0.0013876323217678745,0.09004211372429673,0.0914297460460646,False
41,-2.35273150579725e-05,0.09356322338186936,0.09358675069692733,False
42,-0.00021124505860650413,0.10118667355464343,0.10139791861324994,False
43,-7.595314007464718e-06,0.05083148582103119,0.050839081135038655,False
44,-0.0001658761933984744,0.16411140438803987,0.16427728058143834,False
45,-4.8753573987181114e-05,0.0789909673974081,0.07903972097139528,False
46,-0.00014871254871036426,0.128846581082134,0.1289952936308444,False
47,-5.455750582248387e-05,0.06708973456246274,0.06714429206828522,False
48,-0.0001166302205038349,0.08048976027878736,0.08060639049929119,False
49,-6.932873039563499e-05,0.09700436524481457,0.0970736939752102,False
50,-6.982518874655071e-05,0.06153082272800582,0.06160064791675237,False
51,-0.001280800411572033,0.12624949066448587,0.1275302910760579,False
52,-4.091658267875201e-05,1.0,1.0000409165826787,False
53,-0.0026122822542305334,0.03727153133096706,0.039883813585197596,False
54,-0.000342478676795374,0.06592594574639271,0.06626842442318809,False
55,-0.00014191782975865757,0.09584439502049041,0.09598631285024907,False
56,-0.0015652719725709723,0.4143782433438022,0.41594351531637314,False
57,-6.685197919093843e-05,0.10477981124082371,0.10484666322001465,False
58,-0.00017183967703000605,0.003849588746069476,0.004021428423099482,False
