peak_id,point_index,ppm,reference_prominence,tolerance_points,detection_rate,mean_abs_shift,frac_shift_at_edge
0,41535,,0.0149323967967028,300,0.5100310237849017,8.89213300892133,0.0
1,62172,,0.0101923482505299,300,0.6417786970010341,69.99291008701258,0.010796003867225266
2,69915,,0.0069863248036546,300,0.6236814891416753,42.28801193831869,0.00497429945282706
3,69987,,0.0153434270981743,300,0.7399172699069286,34.565199161425575,0.0
4,70058,,0.004723877538669,300,0.8841778697001034,73.7106432748538,0.0005847953216374269
5,70351,,0.0075032247917094,300,0.8921406411582213,39.54480120551756,0.0
6,71153,,0.0037694908339629,300,0.9132368148914167,39.98063639451931,0.0
7,71285,,0.0242023867985194,300,0.9167528438469493,18.78680203045685,0.0
8,71412,,0.051079678998483,300,0.9139607032057911,12.188504186467526,0.0
9,71658,,0.0181501322854405,300,0.9101344364012409,15.06533348483127,0.0
10,71773,,0.0778378730005079,300,0.8974146845915202,7.955519705001152,0.0
11,71880,,0.0099988470881172,300,0.8979317476732162,10.442588966946907,0.0
12,74024,,0.0228551904676017,300,0.9198552223371251,74.29848229342328,0.0
13,74127,,0.0391984412778711,300,0.9167528438469493,88.47061477721377,0.0
14,74213,,0.0099849609126249,300,0.8957600827300931,51.15319787577926,0.003117063033941353
15,74281,,0.007816395251471,300,0.8429162357807652,38.95055821371611,0.0
16,74423,,0.0071066058878353,300,0.6709410548086867,15.99768803945746,0.0
17,74503,,0.030050971202485,300,0.6201654601861427,23.155744538936133,0.0
18,74592,,0.0176551834500173,300,0.7992761116856256,55.10104800103506,0.0
19,74700,,0.0111479258801916,300,0.9345398138572906,56.40345247316587,0.0
20,74884,,0.0105729542303821,300,0.957187176835574,35.94436041486603,0.0
21,74977,,0.0039921798674383,300,0.9806618407445709,33.45597384793842,0.0
22,75292,,0.0046647037357534,300,0.7382626680455016,125.7089228183219,0.0
23,75543,,0.0401388272093674,300,0.8174767321613237,46.88247944339026,0.0
24,75638,,0.0298465304675892,300,0.7308169596690797,28.127069477854818,0.0
25,75739,,0.1330592567809236,300,0.7511892450879007,22.721640969162994,0.0
26,75799,,0.0067109946962677,300,0.7890382626680456,63.25923984272608,0.0009174311926605505
27,76148,,0.0203144636855316,300,0.958841778697001,34.39969801553063,0.0
28,76323,,0.0692611010628153,300,0.8444674250258531,28.50122458976243,0.0
29,76522,,0.0444047580825368,300,0.6670113753877973,34.62093023255814,0.0001550387596899225
30,76701,,0.0218877322290012,300,0.6174767321613237,18.124434768045553,0.0
31,76982,,0.0115737867229826,300,0.6473629782833505,15.166453674121406,0.0
32,79213,,0.0405602770616291,300,0.8161323681489142,49.59465281297516,0.0
33,79580,,0.0041541271275697,300,0.7099276111685625,25.53634377276038,0.000582665695557174
34,80130,,0.0907835752817897,300,0.9107549120992761,27.630407630294084,0.0009083683433632338
35,80785,,0.0096421293490617,300,0.981799379524302,50.10954286918054,0.0
36,80874,,0.0067180968436887,300,0.9021716649431231,42.647753324163226,0.00022925263640531865
37,81368,,0.0062224108256788,300,0.9490175801447777,85.57066579492209,0.00010896807235480004
38,82311,,0.0111189718052392,300,0.9944157187176835,40.27672628951747,0.0003119800332778702
39,82905,,0.0104847553158267,300,0.9765253360910031,56.22503441702849,0.0
40,83301,,0.0040429399527881,300,0.7053774560496381,93.43439378390265,0.0011728485559302155
41,83536,,0.035411426153018,300,0.8773526370217166,30.845827439886847,0.0
42,86488,,0.0052596448273506,300,0.6865563598759049,41.963849977406234,0.00015062509414068384
43,87169,,0.0145165178524637,300,0.9300930713547053,99.1698910384701,0.0
44,87250,,0.0220141649983563,300,0.9110651499482937,95.62406356413167,0.0
45,88156,,0.111022603157924,300,0.6883143743536712,33.75450721153846,0.00015024038461538462
46,88229,,0.0413530472019237,300,0.7634953464322647,31.823784369497496,0.0
47,88473,,0.0075364827343815,300,0.5164426059979318,54.76752102523027,0.0
48,88600,,0.0074836977471703,300,0.4014477766287487,52.99639361154044,0.0
49,88672,,0.0062961136539471,300,0.1953464322647363,48.09899417681313,0.0005293806246691371
50,90037,,0.0176733773847738,300,0.91923474663909,83.79626504668691,0.0006749915626054674
51,90116,,0.0149473756616613,300,0.8941054808686659,84.59530418690724,0.0
52,90249,,0.0041591797685159,300,0.8493278179937952,101.03311822720077,0.00048703275295263604
53,90383,,0.0186983313079319,300,0.6464322647362978,19.477523596224604,0.0
54,90460,,0.0185031326429634,300,0.7982419855222337,17.00285011011789,0.0
55,90607,,0.0129464867402606,300,0.5809720785935885,17.92559629761481,0.0
56,90675,,0.0072424522002558,300,0.5111685625646328,12.03135747521748,0.0
57,90756,,0.0056220759440326,300,0.45418821096173734,30.739298724954462,0.0009107468123861566
58,91158,,0.0294854084326144,300,0.5874870734229576,62.7099102270727,0.0
59,97048,,0.0449038557044866,300,0.5760082730093071,29.213285457809693,0.00017953321364452425
