feature_group,feature_name,classifier,episode,n_train,n_test,status,error,accuracy,macro_f1,macro_precision,macro_recall
foundation_backbone,mae_flatten,svm,1,18,24,ok,,0.5416666666666666,0.49883597883597885,0.587121212121212,0.6851851851851851
foundation_backbone,mae_flatten,logreg,1,18,24,ok,,0.5416666666666666,0.49883597883597885,0.587121212121212,0.6851851851851851
foundation_backbone,mae_flatten,xgboost,1,18,24,ok,,0.5833333333333334,0.5255026455026455,0.6174242424242424,0.708994708994709
foundation_backbone,mae_flatten,svm,2,18,24,ok,,0.7083333333333334,0.6289428815004262,0.6772486772486772,0.8201058201058201
foundation_backbone,mae_flatten,logreg,2,18,24,ok,,0.75,0.6589635854341737,0.6888888888888888,0.8439153439153438
foundation_backbone,mae_flatten,xgboost,2,18,24,ok,,0.7083333333333334,0.625,0.6809523809523809,0.8068783068783069
foundation_backbone,mae_flatten,svm,3,18,24,ok,,0.5833333333333334,0.5079365079365079,0.5529914529914529,0.6957671957671957
foundation_backbone,mae_flatten,logreg,3,18,24,ok,,0.5833333333333334,0.5158730158730159,0.5476190476190477,0.6957671957671957
foundation_backbone,mae_flatten,xgboost,3,18,24,ok,,0.5833333333333334,0.5158730158730159,0.5476190476190477,0.6957671957671957
foundation_backbone,mae_flatten,svm,4,18,24,ok,,0.4583333333333333,0.44516594516594515,0.5719696969696969,0.6375661375661376
foundation_backbone,mae_flatten,logreg,4,18,24,ok,,0.5416666666666666,0.49883597883597885,0.587121212121212,0.6851851851851851
foundation_backbone,mae_flatten,xgboost,4,18,24,ok,,0.625,0.5547619047619047,0.6703703703703704,0.7328042328042329
foundation_backbone,mae_flatten,svm,5,18,24,ok,,0.625,0.5662337662337662,0.5741758241758242,0.7724867724867724
foundation_backbone,mae_flatten,logreg,5,18,24,ok,,0.5833333333333334,0.5202020202020202,0.5495726495726496,0.7486772486772487
foundation_backbone,mae_flatten,xgboost,5,18,24,ok,,0.625,0.5511695906432749,0.6142857142857142,0.7592592592592592
foundation_backbone,mae_flatten,svm,6,18,24,ok,,0.5416666666666666,0.4473684210526316,0.5444444444444444,0.41534391534391535
foundation_backbone,mae_flatten,logreg,6,18,24,ok,,0.6666666666666666,0.5880610617452723,0.6138888888888889,0.7962962962962963
foundation_backbone,mae_flatten,xgboost,6,18,24,ok,,0.5833333333333334,0.5202020202020202,0.5495726495726496,0.7486772486772487
foundation_backbone,mae_flatten,svm,7,18,24,ok,,0.7083333333333334,0.6296296296296297,0.7083333333333334,0.8333333333333334
foundation_backbone,mae_flatten,logreg,7,18,24,ok,,0.75,0.6590909090909091,0.7142857142857143,0.8571428571428571
foundation_backbone,mae_flatten,xgboost,7,18,24,ok,,0.75,0.6534518113465482,0.688888888888889,0.8571428571428571
foundation_backbone,mae_flatten,svm,8,18,24,ok,,0.5416666666666666,0.4473684210526316,0.5444444444444444,0.41534391534391535
foundation_backbone,mae_flatten,logreg,8,18,24,ok,,0.5833333333333334,0.4484848484848485,0.49242424242424243,0.43915343915343913
foundation_backbone,mae_flatten,xgboost,8,18,24,ok,,0.625,0.46956521739130436,0.5016835016835017,0.46296296296296297
foundation_backbone,mae_flatten,svm,9,18,24,ok,,0.5416666666666666,0.4876775271512113,0.5190476190476191,0.7116402116402116
foundation_backbone,mae_flatten,logreg,9,18,24,ok,,0.5833333333333334,0.5244107744107743,0.5568783068783069,0.7354497354497355
foundation_backbone,mae_flatten,xgboost,9,18,24,ok,,0.5416666666666666,0.4911863735393147,0.5416666666666666,0.6984126984126985
foundation_backbone,mae_flatten,svm,10,18,24,ok,,0.5833333333333334,0.468954248366013,0.525,0.4259259259259259
foundation_backbone,mae_flatten,logreg,10,18,24,ok,,0.5416666666666666,0.41952707856598015,0.45555555555555555,0.4021164021164021
foundation_backbone,mae_flatten,xgboost,10,18,24,ok,,0.75,0.5535714285714285,0.5952380952380952,0.5211640211640212
foundation_backbone,mae_flatten,svm,11,18,24,ok,,0.6666666666666666,0.5185185185185185,0.562962962962963,0.48677248677248675
foundation_backbone,mae_flatten,logreg,11,18,24,ok,,0.7083333333333334,0.5362962962962963,0.5690235690235691,0.5105820105820106
foundation_backbone,mae_flatten,xgboost,11,18,24,ok,,0.75,0.5803921568627451,0.6363636363636364,0.5343915343915344
foundation_backbone,mae_flatten,svm,12,18,24,ok,,0.625,0.5444862155388471,0.6309523809523809,0.7857142857142857
foundation_backbone,mae_flatten,logreg,12,18,24,ok,,0.6666666666666666,0.5898635477582846,0.6749999999999999,0.8095238095238096
