dataset,n_samples,family,model,fine_tune_mode,support_per_class,n_episodes,mean,std,se
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,6,10,0.6183823529411765,0.09323073224443086,0.02948214618177035
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,7,10,0.6183035714285714,0.13465823061784696,0.04258267144406191
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,8,10,0.6183333333333334,0.09377211673276449,0.029653346989072262
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,9,10,0.6342857142857142,0.0673266649893941,0.02129056086296015
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,10,10,0.7,0.1548975823326232,0.04898291642245466
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,11,10,0.825,0.11419335995052479,0.0361111111111111
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,12,10,0.7068181818181818,0.17157042154767213,0.05425533112058751
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_3,2,10,0.5505952380952381,0.08405067293640928,0.026579156534892602
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_3,3,10,0.5527272727272727,0.0727414758858355,0.023002874416145448
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_3,4,10,0.5865789473684211,0.08803845448171196,0.027840203784326847
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_3,5,10,0.6194444444444444,0.1283334669445085,0.04058260555705764
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_3,6,10,0.6183823529411765,0.06720783095242887,0.02125298224092387
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_3,7,10,0.6075892857142857,0.11370936797663711,0.035958059410438524
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_3,8,10,0.6133333333333333,0.0804309380926838,0.025434495871687987
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_3,9,10,0.6435714285714286,0.058752140888285224,0.018579058261808955
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_3,10,10,0.6836538461538461,0.15104623624319385,0.04776501385243673
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_3,11,10,0.8375,0.10290907529357063,0.03254270698294441
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_3,12,10,0.7113636363636364,0.21240511304521426,0.06716839438884202
Barth,37,masking,mask_metabolights,frozen,2,10,0.6559523809523811,0.09547754290562016,0.030192650097821055
Barth,37,masking,mask_metabolights,frozen,3,10,0.6043181818181818,0.10840191726048205,0.03427969612722434
Barth,37,masking,mask_metabolights,frozen,4,10,0.6571052631578949,0.12349462887524366,0.039052430604296785
Barth,37,masking,mask_metabolights,frozen,5,10,0.6166666666666666,0.10940041102031058,0.03459544757827667
Barth,37,masking,mask_metabolights,frozen,6,10,0.6808823529411765,0.09443115676478508,0.029861753746113797
Barth,37,masking,mask_metabolights,frozen,7,10,0.6477678571428572,0.08102811802000558,0.02562334074601505
Barth,37,masking,mask_metabolights,frozen,8,10,0.655,0.07245688373094718,0.022912878474779193
Barth,37,masking,mask_metabolights,frozen,9,10,0.7064285714285715,0.0895598964754278,0.028321325987123808
Barth,37,masking,mask_metabolights,frozen,10,10,0.6884615384615385,0.13986997343052449,0.04423076923076923
Barth,37,masking,mask_metabolights,frozen,11,10,0.8,0.1343709624716425,0.04249182927993988
Barth,37,masking,mask_metabolights,frozen,12,10,0.6590909090909091,0.15151515151515152,0.04791329788133908
Barth,37,masking,mask_metabolights,unfreeze_last_1,2,10,0.6529761904761906,0.09900972578464001,0.031309624398816426
Barth,37,masking,mask_metabolights,unfreeze_last_1,3,10,0.5952272727272727,0.12483896881945357,0.039477548221621486
Barth,37,masking,mask_metabolights,unfreeze_last_1,4,10,0.6778947368421053,0.10948549194081242,0.034622352527697624
Barth,37,masking,mask_metabolights,unfreeze_last_1,5,10,0.6416666666666666,0.1091257816191562,0.03450860213626708
Barth,37,masking,mask_metabolights,unfreeze_last_1,6,10,0.6588235294117648,0.08514820176008288,0.026926225622941995
Barth,37,masking,mask_metabolights,unfreeze_last_1,7,10,0.6334821428571429,0.10466399137845761,0.03309766017601523
