glucose,L-lactate,L-alanine,L-valine,L-isoleucine,L-leucine,L-glutamine,L-glutamate,glycine,citrate,creatine,creatinine,pyruvate,acetate,3-hydroxybutyrate,2-hydroxybutyrate,formate,L-histidine,L-phenylalanine,L-tyrosine,L-threonine,L-proline,L-lysine,L-methionine,taurine,choline,betaine,myo-inositol,succinate,L-asparagine,L-aspartate,L-arginine,L-serine,L-tryptophan,L-ornithine,trimethylamine,TMAO,dimethylglycine,sarcosine,glycerol,L-citrulline,L-carnitine,glutathione,row
3.3406679030199836e-36,0.0020701339141930945,7.02572036493694e-06,2.960454611761103e-11,0.0008421891564996507,4.008739349240498e-09,5.063636548235892e-25,2.8195314075313282e-11,3.061464652791734e-07,0.004766469838204268,3.593285957516695e-09,1.9091600884080767e-09,0.00018125194667003737,5.6281573864717586e-12,0.00014681652827203397,0.0010691293085964583,6.255155453377389e-05,3.598195296978271e-10,2.5557326368856815e-08,2.6535954050701128e-21,0.021623276075451947,1.3696434104375987e-11,1.0013460353460228e-11,0.00015741074230956063,0.008309859545068195,9.955052303565149e-12,0.001360722682418162,1.9110060023516132e-11,5.221982623946908e-07,1.6575811539821223e-11,0.0012268335949888768,1.5017349449779845e-10,9.776212690294656e-14,1.5483956910668258e-07,0.001516036453241187,1.6165656740017835e-08,3.7056169044601456e-07,2.1889470219400197e-10,3.2842826248372846e-13,3.6126966928978884e-10,0.0065913447200524975,3.293663609063029e-11,1.5649399974471599e-15,118
0.010033318610671558,0.0048422546306154755,0.0005578923155370151,1.2397012666088417e-07,0.0038905623306021157,1.6690302115412675e-05,1.2918899657987355e-19,4.028210523824533e-09,9.45606703747339e-07,0.0024721547861268713,3.332934681505121e-08,7.948485346469058e-09,0.0003090863718642724,1.3076704443708591e-08,4.567193104596125e-05,0.001710900827569084,0.00013577845270628717,1.5664914284214925e-09,5.59842764572407e-05,0.00054947007296976,0.04428025043719674,6.464393911829254e-12,3.2902776984334283e-09,0.018611338766728824,0.023117900192917654,1.371743937334112e-10,0.002444941805682068,0.002519429967689699,3.0411047497667492e-06,8.039796019817415e-05,0.0008745019440768946,1.995937260687012e-09,1.9636848474574915e-09,0.0032746583122546767,0.007339321951599935,4.060205531758156e-07,0.004020955116914487,2.2032374614969343e-05,5.701985029503404e-07,0.02023650880518198,0.004568679907016969,4.2058032619184475e-10,4.913343610414425e-10,216
0.009425844262351107,0.012582544170776026,2.393987995769482e-06,6.076299115489058e-08,0.0025870974560470634,1.1469665192957521e-07,7.412247185643772e-13,1.1403434713652283e-11,5.929395189184881e-07,0.002460631291562513,9.394222152633845e-08,6.041631902880748e-17,0.0016385352229097044,0.0003714922222690291,1.363371312759705e-05,0.00014156735828407414,0.00014923554221299404,6.3663635877382806e-09,3.9870053397352305e-05,0.0013945435632469823,0.0332749034789575,1.48252328230428e-09,6.132704687659843e-08,0.020526994691254883,0.017585423202740674,1.129707565389311e-09,1.5923065389241822e-05,0.002206475938955445,5.590157152095921e-06,2.3410810083985197e-07,0.002451087616531034,1.8920466490360184e-07,3.4526339535184255e-10,0.004853621327900773,0.0033988643529579443,6.088207354495953e-07,9.243866014127769e-08,1.3106639400103101e-05,1.3893536195055611e-06,0.018042730873691563,0.017615970463198953,1.8268784398153078e-09,7.280347189076813e-19,299
0.01110710700290003,0.012999427920975885,9.63317469933873e-05,3.0445287311752024e-06,0.003422330693223469,9.77481291522923e-07,2.13354920742169e-25,1.5011678904177362e-08,0.0005683193733399078,0.0001483943112425171,9.295303892030895e-06,5.305049485665217e-06,0.00035984454179868323,6.913235741808007e-08,7.419432867204415e-05,0.0008416827120367794,0.00017922526574231884,7.738566458317877e-08,2.1683207143454613e-05,0.002415318613296959,0.047101303835451906,8.321523349238906e-43,3.482747589465409e-08,0.02910755265086306,0.019562074354409025,3.1036636376404625e-08,9.543377537291233e-05,0.0010209440190521977,4.5274628230218756e-05,1.3793480272176082e-06,9.669130895280077e-10,3.4329217132721204e-08,1.0933983657080834e-08,0.00439810243807519,5.6083708384723776e-05,3.9236984638336755e-06,1.2190279983233318e-06,5.7917384955229255e-06,1.2017258329802947e-05,0.01675107251796971,0.011040587770493134,5.450279758833548e-08,6.99366522574574e-11,486
0.005681475644744371,0.013587102806252437,0.002031155367206939,1.6062780680716656e-07,0.0035486990101393804,0.0001919209553717652,3.653983034907063e-23,1.7244552545553496e-10,0.002793345086487647,0.007184927895270651,1.9638202443860453e-06,7.613902312169877e-07,9.482863707414589e-05,6.31143229489263e-14,0.0014953643132937563,0.0038719529486544433,0.0001030475830660185,2.5125990831457983e-13,8.363515329083625e-09,0.00136600811939753,0.03362255452569416,8.091422766350049e-15,2.302319013456712e-12,0.0031648723316716997,0.024693157373462216,3.626517606218103e-24,6.821561874841611e-07,5.804222988879207e-07,0.00011822162854057033,0.0007680405686786719,0.009600079187344887,2.945642393773946e-14,1.7227744128838749e-12,0.003143284623927586,1.1213432911771009e-05,3.9607311197762413e-07,0.008119891735770941,1.2851451013305536e-07,2.23963286751795e-20,0.002282242760871719,0.002141862662227636,3.578817616548115e-24,8.365898188258323e-16,583
0.0377924079293409,5.761214393088803e-10,0.0003266538839852252,1.9561862581046843e-10,3.015454612209034e-10,3.545343796629004e-10,1.1751426400630617e-09,2.6992187313733643e-09,2.5624809379936876e-07,1.1858252170190566e-06,2.6226599287625725e-06,2.29069042541454e-06,0.00029039451260011467,2.043662070569342e-05,6.319883098314488e-05,0.00016770720481066692,0.000273535591575409,0.0001571196823083524,4.932177137240988e-08,0.00905094859731712,0.04540728598184256,9.056171580082345e-10,4.7277193901167795e-07,0.005406037125097737,0.017869177374559467,0.026529908455653978,3.4033674193853297e-07,0.016738608451224015,0.00012252694883939754,0.03625651141363286,8.489038158705722e-22,7.300085698491254e-05,9.50900362411359e-19,0.0076928040167843865,6.0179961775807807e-05,6.725225525305368e-06,0.03374218867769007,4.608987200618289e-09,1.0873035421645356e-05,0.018168986243895912,2.148052106654647e-10,0.0016072196589076398,0.00768981603024454,681
7.582925451436976e-29,0.018099601087703854,0.003125159727994259,0.0010758473490689565,0.0029750462599406396,0.0022456644979353723,2.7699881742436085e-24,3.122891080813148e-12,7.55443909226004e-09,0.013128704773651828,0.0002548923239901131,1.708140519407173e-05,4.801126091075246e-05,4.291567457424544e-15,0.0041436468028619305,0.006567032245944247,9.709152400056863e-05,7.285986371323103e-11,8.284184031633083e-08,0.0020493882864022345,0.025834091755375207,4.397550895675308e-15,3.285603366285783e-13,1.4560103969404246e-28,0.023254932345508707,6.66375294903993e-13,0.004414206849404728,1.9047634110687796e-13,0.0009330824655947451,0.007243156064579836,0.019195573641247646,7.424382305041697e-15,2.7259027592591834e-13,0.005421332893635252,0.004434370342594451,8.603890486808685e-05,0.012860295683686834,1.662563181337132e-08,1.529764707897536e-12,9.548124493203866e-12,0.005512018031733769,1.887393501440532e-10,1.7311643502883654e-23,756
0.015115775043882748,0.01587317698973324,0.0002893574588127773,9.050525094270436e-06,0.004228250121934264,1.0068054100726854e-05,1.2912719142819024e-10,1.211293284808285e-07,8.233965707306936e-05,2.6282585320353685e-17,0.00012753936686439588,6.32990484436316e-05,0.0007529105823698807,3.768497965694282e-07,0.0002265457024046596,0.0008536333329099424,0.00027039974098576574,9.432225567715121e-07,3.827768140453615e-05,0.001044554966719939,0.054092813595287406,2.0705634223570762e-11,1.912820165691123e-07,0.07682569746113493,0.01752961796572246,2.0748209163441292e-07,0.0017936323831599964,0.002652251725448063,0.0003118609655807884,0.0006266151162356937,0.0010559161997050757,3.3982748832213286e-07,3.641218356007854e-08,0.007773571328976275,0.0007151687117014954,4.0103890744827634e-05,0.0005747464214623627,0.0001423244483777608,5.961306446273162e-06,0.0052897728457888095,0.015809595959631172,2.2708482294793756e-07,4.2732207453493245e-26,842
0.07810235569451256,6.311669457094674e-11,9.746099481520288e-05,2.677938169462291e-12,1.3150733076411985e-20,3.583362985617641e-13,1.8919083207122967e-11,3.3311383485816554e-11,9.113101253188557e-09,0.0005412928840011159,1.0046839516910838e-08,9.647615609715823e-09,0.0002095958760244364,2.448824996747906e-07,1.1826119838412026e-05,9.649500526454664e-10,0.000191812871737871,9.359433597462547e-08,2.2140087798111007e-10,0.017123144044380062,0.01651261282838458,4.19228040867528e-19,6.112287011319038e-10,5.451766996124232e-08,0.038373933084238906,0.004487561477754979,2.534974335695675e-08,7.2083809327226345e-09,2.8070648950232656e-05,0.029134270759540237,4.1857980009613155e-20,0.010557130713156896,8.530050292757609e-12,0.010551330033862992,6.676101932021582e-18,1.697063325209955e-08,1.2933644629413862e-11,2.967066338566514e-11,0.0010467807434184565,0.08301601793828557,1.6404330611949819e-22,2.464752771952339e-06,4.013346446036401e-19,1158
0.11564228700408474,4.893430598541897e-08,0.0021357734450876287,2.4859136979120815e-08,9.977866950632464e-09,4.762087125813454e-09,1.1146333228849909e-08,5.594875625124311e-08,0.0007106909888217054,0.004321869759491815,7.994011275205186e-05,7.306552547882016e-05,0.0003114282783495214,6.308772012775608e-08,0.0017680883990829914,2.2573034140017774e-06,0.0002916696881590701,4.14469516080463e-08,2.7461028060003126e-07,0.007565169606384423,0.055990789065694956,1.966833609223209e-06,6.516346552836301e-08,9.796597943066299e-08,0.0010545879184583175,3.8078535550406523e-16,0.0007362613453938552,4.1609383995375435e-07,0.0007364067242292415,0.035719750699005154,2.5735527012785125e-18,0.0470745292602904,4.239676795876637e-09,6.089917354022447e-08,9.119033896033162e-06,1.221802898198677e-05,6.08246344509702e-07,5.375380310975349e-08,0.00014403803413083003,0.025680973103180793,2.1026445517389965e-30,1.0244507586651534e-08,3.015305782374051e-10,1212
