epoch,split,lr,loss,masked_loss,unmasked_loss,jigsaw_loss,coverage_loss,jigsaw_token_accuracy,mask_ratio
1,train,2.9999999999999997e-05,4.974647190538757,0.055667689187042915,0.07038561444345344,4.911940929601011,0.0,0.07462011772153623,0.3984090351737668
1,val,2.9999999999999997e-05,4.570758853639875,0.0052422098565979725,0.018219610543123314,4.5636946729251315,0.0,0.12494277980710779,0.3999565972813538
2,train,5.9999999999999995e-05,4.521972538644423,0.009870957796182066,0.020131008991879733,4.510088456585803,0.0,0.13362682667548345,0.40043003783632286
2,val,5.9999999999999995e-05,4.373880309717996,0.003075770875771663,0.009711924092178898,4.36983334166663,0.0,0.1559123992919922,0.4008028544485569
3,train,8.999999999999999e-05,4.346624027987767,0.007818381379320883,0.015848293829492124,4.3372208184725505,0.0,0.1593423475732718,0.39830130672775577
3,val,8.999999999999999e-05,4.1999470591545105,0.0025953428828090963,0.00808297169195222,4.196543412549155,0.0,0.18333074769803456,0.40099564833300455
4,train,0.00011999999999999999,4.187396126477708,0.00653479698911777,0.013966624725259206,4.179464660952444,0.0,0.18500067881671836,0.40122573926309835
4,val,0.00011999999999999999,4.073618509939739,0.0020477914991455953,0.00750944869858878,4.070819782359259,0.0,0.20671036121036326,0.39731319355113165
5,train,0.00015,4.063812348874695,0.005864966854937542,0.013432078151191029,4.056604170478513,0.0,0.20729101893613155,0.3999774470724867
5,val,0.00015,3.9544312145028795,0.0018677688848194002,0.0076506680509607706,3.9517983751637593,0.0,0.23108718544244766,0.40416221001318525
6,train,0.00017999999999999998,3.9666615997194707,0.0055938736690133144,0.01284416676853938,3.959783328488269,0.0,0.2256973061059088,0.4002152379318203
6,val,0.00017999999999999998,3.8436038877282823,0.0018473838697121079,0.0067129035596735775,3.841085208313806,0.0,0.250666936061212,0.40246872657111715
7,train,0.00020999999999999998,3.867476836448293,0.005256388411594079,0.011211880641433957,3.86109926133947,0.0,0.24475151033144896,0.3975391063187689
7,val,0.00020999999999999998,3.7658387379986897,0.0019199144880985841,0.005589053550335977,3.763359912804195,0.0,0.2672607483608382,0.4011990986764431
8,train,0.00023999999999999998,3.7664512978540943,0.004969437535635024,0.009661017361644137,3.7605157582749165,0.0,0.2642000480617643,0.39985526730661436
8,val,0.00023999999999999998,3.634132900408336,0.0018611482529584983,0.004624464599016521,3.63180929848126,0.0,0.289275729230472,0.39865402930549215
9,train,0.00027,3.664106563602328,0.004545750576718773,0.008250248062971461,3.6587357863182444,0.0,0.28321247197052823,0.39974228389594585
9,val,0.00027,3.5261110407965526,0.001738353404756968,0.0037610142317134887,3.523996583053044,0.0,0.3107419695172991,0.4016118124127388
10,train,0.0003,3.5703601430884393,0.004159753181608269,0.007194525530904264,3.5654809400105156,0.0,0.30060844931901837,0.4000216770599776
10,val,0.0003,3.4377050740378245,0.0017998348713652895,0.0033632019185461104,3.435568915946143,0.0,0.3290976269968918,0.39780680356281145
11,train,0.0003,3.4872013474793713,0.003775409604485393,0.006331856377138819,3.4827927570171955,0.0,0.3159382499654197,0.4005776170657889
11,val,0.0003,3.3552100615842,0.0017841203246332174,0.0031422290984275086,3.3531117141246796,0.0,0.34339562697069986,0.40151444716112955
12,train,0.0002999951495796209,3.418826864439276,0.0034014940034230593,0.00551314564471889,3.4148740618752793,0.0,0.3274715542793274,0.4003251559798493
12,val,0.0002999951495796209,3.300352786268507,0.0017460839642028856,0.0026999974548484068,3.2983367059912,0.0,0.3517202953142779,0.40220424107142855
13,train,0.0002999805986332205,3.361015439568079,0.0031070093751672002,0.004882278451236641,3.35742019537853,0.0,0.33621833009035595,0.40201399598955573
13,val,0.0002999805986332205,3.243121181215559,0.001796840355382301,0.002484449339265536,3.2410758904048373,0.0,0.3590152678745134,0.4012533522077969
14,train,0.00029995634810498883,3.312686441190574,0.0028561344808761048,0.004428262311773116,3.3093874743166527,0.0,0.34261517032914096,0.3987902449652753
14,val,0.00029995634810498883,3.193438870566232,0.0016892424713920004,0.002467517096582534,3.1915028861590793,0.0,0.3665378508823259,0.40132649721843855
15,train,0.0002999223995685079,3.2741175178989703,0.0025902445404059485,0.00404077848093793,3.2711232018577676,0.0,0.34778502596867994,0.40035646726197727
15,val,0.0002999223995685079,3.1343171511377608,0.0017728830041180896,0.002200233673128033,3.1323242485523224,0.0,0.3726243217076574,0.39950077129261835
16,train,0.0002998787552266496,3.2357231276986846,0.0024331848062950734,0.0036336182086256588,3.2329265846799844,0.0,0.35260054923493767,0.399009205167069
16,val,0.0002998787552266496,3.0940230318478177,0.0018268449452339805,0.002008256489976442,3.091995371239526,0.0,0.3778041654399463,0.39812893367239405
17,train,0.0002998254179114328,3.202645116857349,0.0023200211612165243,0.0033176765263481524,3.1999933302669783,0.0,0.35660645352350756,0.3999001541479821
17,val,0.0002998254179114328,3.043567887374333,0.0014900622710618855,0.0021759651094076355,3.041860227073942,0.0,0.3844709247350693,0.39959716796875
18,train,0.0002997623910838393,3.1747269320381064,0.002100417960535384,0.0030769085837319293,3.1723188263418427,0.0,0.36055735782657505,0.39856734337293515
18,val,0.0002997623910838393,3.0401924337659563,0.001772026025199531,0.0018087472729218592,3.038239525897162,0.0,0.3863729451383863,0.40452842095068525
19,train,0.00029968967883358983,3.1489585654083387,0.002062095739490315,0.002763983296572895,3.146620073660607,0.0,0.3637710913948949,0.39768668554823494
19,val,0.00029968967883358983,3.007120737007686,0.001654285219306725,0.0018513832266242908,3.0052813163825443,0.0,0.3907257265278271,0.3995351642370224
20,train,0.00029960728587887794,3.1205297200669087,0.0019216606526055078,0.00260995940572578,3.118347061054589,0.0,0.3673629418616872,0.39934158672666337
20,val,0.00029960728587887794,2.9582139679363797,0.0017420163619265492,0.0017135840108884232,2.956300582204546,0.0,0.39591180692826,0.40030197852424215
21,train,0.0002995152175660644,3.0948982591586263,0.0018205906018080198,0.0023928244275588026,3.092838381437977,0.0,0.37069086322869954,0.4018666358004771
21,val,0.0002995152175660644,2.9310323085103716,0.0017044878986780532,0.0016127626128893877,2.929166546889714,0.0,0.39943952432700564,0.39610411652496885
22,train,0.00029941347986933015,3.073479381911958,0.0017965509803681697,0.002190458568986589,3.0714637848293833,0.0,0.3736671893585958,0.39928115363078265
22,val,0.00029941347986933015,2.923734183822359,0.0016316302280756645,0.0015771821667190775,2.9219448225838796,0.0,0.3999062494507858,0.40314883259790285
23,train,0.00029930207939028844,3.0562332072065552,0.001769258108223901,0.0020100340944602083,3.0542629460048247,0.0,0.37621078149085624,0.4020788081558296
23,val,0.00029930207939028844,2.904608824423381,0.001637863939062559,0.0015208931456852173,2.902818867138454,0.0,0.40340565890073776,0.40057130849787165
24,train,0.0002991810233575568,3.040154819531291,0.0016681221107568073,0.0018897291440976107,3.038297725899872,0.0,0.3785578980039588,0.402673504144087
24,val,0.0002991810233575568,2.884225994348526,0.0016298063336372642,0.0014789214245476095,2.882448290075575,0.0,0.4066934127892767,0.3989935980311462
25,train,0.00029905031962628776,3.0250696932788386,0.001632137188057294,0.001774409844335419,3.0232601165771484,0.0,0.3808012821214616,0.400917662232446
25,val,0.00029905031962628776,2.8740476923329488,0.001658087235617651,0.0013809949159622192,2.872251514877592,0.0,0.40900021525365965,0.3978179448417255
26,train,0.00029890997667765903,3.0156371176510115,0.0016214342330031163,0.0016709870591993556,3.0138485816562124,0.0,0.382539306119953,0.3991394864871363
26,val,0.00029890997667765903,2.856311410665512,0.0015556199099851906,0.001411356173256146,2.854614658015115,0.0,0.41100556563053814,0.4013119653931686
27,train,0.0002987600036183235,3.0032581833980543,0.0015530299918408686,0.0015901811666277157,3.0015461295174912,0.0,0.38437868126839264,0.399776660674356
27,val,0.0002987600036183235,2.850909552403859,0.0015998576740717649,0.00146587650877856,2.8491631065096175,0.0,0.41222284734249115,0.4001556879707745
28,train,0.000298600410179818,2.987980620208877,0.0014896802771251832,0.0015289167630289902,2.9863380444958607,0.0,0.38621504584770033,0.3991510913511028
28,val,0.000298600410179818,2.8370852640696933,0.0015092255021694914,0.0013405571402732416,2.835441998073033,0.0,0.4149047615272658,0.403656005859375
29,train,0.00029843120671793215,2.980763620325268,0.0014813265584684874,0.0014359771710979196,2.9791386950710965,0.0,0.3876501657235783,0.4009715263886302
29,val,0.00029843120671793215,2.817968342985426,0.0016365617505341237,0.0012470805138166594,2.816207076822008,0.0,0.4162761749965804,0.3972628153860569
30,train,0.000298252404212036,2.968998299585864,0.0014337607314329878,0.0013963724718838429,2.96742490695731,0.0,0.38939228146065513,0.3984633372770831
30,val,0.000298252404212036,2.805017398936408,0.001477353808045986,0.0012918557331431657,2.8034108579158783,0.0,0.4189056216606072,0.39960007422736715
31,train,0.0002980640142643679,2.962340509944967,0.0014385561306852297,0.001329297199845314,2.960769022526762,0.0,0.39080833814069293,0.399238894338565
31,val,0.0002980640142643679,2.8027645349502563,0.0015250502515950107,0.0012370800083902264,2.8011157725538527,0.0,0.4188795547400202,0.40168931760958265
