family,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical,logistic_regression,0.9285714285714286,0.9296296296296296,0.9615384615384616,0.9259259259259259,0.9433962264150944,0.9901234567901235,0.9943995236587828,14,1,2,25
classical,svm_rbf,0.6666666666666666,0.5333333333333333,0.6585365853658537,1.0,0.7941176470588235,0.9629629629629629,0.9867724867724867,1,14,0,27
classical,xgboost,0.9047619047619048,0.8814814814814815,0.896551724137931,0.9629629629629629,0.9285714285714286,0.9827160493827161,0.9918942511535103,12,3,1,26
foundation,frozen,0.7142857142857143,0.6148148148148148,0.7027027027027027,0.9629629629629629,0.8125,0.6641975308641974,0.7950635603402838,4,11,1,26
foundation,unfreeze_last_1,0.7142857142857143,0.6148148148148148,0.7027027027027027,0.9629629629629629,0.8125,0.6592592592592592,0.814341484614195,4,11,1,26
foundation,unfreeze_last_2,0.6904761904761905,0.5962962962962963,0.6944444444444444,0.9259259259259259,0.7936507936507936,0.7012345679012345,0.8382233528913368,4,11,2,25
foundation,unfreeze_last_3,0.6904761904761905,0.611111111111111,0.7058823529411765,0.8888888888888888,0.7868852459016393,0.8395061728395062,0.9213919331294058,5,10,3,24
