mask_ratio,predictor,n,r_masked_mean,r_masked_sd,r_whole_mean,r_masked_peak_mean,r_masked_baseline_mean,r_masked_mean_rowgap_filtered,n_rowgap_filtered
0.25,corpus_mean,50,0.6949308720231057,0.20780576044431662,0.6360468783974648,0.6068110851570964,0.5776211285591125,0.6949308720231057,
0.25,linear_interp,50,0.5761997569177272,0.15915087604901662,0.8625150829208351,0.3594999881586117,0.5532756313338808,0.5761997569177272,
0.25,pca50_from_visible,50,0.8258744812011719,0.18435077142014067,0.9307138013839722,0.7993322200328111,0.5227574546635151,0.8258744812011719,
0.25,nn_copy,50,0.9274354422092438,0.10587462178630232,0.9508158910274506,0.8631078293174506,0.9079581741243601,0.9234344258027918,34.0
0.4,corpus_mean,50,0.694075178951025,0.20756821741713116,0.6360468783974648,0.6424275464680977,0.5787174908071756,0.694075178951025,
0.4,linear_interp,50,0.48433655352760646,0.16925186511460516,0.7919915983641888,0.2405146945637877,0.5359004534274264,0.48433655352760646,
0.4,pca50_from_visible,50,0.8071309667825699,0.1828933967248234,0.9030786722898483,0.7975030380487442,0.5068051435798406,0.8071309667825699,
0.4,nn_copy,50,0.9090532898902893,0.10469600774541576,0.949113998413086,0.8341441813111306,0.9080805480480194,0.9048299464312467,33.0
0.6,corpus_mean,50,0.6506124697625637,0.19013766096197207,0.6360468783974648,0.5926070898771286,0.5352984251081944,0.6506124697625637,
0.6,linear_interp,50,0.37291304829995015,0.17786006901511653,0.6695948772151654,0.14220900296739206,0.47569755185964646,0.37291304829995015,
0.6,pca50_from_visible,50,0.7290099303424359,0.23828105991801057,0.8090675711631775,0.7167903754115105,0.36706427089869975,0.7290099303424359,
0.6,nn_copy,50,0.9086252057552338,0.12342963054402643,0.9337666887044906,0.858492499962449,0.8856055742502212,0.8925801736967904,35.0
