feature_group,feature_name,classifier,n_episodes,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean
direct_binned,bins1024_auc,logreg_C0p1,100,0.4133898305084746,0.061034780251408814,0.36253905681853366,0.05140339981406944,0.3812593632966297,0.36999021739130433
direct_binned,bins1024_auc,svm_C1p0,100,0.3916949152542373,0.05565082554644524,0.3391651938668881,0.046112998530463856,0.3532591785050374,0.34806739130434783
direct_binned,bins1024_auc,xgboost_depth2,100,0.36101694915254234,0.05670224723160793,0.3193835346254956,0.0451014221772355,0.34160885451819456,0.3299695652173913
direct_binned,bins2048_auc,logreg_C0p1,100,0.4111864406779661,0.05974826696678997,0.3606892062722199,0.04881015572750698,0.38033521164507994,0.3678184782608696
direct_binned,bins2048_auc,svm_C1p0,100,0.3941525423728814,0.05614289277874222,0.342523210273861,0.04717990588262472,0.35732288430962894,0.35166847826086955
direct_binned,bins2048_auc,xgboost_depth2,100,0.3656779661016949,0.056822062783313164,0.32269433863382346,0.0444032723463088,0.3439111702645722,0.3330173913043478
foundation_backbone,mae_flatten,logreg_C0p1,100,0.3927966101694916,0.05907541615096362,0.3426649490094967,0.04799956635911028,0.35951350664664256,0.350125
foundation_backbone,mae_flatten,svm_C1p0,100,0.39144067796610166,0.05639043589274939,0.33610853805883933,0.046282659672570337,0.34892149189649535,0.3436336956521739
foundation_backbone,mae_flatten,xgboost_depth2,100,0.3995762711864407,0.06608846921451661,0.34429537213253314,0.05130623300525918,0.3600360833182523,0.35272282608695654
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.4026271186440678,0.06625423030246934,0.3462297779306332,0.05224953555798573,0.36067166186041727,0.3536282608695652
