feature_group,feature_name,classifier,episode,n_train,n_test,status,error,accuracy,macro_f1,macro_precision,macro_recall
foundation_backbone,mae_flatten,svm_C1p0,1,40,102,ok,,0.4411764705882353,0.37395854501117654,0.37343821490162954,0.38039221695543207
foundation_backbone,mae_flatten,logreg_C0p1,1,40,102,ok,,0.5098039215686274,0.44635313822646794,0.44557978036175705,0.45078559169663285
foundation_backbone,mae_flatten,xgboost_depth2,1,40,102,ok,,0.4803921568627451,0.388809575704737,0.3892982456140351,0.38947402473575243
foundation_backbone,mae_flatten,svm_C1p0,2,40,102,ok,,0.5098039215686274,0.4424418604651163,0.44307928913192074,0.4455687452326468
foundation_backbone,mae_flatten,logreg_C0p1,2,40,102,ok,,0.49019607843137253,0.4237177072542927,0.4274980930587338,0.42822920071918924
foundation_backbone,mae_flatten,xgboost_depth2,2,40,102,ok,,0.5,0.44055303764638076,0.46515151515151515,0.4429228642257818
foundation_backbone,mae_flatten,svm_C1p0,3,40,102,ok,,0.5,0.4266218721037998,0.43418386510953133,0.44559428462460504
foundation_backbone,mae_flatten,logreg_C0p1,3,40,102,ok,,0.45098039215686275,0.362235803412274,0.3640037593984963,0.3736566279830009
foundation_backbone,mae_flatten,xgboost_depth2,3,40,102,ok,,0.47058823529411764,0.40316120822449936,0.40928030303030305,0.42156682467037154
foundation_backbone,mae_flatten,svm_C1p0,4,40,102,ok,,0.45098039215686275,0.3607276618512573,0.3612109853121175,0.3629402991173586
foundation_backbone,mae_flatten,logreg_C0p1,4,40,102,ok,,0.43137254901960786,0.34648398784930046,0.35223289226819393,0.34313364934074314
foundation_backbone,mae_flatten,xgboost_depth2,4,40,102,ok,,0.45098039215686275,0.3720574427050457,0.37205579121008603,0.3793570202680614
foundation_backbone,mae_flatten,svm_C1p0,5,40,102,ok,,0.4215686274509804,0.33333333333333337,0.35000000000000003,0.3476064481856816
foundation_backbone,mae_flatten,logreg_C0p1,5,40,102,ok,,0.45098039215686275,0.36081065190775047,0.3732469512195122,0.3666605372125967
foundation_backbone,mae_flatten,xgboost_depth2,5,40,102,ok,,0.4019607843137255,0.33821472285364573,0.35693142641672054,0.33455241364280264
foundation_backbone,mae_flatten,svm_C1p0,6,40,102,ok,,0.49019607843137253,0.355718954248366,0.35903679653679654,0.3655129672006102
foundation_backbone,mae_flatten,logreg_C0p1,6,40,102,ok,,0.47058823529411764,0.3448361162646877,0.35943223443223443,0.34942655551923285
foundation_backbone,mae_flatten,xgboost_depth2,6,40,102,ok,,0.5196078431372549,0.36354637656524447,0.36680964052287585,0.37441599923722346
foundation_backbone,mae_flatten,svm_C1p0,7,40,102,ok,,0.4411764705882353,0.3348762651583994,0.33474736048265463,0.3423419281900403
foundation_backbone,mae_flatten,logreg_C0p1,7,40,102,ok,,0.45098039215686275,0.32899733806566106,0.33026709401709403,0.33758649340743163
foundation_backbone,mae_flatten,xgboost_depth2,7,40,102,ok,,0.4019607843137255,0.3315888281404387,0.33541385515069727,0.3320461479786423
foundation_backbone,mae_flatten,svm_C1p0,8,40,102,ok,,0.38235294117647056,0.29530557162136106,0.2985641186299081,0.29282956031382806
foundation_backbone,mae_flatten,logreg_C0p1,8,40,102,ok,,0.4411764705882353,0.3538358147229115,0.35317460317460314,0.3550775716465076
foundation_backbone,mae_flatten,xgboost_depth2,8,40,102,ok,,0.45098039215686275,0.2824292452830189,0.27123397435897434,0.3037399885583524
foundation_backbone,mae_flatten,svm_C1p0,9,40,102,ok,,0.46078431372549017,0.4079806246567449,0.4134337179848016,0.41342146126185025
foundation_backbone,mae_flatten,logreg_C0p1,9,40,102,ok,,0.45098039215686275,0.4040003414679076,0.42153097798259087,0.41170691674839266
foundation_backbone,mae_flatten,xgboost_depth2,9,40,102,ok,,0.47058823529411764,0.44123292939376335,0.4648538961038961,0.4571500081726054
foundation_backbone,mae_flatten,svm_C1p0,10,40,102,ok,,0.3333333333333333,0.2583653286383317,0.2622058823529412,0.2569620382477934
foundation_backbone,mae_flatten,logreg_C0p1,10,40,102,ok,,0.3627450980392157,0.30566893424036284,0.3220749838396897,0.3013699329846355
foundation_backbone,mae_flatten,xgboost_depth2,10,40,102,ok,,0.3431372549019608,0.28418913136499785,0.30549932523616735,0.2919969761359922
foundation_backbone,mae_flatten,svm_C1p0,11,40,102,ok,,0.4215686274509804,0.35350920367240235,0.3653478100846522,0.356826168682576
foundation_backbone,mae_flatten,logreg_C0p1,11,40,102,ok,,0.4803921568627451,0.38457602339181285,0.38791866028708133,0.3832475209763539
foundation_backbone,mae_flatten,xgboost_depth2,11,40,102,ok,,0.49019607843137253,0.37136340362146814,0.37117825853745756,0.37202210689767895
foundation_backbone,mae_flatten,svm_C1p0,12,40,102,ok,,0.45098039215686275,0.38865627724498697,0.4158695998724693,0.4032959436635066
foundation_backbone,mae_flatten,logreg_C0p1,12,40,102,ok,,0.43137254901960786,0.37395368072787427,0.39591378726287263,0.3912124060150376
