family,model,fine_tune_mode,support_per_class,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_roc_auc_ovr_mean,macro_roc_auc_ovr_std,n_episodes
classical,logistic_regression,-,2,0.4691588785046729,0.05319719428320636,0.43495636441038743,0.0406337915872809,0.4225644909472548,0.039332591739337786,0.4744961991105098,0.05703987587407988,0.4496366452138115,0.05009839306338498,0.43495636441038743,0.0406337915872809,0.6105094864664046,0.0499485538849513,10
classical,logistic_regression,-,4,0.5306930693069306,0.06282774407546292,0.4845614262280929,0.057216605034204594,0.4747109009465829,0.05325840413714162,0.5369143926987586,0.04649900394420884,0.49640687525526606,0.0560838980750763,0.4845614262280929,0.057216605034204594,0.6740789016557551,0.06189578779308416,10
classical,logistic_regression,-,6,0.5463157894736842,0.06990297985635364,0.5183333333333333,0.06317230992088813,0.5039521877017179,0.06611367233824149,0.5574663576332515,0.06308360693124623,0.516766674643901,0.05863314830098916,0.5183333333333333,0.06317230992088813,0.6906031746031747,0.03747941899824252,10
classical,logistic_regression,-,8,0.5966292134831461,0.05308584161768393,0.5541364734299516,0.04330724499521179,0.544820279230979,0.041898361107333595,0.6086843091846503,0.04596176379744768,0.5563843266443095,0.03646585314645343,0.5541364734299516,0.04330724499521179,0.7107497065884852,0.050713002410269964,10
classical,logistic_regression,-,10,0.6,0.09172114007145507,0.5611585576259489,0.07304367862713779,0.5469881918978535,0.07589704308774392,0.6080894155356246,0.08422853075049351,0.5548630301741098,0.06577919728275532,0.5611585576259489,0.07304367862713779,0.722152991672941,0.06931139687030315,10
classical,logistic_regression,-,12,0.6246753246753246,0.05491184578502712,0.5889610389610389,0.04383476845569167,0.5704510125662537,0.0466509280628766,0.6344366972324025,0.04681916183951335,0.5802277182595409,0.05832990818041831,0.5889610389610389,0.04383476845569167,0.7478135837270351,0.020450715749200658,10
classical,logistic_regression,-,14,0.6394366197183098,0.05236373143135658,0.6015639589169001,0.06127799998952423,0.5788598766006603,0.06055310311626939,0.6525310543295435,0.05005415982325388,0.5859206800433737,0.062484499247794756,0.6015639589169001,0.06127799998952423,0.7673071265434979,0.055167694938661964,10
classical,logistic_regression,-,16,0.6446153846153846,0.08314969905137358,0.6058333333333333,0.07964523964136756,0.5718957153963913,0.08067385649436781,0.6583703525775935,0.07206277098271731,0.5830565473821127,0.07164793699828273,0.6058333333333333,0.07964523964136756,0.755520202020202,0.06534673251645873,10
classical,logistic_regression,-,18,0.6694915254237288,0.0583044277981647,0.6287955465587045,0.07828420729110892,0.5864646651528459,0.07057374993734386,0.6858647392875642,0.048990591099293185,0.5870885065246021,0.06456913580339749,0.6287955465587045,0.07828420729110892,0.7887249622022134,0.0591098766225832,10
classical,logistic_regression,-,20,0.6377358490566037,0.05093951378947569,0.584006734006734,0.08266299940289687,0.5384474482462969,0.06017652881283135,0.6627305112671229,0.03899660355881408,0.5379891156181591,0.045831912340686315,0.584006734006734,0.08266299940289687,0.7446393429497309,0.09759332804257036,10
