model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
LogisticRegression,1,0.6888888888888889,0.8,0.5217391304347826,0.631578947368421,0.8221343873517786,0.8287498562129236
LogisticRegression,2,0.6666666666666666,0.8181818181818182,0.4090909090909091,0.5454545454545454,0.7193675889328064,0.7741610501795471
LogisticRegression,3,0.7333333333333333,0.75,0.6818181818181818,0.7142857142857143,0.7806324110671937,0.7698091124471156
LogisticRegression,4,0.5555555555555556,0.5416666666666666,0.5909090909090909,0.5652173913043478,0.6541501976284585,0.6719286927381952
LogisticRegression,5,0.7272727272727273,0.7777777777777778,0.6363636363636364,0.7,0.8553719008264462,0.824531204277307
