model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
LogisticRegression,1,0.6888888888888889,0.8,0.5217391304347826,0.631578947368421,0.8221343873517786,0.8287498562129236
LogisticRegression,2,0.6666666666666666,0.8181818181818182,0.4090909090909091,0.5454545454545454,0.7193675889328064,0.7741610501795471
LogisticRegression,3,0.7333333333333333,0.75,0.6818181818181818,0.7142857142857143,0.7806324110671937,0.7698091124471156
LogisticRegression,4,0.5555555555555556,0.5416666666666666,0.5909090909090909,0.5652173913043478,0.6541501976284585,0.6719286927381952
LogisticRegression,5,0.7272727272727273,0.7777777777777778,0.6363636363636364,0.7,0.8553719008264462,0.824531204277307
SVM_RBF,1,0.6,0.7272727272727273,0.34782608695652173,0.47058823529411764,0.6798418972332015,0.6951838662412243
SVM_RBF,2,0.5555555555555556,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6106719367588933,0.7082019692434705
SVM_RBF,3,0.6444444444444445,0.6666666666666666,0.5454545454545454,0.6,0.6126482213438734,0.6762661304113589
SVM_RBF,4,0.4,0.4074074074074074,0.5,0.4489795918367347,0.3023715415019763,0.3904074128453656
SVM_RBF,5,0.6590909090909091,0.7692307692307693,0.45454545454545453,0.5714285714285714,0.32334710743801653,0.4112775246698659
XGBoost,1,0.7555555555555555,0.8,0.6956521739130435,0.7441860465116279,0.8280632411067194,0.8618339549582854
XGBoost,2,0.9111111111111111,0.95,0.8636363636363636,0.9047619047619048,0.9268774703557313,0.9527614858260018
XGBoost,3,0.8666666666666667,0.9,0.8181818181818182,0.8571428571428571,0.9150197628458498,0.9278158701275188
XGBoost,4,0.7111111111111111,0.6956521739130435,0.7272727272727273,0.7111111111111111,0.7430830039525692,0.6710334252253395
XGBoost,5,0.7954545454545454,0.8095238095238095,0.7727272727272727,0.7906976744186046,0.8429752066115702,0.7704307664482164
